"Input_Type","TF_Analysis_Name","Intersection_Name","Required_Methods","Number_Of_Methods","Intersected_TF_Count","Reported_Top_N","Result_File","Summary_File"
"DEG","MVL_ALL","ALL_6_METHODS","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","104","10","results/ngs/GSE310664/TF_summary/deg/MVL_ALL/intersections/ALL_6_METHODS/candidates/top10_tf_candidates.csv","results/ngs/GSE310664/TF_summary/deg/MVL_ALL/intersections/ALL_6_METHODS/summary/summary.csv"
"DEG","MVL_ALL","WITHOUT_CHEA3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","5","104","10","results/ngs/GSE310664/TF_summary/deg/MVL_ALL/intersections/WITHOUT_CHEA3/candidates/top10_tf_candidates.csv","results/ngs/GSE310664/TF_summary/deg/MVL_ALL/intersections/WITHOUT_CHEA3/summary/summary.csv"
"DEG","MVL_ALL","DOROTHEA_CHEA3_VIPER","DoRothEA;ChEA3;VIPER","3","262","10","results/ngs/GSE310664/TF_summary/deg/MVL_ALL/intersections/DOROTHEA_CHEA3_VIPER/candidates/top10_tf_candidates.csv","results/ngs/GSE310664/TF_summary/deg/MVL_ALL/intersections/DOROTHEA_CHEA3_VIPER/summary/summary.csv"
"DEG","MVL_ALL","ENRICHR_TRRUST_COLLECTRI","ENRICHR;TRRUST;CollecTRI","3","139","10","results/ngs/GSE310664/TF_summary/deg/MVL_ALL/intersections/ENRICHR_TRRUST_COLLECTRI/candidates/top10_tf_candidates.csv","results/ngs/GSE310664/TF_summary/deg/MVL_ALL/intersections/ENRICHR_TRRUST_COLLECTRI/summary/summary.csv"
"DEG","MVL_ALL","ACTIVITY_METHODS_VIPER_COLLECTRI","VIPER;CollecTRI","2","230","10","results/ngs/GSE310664/TF_summary/deg/MVL_ALL/intersections/ACTIVITY_METHODS_VIPER_COLLECTRI/candidates/top10_tf_candidates.csv","results/ngs/GSE310664/TF_summary/deg/MVL_ALL/intersections/ACTIVITY_METHODS_VIPER_COLLECTRI/summary/summary.csv"
"DEG","MVL_ALL","ORA_METHODS_DOROTHEA_TRRUST","DoRothEA;TRRUST","2","174","10","results/ngs/GSE310664/TF_summary/deg/MVL_ALL/intersections/ORA_METHODS_DOROTHEA_TRRUST/candidates/top10_tf_candidates.csv","results/ngs/GSE310664/TF_summary/deg/MVL_ALL/intersections/ORA_METHODS_DOROTHEA_TRRUST/summary/summary.csv"
"DEG","MVL_ALL","API_METHODS_CHEA3_ENRICHR","ChEA3;ENRICHR","2","170","10","results/ngs/GSE310664/TF_summary/deg/MVL_ALL/intersections/API_METHODS_CHEA3_ENRICHR/candidates/top10_tf_candidates.csv","results/ngs/GSE310664/TF_summary/deg/MVL_ALL/intersections/API_METHODS_CHEA3_ENRICHR/summary/summary.csv"
"DEG","MVL_ALL","SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI","DoRothEA;VIPER;CollecTRI","3","230","10","results/ngs/GSE310664/TF_summary/deg/MVL_ALL/intersections/SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI/candidates/top10_tf_candidates.csv","results/ngs/GSE310664/TF_summary/deg/MVL_ALL/intersections/SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI/summary/summary.csv"
"DEG","MVL_ALL","LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST","DoRothEA;ChEA3;ENRICHR;TRRUST","4","109","10","results/ngs/GSE310664/TF_summary/deg/MVL_ALL/intersections/LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST/candidates/top10_tf_candidates.csv","results/ngs/GSE310664/TF_summary/deg/MVL_ALL/intersections/LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST/summary/summary.csv"
"DEG","MVL_ALL","CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST","ChEA3;ENRICHR;TRRUST","3","125","10","results/ngs/GSE310664/TF_summary/deg/MVL_ALL/intersections/CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST/candidates/top10_tf_candidates.csv","results/ngs/GSE310664/TF_summary/deg/MVL_ALL/intersections/CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST/summary/summary.csv"
"DEG","MVL_ALL","BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI","ChEA3;ENRICHR;CollecTRI","3","157","10","results/ngs/GSE310664/TF_summary/deg/MVL_ALL/intersections/BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI/candidates/top10_tf_candidates.csv","results/ngs/GSE310664/TF_summary/deg/MVL_ALL/intersections/BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI/summary/summary.csv"
"DEG","MVL_ALL","CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI","DoRothEA;TRRUST;CollecTRI","3","170","10","results/ngs/GSE310664/TF_summary/deg/MVL_ALL/intersections/CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI/candidates/top10_tf_candidates.csv","results/ngs/GSE310664/TF_summary/deg/MVL_ALL/intersections/CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI/summary/summary.csv"
