"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","HPO","1","HP_SLOPING_FOREHEAD","HP_SLOPING_FOREHEAD","-1.867594513068851","0.000001556553918799140","0.008648213572848024","0.008648213572848024","65","194","0.3350515463917526","0","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.000000000000000000","0.000000000000000000000","Keep","itself","",TRUE,"TSEN2/CASK/MAD2L2/FAAP100/POMT1/RAD51/BUB3/SARS1/TSEN54/SEPSECS/TRAPPC14/WDR73/RPGRIP1/BRCA2/PTH1R/NCAPD2/CEP135/FANCB/OSGEP/NFIX/PHGDH/INTS11/NUP107/RAD51C/UBE2T/PSAT1/ATR/RBSN/BRIP1/FANCI/TRIP13/CEP152/MCM7/PAH/COASY/PARS2/KIF14/BRCA1/TUBGCP2/PNKP/NCAPH/BUB1/ASPM/CENPE/IL11RA/CIT/STIL/BUB1B/XRCC2/SLC25A19/CSPP1/DDX11/RRP7A/PUM1/SASS6/KIF11/SLX4/SMPD4/KNL1/FANCM/ZNF335/FANCA/WDR62/TUBGCP6/SLC25A22","TSEN2/CASK/MAD2L2/FAAP100/POMT1/RAD51/BUB3/SARS1/TSEN54/SEPSECS/TRAPPC14/WDR73/RPGRIP1/BRCA2/PTH1R/NCAPD2/CEP135/FANCB/OSGEP/NFIX/PHGDH/INTS11/NUP107/RAD51C/UBE2T/PSAT1/ATR/RBSN/BRIP1/FANCI/TRIP13/CEP152/MCM7/PAH/COASY/PARS2/KIF14/BRCA1/TUBGCP2/PNKP/NCAPH/BUB1/ASPM/CENPE/IL11RA/CIT/STIL/BUB1B/XRCC2/SLC25A19/CSPP1/DDX11/RRP7A/PUM1/SASS6/KIF11/SLX4/SMPD4/KNL1/FANCM/ZNF335/FANCA/WDR62/TUBGCP6/SLC25A22"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","HPO","2","HP_HYPOPLASIA_OF_TEETH","HP_HYPOPLASIA_OF_TEETH","1.976627323178400","0.000004466543707640733","0.010760534459600356","0.010760534459600356","55","128","0.4296875000000000","0","7","3","0.05454545454545454","0.054687500000000000","0.022222222222222223","0.647744624718057715","0.433367356496525246712","Keep","HP_SLOPING_FOREHEAD","HP_SLOPING_FOREHEAD",FALSE,"EDAR/IRF6/TARS1/TGFA/DLX3/MMP1/WNT10A/SUMO1/FOSL2/LAMA3/CSTB/GTF2H5/DNAJC21/RNF113A/ERCC8/NECTIN4/FBXO28/OFD1/DDX59/FGFR1/COG6/FLNA/C12orf57/LAMB3/CTSK/GJA1/FLNB/GNAS/LMNA/EDA/KRT5/LAMC2/IFT43/RAP1B/COL17A1/SCUBE3/NF1/PLEC/HLA-DQB1/SEC23A/PCNT/SMCHD1/ITGB6/OCRL/PGAP1/RUNX2/PPP1R15B/NEK1/RHOA/KCNJ2/KIF7/MSX1/COL7A1/LRP6/SMOC2","EDAR/IRF6/TARS1/TGFA/DLX3/MMP1/WNT10A/SUMO1/FOSL2/LAMA3/CSTB/GTF2H5/DNAJC21/RNF113A/ERCC8/NECTIN4/FBXO28/OFD1/DDX59/FGFR1/COG6/FLNA/C12orf57/LAMB3/CTSK/GJA1/FLNB/GNAS/LMNA/EDA/KRT5/LAMC2/IFT43/RAP1B/COL17A1/SCUBE3/NF1/PLEC/HLA-DQB1/SEC23A/PCNT/SMCHD1/ITGB6/OCRL/PGAP1/RUNX2/PPP1R15B/NEK1/RHOA/KCNJ2/KIF7/MSX1/COL7A1/LRP6/SMOC2"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","HPO","3","HP_ABNORMALITY_OF_CHROMOSOME_STABILITY","HP_ABNORMALITY_OF_CHROMOSOME_STABILITY","-2.095006489336528","0.000007117166038106247","0.010760534459600356","0.010760534459600356","30","57","0.5263157894736842","0","26","16","0.53333333333333333","0.456140350877192957","0.115555555555555550","0.166829945951467634","0.001583793612171076641","Keep","HP_SLOPING_FOREHEAD","HP_SLOPING_FOREHEAD",TRUE,"RFWD3/FANCD2/SUFU/MAD2L2/RAD50/CDCA7/FAAP100/RAD51/TOP3A/BRCA2/FANCB/TRAF7/RAD51C/UBE2T/BRIP1/FANCI/TERT/BRCA1/NF2/DNMT3B/BLM/AKT1/XRCC2/UHRF1/SLX4/MCM4/FANCM/FANCA/HELLS/DCLRE1B","RFWD3/FANCD2/SUFU/MAD2L2/RAD50/CDCA7/FAAP100/RAD51/TOP3A/BRCA2/FANCB/TRAF7/RAD51C/UBE2T/BRIP1/FANCI/TERT/BRCA1/NF2/DNMT3B/BLM/AKT1/XRCC2/UHRF1/SLX4/MCM4/FANCM/FANCA/HELLS/DCLRE1B"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","HPO","4","HP_HEMIPLEGIA_HEMIPARESIS","HP_HEMIPLEGIA_HEMIPARESIS","-1.799270462792460","0.000007746965053707960","0.010760534459600356","0.010760534459600356","82","241","0.3402489626556017","0","13","6","0.07317073170731707","0.053941908713692949","0.045614035087719301","0.253660231801092650","0.801788339836769559099","Keep","HP_ABNORMALITY_OF_CHROMOSOME_STABILITY","HP_ABNORMALITY_OF_CHROMOSOME_STABILITY",FALSE,"CFHR1/COL4A1/SLC1A3/ATP1A3/WDR4/DOCK6/ADSL/RNASEH2A/ADA2/AFG2B/GUCY1A1/SUFU/IQCB1/TPP2/MMP23B/STAT4/HESX1/PLA2G6/MT-CO3/GUCY2D/AGR2/POMT1/IRAK1/GMPPB/MT-CO2/LUZP1/WDR73/RPS20/NMNAT1/RPGRIP1/BRCA2/RDH12/OSGEP/TBK1/RNF216/IL12A/PRRT2/CBS/MT-ATP8/HRAS/MT-CO1/TRAF7/NUP107/MT-ND6/RBPJ/LRAT/MT-CYB/NOTCH1/TSC2/ARG1/PMS2/MSH2/ANGPTL6/TERT/RFC4/MT-ND1/PMS1/MT-ND4/CASZ1/CTC1/TTR/MT-ND5/CTLA4/NF2/PRF1/AKT1/TSC1/MTOR/IMPDH1/TTPA/MTHFR/RERE/UBE4B/POLD1/TBC1D24/SKI/SPEN/WDR62/PRKCZ/ERAP1/POLE/KCNAB2","CFHR1/COL4A1/SLC1A3/ATP1A3/WDR4/DOCK6/ADSL/RNASEH2A/ADA2/AFG2B/GUCY1A1/SUFU/IQCB1/TPP2/MMP23B/STAT4/HESX1/PLA2G6/MT-CO3/GUCY2D/AGR2/POMT1/IRAK1/GMPPB/MT-CO2/LUZP1/WDR73/RPS20/NMNAT1/RPGRIP1/BRCA2/RDH12/OSGEP/TBK1/RNF216/IL12A/PRRT2/CBS/MT-ATP8/HRAS/MT-CO1/TRAF7/NUP107/MT-ND6/RBPJ/LRAT/MT-CYB/NOTCH1/TSC2/ARG1/PMS2/MSH2/ANGPTL6/TERT/RFC4/MT-ND1/PMS1/MT-ND4/CASZ1/CTC1/TTR/MT-ND5/CTLA4/NF2/PRF1/AKT1/TSC1/MTOR/IMPDH1/TTPA/MTHFR/RERE/UBE4B/POLD1/TBC1D24/SKI/SPEN/WDR62/PRKCZ/ERAP1/POLE/KCNAB2"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","HPO","5","HP_REDUCED_CONTRAST_SENSITIVITY","HP_REDUCED_CONTRAST_SENSITIVITY","-2.161060207946253","0.000015561919359584490","0.017292404792370285","0.017292404792370285","14","17","0.8235294117647058","0","7","7","0.50000000000000000","0.411764705882352922","0.027888446215139442","0.176470588235294074","0.000443081396804019718","Keep","HP_HEMIPLEGIA_HEMIPARESIS","HP_HEMIPLEGIA_HEMIPARESIS",TRUE,"MT-CO3/MT-ND2/MT-ATP6/MT-CO1/ADGRV1/MT-ND6/MT-CYB/MT-ND4L/MT-ND1/MT-ND4/MT-ND5/WHRN/MYO7A/PDZD7","MT-CO3/MT-ND2/MT-ATP6/MT-CO1/ADGRV1/MT-ND6/MT-CYB/MT-ND4L/MT-ND1/MT-ND4/MT-ND5/WHRN/MYO7A/PDZD7"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","HPO","6","HP_CAFE_AU_LAIT_SPOT","HP_CAFE_AU_LAIT_SPOT","-1.893288703600050","0.000019925840034856782","0.018451327872277382","0.018451327872277382","60","130","0.4615384615384616","0","30","21","0.34999999999999998","0.230769230769230782","0.191082802547770714","0.002627292241346328","0.005847221624879950404","Keep","HP_ABNORMALITY_OF_CHROMOSOME_STABILITY","HP_ABNORMALITY_OF_CHROMOSOME_STABILITY",TRUE,"SET/CAPRIN1/KLLN/RAF1/TMC6/PDE11A/FANCG/SKIC3/RFWD3/H4C5/FANCD2/IRF1/HEPACAM/USF3/RFX7/MAD2L2/SLF2/TOMM7/FAAP100/RAD51/BUB3/TOP3A/BRCA2/VHL/FANCB/WASF1/ESCO2/RAD51C/UBE2T/TAF4/ANAPC1/SDHB/TSC2/BRIP1/FANCI/PMS2/MSH2/TRIP13/CHD8/BRCA1/MEN1/NF2/BLM/BUB1/TMC8/AKT1/ABCC9/CLCN7/TSC1/MTOR/BUB1B/XRCC2/KMT2D/RERE/LZTR1/SLX4/FANCM/FANCA/ABCB6/POLE","SET/CAPRIN1/KLLN/RAF1/TMC6/PDE11A/FANCG/SKIC3/RFWD3/H4C5/FANCD2/IRF1/HEPACAM/USF3/RFX7/MAD2L2/SLF2/TOMM7/FAAP100/RAD51/BUB3/TOP3A/BRCA2/VHL/FANCB/WASF1/ESCO2/RAD51C/UBE2T/TAF4/ANAPC1/SDHB/TSC2/BRIP1/FANCI/PMS2/MSH2/TRIP13/CHD8/BRCA1/MEN1/NF2/BLM/BUB1/TMC8/AKT1/ABCC9/CLCN7/TSC1/MTOR/BUB1B/XRCC2/KMT2D/RERE/LZTR1/SLX4/FANCM/FANCA/ABCB6/POLE"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","HPO","7","HP_ENAMEL_HYPOPLASIA","HP_ENAMEL_HYPOPLASIA","1.898653016928893","0.000051237716555012345","0.040062551772197023","0.040062551772197023","43","107","0.4018691588785047","0","3","2","0.04651162790697674","0.028037383177570093","0.008695652173913044","0.353341562334685055","0.267625740030208780773","Keep","HP_HEMIPLEGIA_HEMIPARESIS","HP_HEMIPLEGIA_HEMIPARESIS",FALSE,"IRF6/TARS1/TGFA/DLX3/MMP1/WNT10A/SUMO1/FOSL2/LAMA3/GTF2H5/DNAJC21/RNF113A/ERCC8/NECTIN4/FBXO28/OFD1/DDX59/FGFR1/COG6/LAMB3/CTSK/GJA1/FLNB/GNAS/EDA/KRT5/LAMC2/COL17A1/SCUBE3/NF1/PLEC/HLA-DQB1/PCNT/ITGB6/OCRL/PGAP1/RUNX2/RHOA/KCNJ2/MSX1/COL7A1/LRP6/SMOC2","IRF6/TARS1/TGFA/DLX3/MMP1/WNT10A/SUMO1/FOSL2/LAMA3/GTF2H5/DNAJC21/RNF113A/ERCC8/NECTIN4/FBXO28/OFD1/DDX59/FGFR1/COG6/LAMB3/CTSK/GJA1/FLNB/GNAS/EDA/KRT5/LAMC2/COL17A1/SCUBE3/NF1/PLEC/HLA-DQB1/PCNT/ITGB6/OCRL/PGAP1/RUNX2/RHOA/KCNJ2/MSX1/COL7A1/LRP6/SMOC2"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","HPO","8","HP_RETICULOCYTOSIS","HP_RETICULOCYTOSIS","-2.024796176481023","0.000057685459715186499","0.040062551772197023","0.040062551772197023","20","49","0.4081632653061225","0","3","2","0.10000000000000001","0.061224489795918366","0.017045454545454544","0.360942249240121471","0.441972271914132353032","Keep","HP_CAFE_AU_LAIT_SPOT","HP_CAFE_AU_LAIT_SPOT",FALSE,"PIEZO1/CASK/NHLRC2/ANK1/BCL11A/AMN/GPI/MTTP/GALE/PFKM/UROS/ABCG8/HK1/FASLG/ADAMTS13/CLCN7/EPB41/CDAN1/PKLR/ABCB6","PIEZO1/CASK/NHLRC2/ANK1/BCL11A/AMN/GPI/MTTP/GALE/PFKM/UROS/ABCG8/HK1/FASLG/ADAMTS13/CLCN7/EPB41/CDAN1/PKLR/ABCB6"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","HPO","9","HP_ABNORMAL_RETICULOCYTE_MORPHOLOGY","HP_ABNORMAL_RETICULOCYTE_MORPHOLOGY","-1.888526406423541","0.000076955320914613552","0.047507084777954768","0.047507084777954761","30","86","0.3488372093023256","0","49","20","0.66666666666666663","0.569767441860465129","0.569767441860465129","0.135496841802359491","1.000000000000000000000","Keep","HP_RETICULOCYTOSIS","HP_RETICULOCYTOSIS",FALSE,"ADA2/FANCD2/RPS24/PIEZO1/CASK/NHLRC2/ANK1/RPS20/BCL11A/AMN/GPI/MYSM1/MTTP/GALE/PFKM/RPL5/TERT/RPL11/UROS/ABCG8/HK1/PRF1/FASLG/ADAMTS13/CLCN7/EPB41/CDAN1/PKLR/FANCA/ABCB6","ADA2/FANCD2/RPS24/PIEZO1/CASK/NHLRC2/ANK1/RPS20/BCL11A/AMN/GPI/MYSM1/MTTP/GALE/PFKM/RPL5/TERT/RPL11/UROS/ABCG8/HK1/PRF1/FASLG/ADAMTS13/CLCN7/EPB41/CDAN1/PKLR/FANCA/ABCB6"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","HPO","12","HP_ABNORMAL_LYMPHOCYTE_MORPHOLOGY","HP_ABNORMAL_LYMPHOCYTE_MORPHOLOGY","-1.642738375866188","0.000120296408364589920","0.055016742909656906","0.055016742909656906","86","264","0.3257575757575757","0","15","8","0.09302325581395349","0.056818181818181816","0.049019607843137254","0.072230502457183682","0.594614043798781133354","Keep","HP_ABNORMALITY_OF_CHROMOSOME_STABILITY","HP_ABNORMALITY_OF_CHROMOSOME_STABILITY",FALSE,"DCLRE1C/AK2/SKIC3/TTI2/MDM4/LMNB2/PIK3CD/PRIM1/PSMB9/ADA2/TRAF3/IRF1/CD247/SASH3/TPP2/RFX5/ATP11A/IKZF1/TNFRSF1B/STAT4/TFR2/CDCA7/IRAK1/CD3D/SLC19A1/MS4A1/PPT1/NCAPG2/CD3E/SH2D1A/IRAK4/RFXAP/MYSM1/GALE/CD8A/RASGRP1/KNSTRN/GFI1/CD3G/ORAI1/RNF31/ICOSLG/RBSN/CIITA/CARD9/LIG1/JAK3/ITK/TERT/CTPS1/CORO1A/ICOS/GINS1/FNIP1/BLNK/LBR/MYC/IKZF3/STK4/CTLA4/FOXP3/CLN3/DNMT3B/BLM/CLPB/CD19/FASLG/CD28/CHD7/PNP/PI4KA/IL2RB/KMT2D/PRKDC/UHRF1/RECQL4/ZAP70/POLD1/USP48/MCM4/BCL11B/HELLS/TCIRG1/MCM10/DCLRE1B/IKBKB","DCLRE1C/AK2/SKIC3/TTI2/MDM4/LMNB2/PIK3CD/PRIM1/PSMB9/ADA2/TRAF3/IRF1/CD247/SASH3/TPP2/RFX5/ATP11A/IKZF1/TNFRSF1B/STAT4/TFR2/CDCA7/IRAK1/CD3D/SLC19A1/MS4A1/PPT1/NCAPG2/CD3E/SH2D1A/IRAK4/RFXAP/MYSM1/GALE/CD8A/RASGRP1/KNSTRN/GFI1/CD3G/ORAI1/RNF31/ICOSLG/RBSN/CIITA/CARD9/LIG1/JAK3/ITK/TERT/CTPS1/CORO1A/ICOS/GINS1/FNIP1/BLNK/LBR/MYC/IKZF3/STK4/CTLA4/FOXP3/CLN3/DNMT3B/BLM/CLPB/CD19/FASLG/CD28/CHD7/PNP/PI4KA/IL2RB/KMT2D/PRKDC/UHRF1/RECQL4/ZAP70/POLD1/USP48/MCM4/BCL11B/HELLS/TCIRG1/MCM10/DCLRE1B/IKBKB"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","HPO","13","HP_LEBER_OPTIC_ATROPHY","HP_LEBER_OPTIC_ATROPHY","-1.979473930340380","0.000128728880098189305","0.055016742909656906","0.055016742909656906","9","10","0.9000000000000000","0","9","9","1.00000000000000000","0.900000000000000022","0.500000000000000000","0.100000000000000089","0.082352941176470628726","Keep","HP_REDUCED_CONTRAST_SENSITIVITY","HP_REDUCED_CONTRAST_SENSITIVITY",FALSE,"MT-CO3/MT-ND2/MT-ATP6/MT-ND6/MT-CYB/MT-ND4L/MT-ND1/MT-ND4/MT-ND5","MT-CO3/MT-ND2/MT-ATP6/MT-ND6/MT-CYB/MT-ND4L/MT-ND1/MT-ND4/MT-ND5"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","HPO","14","HP_MULTIPLE_CAFE_AU_LAIT_SPOTS","HP_MULTIPLE_CAFE_AU_LAIT_SPOTS","-1.913960827867669","0.000199136532672117067","0.077730774484102427","0.077730774484102441","33","66","0.5000000000000000","0","29","21","0.63636363636363635","0.439393939393939392","0.125541125541125537","0.001311291226832118","0.000003828490922869371","Keep","HP_SLOPING_FOREHEAD","HP_SLOPING_FOREHEAD",TRUE,"KLLN/TMC6/PDE11A/FANCG/RFWD3/FANCD2/USF3/MAD2L2/FAAP100/RAD51/BUB3/BRCA2/FANCB/RAD51C/UBE2T/SDHB/BRIP1/FANCI/PMS2/MSH2/TRIP13/BRCA1/BUB1/TMC8/AKT1/BUB1B/XRCC2/RERE/LZTR1/SLX4/FANCM/FANCA/ABCB6","KLLN/TMC6/PDE11A/FANCG/RFWD3/FANCD2/USF3/MAD2L2/FAAP100/RAD51/BUB3/BRCA2/FANCB/RAD51C/UBE2T/SDHB/BRIP1/FANCI/PMS2/MSH2/TRIP13/BRCA1/BUB1/TMC8/AKT1/BUB1B/XRCC2/RERE/LZTR1/SLX4/FANCM/FANCA/ABCB6"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","HPO","16","HP_SMALL_INTESTINAL_STENOSIS","HP_SMALL_INTESTINAL_STENOSIS","-2.014218308681382","0.000225646983283576470","0.078355914945221913","0.078355914945221913","18","28","0.6428571428571429","0","23","17","0.94444444444444442","0.821428571428571397","0.115577889447236182","0.041025641025641019","0.000029307448469267635","Keep","HP_SLOPING_FOREHEAD","HP_SLOPING_FOREHEAD",TRUE,"FANCG/RFWD3/FANCD2/MAD2L2/FAAP100/RAD51/BRCA2/FANCB/RAD51C/UBE2T/BRIP1/FANCI/BRCA1/CDC45/XRCC2/SLX4/FANCM/FANCA","FANCG/RFWD3/FANCD2/MAD2L2/FAAP100/RAD51/BRCA2/FANCB/RAD51C/UBE2T/BRIP1/FANCI/BRCA1/CDC45/XRCC2/SLX4/FANCM/FANCA"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","HPO","17","HP_LOBULATED_TONGUE","HP_LOBULATED_TONGUE","1.999060062130880","0.000310438510509444680","0.097037902166768164","0.097037902166768164","15","19","0.7894736842105263","0","4","4","0.26666666666666666","0.210526315789473673","0.027972027972027972","0.352167182662538547","0.031969910011248610371","Keep","HP_HYPOPLASIA_OF_TEETH","HP_HYPOPLASIA_OF_TEETH",TRUE,"CPLANE1/TOPORS/OFD1/DDX59/MKS1/KIAA0753/PDE6D/SCNM1/C2CD3/TMEM231/NEK1/KIF7/TMEM216/RAB34/ZRSR2","CPLANE1/TOPORS/OFD1/DDX59/MKS1/KIAA0753/PDE6D/SCNM1/C2CD3/TMEM231/NEK1/KIF7/TMEM216/RAB34/ZRSR2"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","HPO","18","HP_ABSENT_TESTIS","HP_ABSENT_TESTIS","-2.024467092667529","0.000338608649939433498","0.097037902166768164","0.097037902166768164","18","26","0.6923076923076923","0","23","17","0.94444444444444442","0.884615384615384581","0.383333333333333359","0.215384615384615341","0.008189356150239938612","Keep","HP_ABNORMALITY_OF_CHROMOSOME_STABILITY","HP_ABNORMALITY_OF_CHROMOSOME_STABILITY",TRUE,"FANCG/RFWD3/FANCD2/MAD2L2/FAAP100/RAD51/BRCA2/FANCB/RAD51C/UBE2T/BRIP1/FANCI/DHX37/BRCA1/XRCC2/SLX4/FANCM/FANCA","FANCG/RFWD3/FANCD2/MAD2L2/FAAP100/RAD51/BRCA2/FANCB/RAD51C/UBE2T/BRIP1/FANCI/DHX37/BRCA1/XRCC2/SLX4/FANCM/FANCA"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","HPO","19","HP_BLISTERING_BY_ANATOMICAL_LOCATION","HP_BLISTERING_BY_ANATOMICAL_LOCATION","2.046016682059408","0.000353280916525359871","0.097037902166768164","0.097037902166768164","15","26","0.5769230769230769","0","13","10","0.66666666666666663","0.500000000000000000","0.092198581560283682","0.055350652846951204","0.010236096045093472442","Keep","HP_HYPOPLASIA_OF_TEETH","HP_HYPOPLASIA_OF_TEETH",TRUE,"DSG3/MMP1/LAMA3/FBXO28/LAMB3/CD151/KRT5/KRT17/LAMC2/COL17A1/PLEC/HLA-DQB1/PKP1/COL7A1/KRT6B","DSG3/MMP1/LAMA3/FBXO28/LAMB3/CD151/KRT5/KRT17/LAMC2/COL17A1/PLEC/HLA-DQB1/PKP1/COL7A1/KRT6B"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","HPO","21","HP_ABNORMAL_T_CELL_MORPHOLOGY","HP_ABNORMAL_T_CELL_MORPHOLOGY","-1.780618064663105","0.000383684571896042805","0.097037902166768164","0.097037902166768164","43","133","0.3233082706766917","0","4","2","0.04651162790697674","0.030075187969924810","0.021505376344086023","0.389374787526655775","0.733424470266575534438","Keep","HP_ABNORMALITY_OF_CHROMOSOME_STABILITY","HP_ABNORMALITY_OF_CHROMOSOME_STABILITY",FALSE,"PSMB9/IRF1/CD247/SASH3/RFX5/TNFRSF1B/CD3D/MS4A1/CD3E/SH2D1A/IRAK4/RFXAP/CD8A/RASGRP1/KNSTRN/CD3G/RNF31/CIITA/CARD9/LIG1/JAK3/ITK/CTPS1/ICOS/BLNK/MYC/CTLA4/FOXP3/DNMT3B/BLM/CD19/FASLG/CD28/PNP/IL2RB/KMT2D/PRKDC/RECQL4/ZAP70/POLD1/BCL11B/MCM10/IKBKB","PSMB9/IRF1/CD247/SASH3/RFX5/TNFRSF1B/CD3D/MS4A1/CD3E/SH2D1A/IRAK4/RFXAP/CD8A/RASGRP1/KNSTRN/CD3G/RNF31/CIITA/CARD9/LIG1/JAK3/ITK/CTPS1/ICOS/BLNK/MYC/CTLA4/FOXP3/DNMT3B/BLM/CD19/FASLG/CD28/PNP/IL2RB/KMT2D/PRKDC/RECQL4/ZAP70/POLD1/BCL11B/MCM10/IKBKB"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","HPO","22","HP_CHROMOSOME_BREAKAGE","HP_CHROMOSOME_BREAKAGE","-1.917353930717571","0.000407018171325759228","0.097037902166768164","0.097037902166768164","21","39","0.5384615384615384","0","22","15","0.71428571428571430","0.564102564102564097","0.149659863945578231","0.042338943867212035","0.020500406559412764906","Keep","HP_CAFE_AU_LAIT_SPOT","HP_CAFE_AU_LAIT_SPOT",TRUE,"FANCD2/SUFU/MAD2L2/RAD50/RAD51/BRCA2/TRAF7/RAD51C/UBE2T/BRIP1/FANCI/TERT/BRCA1/NF2/BLM/AKT1/XRCC2/SLX4/MCM4/FANCA/DCLRE1B","FANCD2/SUFU/MAD2L2/RAD50/RAD51/BRCA2/TRAF7/RAD51C/UBE2T/BRIP1/FANCI/TERT/BRCA1/NF2/BLM/AKT1/XRCC2/SLX4/MCM4/FANCA/DCLRE1B"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","HPO","23","HP_ABNORMAL_LYMPHOCYTE_COUNT","HP_ABNORMAL_LYMPHOCYTE_COUNT","-1.628371036139619","0.000425677375552479642","0.097037902166768164","0.097037902166768164","70","210","0.3333333333333333","0","2","2","0.02857142857142857","0.009523809523809525","0.008097165991902834","0.110047846889952144","0.283400809716599533239","Keep","HP_CHROMOSOME_BREAKAGE","HP_CHROMOSOME_BREAKAGE",FALSE,"DCLRE1C/AK2/SKIC3/TTI2/MDM4/LMNB2/PIK3CD/PRIM1/PSMB9/ADA2/TRAF3/IRF1/CD247/SASH3/TPP2/RFX5/ATP11A/IKZF1/STAT4/TFR2/CDCA7/IRAK1/CD3D/SLC19A1/MS4A1/NCAPG2/CD3E/SH2D1A/IRAK4/RFXAP/MYSM1/GALE/KNSTRN/GFI1/CD3G/ORAI1/RNF31/ICOSLG/RBSN/CIITA/CARD9/JAK3/TERT/CTPS1/CORO1A/ICOS/GINS1/FNIP1/LBR/IKZF3/STK4/CTLA4/DNMT3B/CLPB/CD19/FASLG/CHD7/PNP/PI4KA/PRKDC/UHRF1/RECQL4/ZAP70/POLD1/USP48/BCL11B/HELLS/TCIRG1/MCM10/DCLRE1B","DCLRE1C/AK2/SKIC3/TTI2/MDM4/LMNB2/PIK3CD/PRIM1/PSMB9/ADA2/TRAF3/IRF1/CD247/SASH3/TPP2/RFX5/ATP11A/IKZF1/STAT4/TFR2/CDCA7/IRAK1/CD3D/SLC19A1/MS4A1/NCAPG2/CD3E/SH2D1A/IRAK4/RFXAP/MYSM1/GALE/KNSTRN/GFI1/CD3G/ORAI1/RNF31/ICOSLG/RBSN/CIITA/CARD9/JAK3/TERT/CTPS1/CORO1A/ICOS/GINS1/FNIP1/LBR/IKZF3/STK4/CTLA4/DNMT3B/CLPB/CD19/FASLG/CHD7/PNP/PI4KA/PRKDC/UHRF1/RECQL4/ZAP70/POLD1/USP48/BCL11B/HELLS/TCIRG1/MCM10/DCLRE1B"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","HPO","24","HP_ABNORMAL_T_CELL_PHYSIOLOGY","HP_ABNORMAL_T_CELL_PHYSIOLOGY","-1.828400510972993","0.000440877259595234903","0.097037902166768164","0.097037902166768164","46","86","0.5348837209302325","0","51","29","0.63043478260869568","0.593023255813953543","0.208163265306122447","0.295458925557797736","0.000059195195452082326","Keep","HP_ABNORMAL_LYMPHOCYTE_COUNT","HP_ABNORMAL_LYMPHOCYTE_COUNT",TRUE,"WIPF1/PSMB10/IL2RG/NRAS/ESS2/CASP10/ADA/TNFRSF9/UFD1/STAT1/TNFRSF13B/CD40LG/WAS/LAT/IL2RA/AK2/SLC39A4/PIK3CD/CD247/RFX5/SLF2/CD3D/CD3E/RFXAP/GATA3/RASGRP1/KNSTRN/DGCR6/CD27/RNF31/CIITA/LIG1/JAK3/CTPS1/ICOS/CD19/FASLG/ARVCF/PNP/CARMIL2/HIRA/SEC24C/DGCR8/ZAP70/MCM10/IKBKB","WIPF1/PSMB10/IL2RG/NRAS/ESS2/CASP10/ADA/TNFRSF9/UFD1/STAT1/TNFRSF13B/CD40LG/WAS/LAT/IL2RA/AK2/SLC39A4/PIK3CD/CD247/RFX5/SLF2/CD3D/CD3E/RFXAP/GATA3/RASGRP1/KNSTRN/DGCR6/CD27/RNF31/CIITA/LIG1/JAK3/CTPS1/ICOS/CD19/FASLG/ARVCF/PNP/CARMIL2/HIRA/SEC24C/DGCR8/ZAP70/MCM10/IKBKB"
