"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP","186","-0.6812982894881620","-3.164924904731755","0.0000000001000000000000000","0.000000007495384615384615","0.000000003119200536737750","2139","tags=67%, list=17%, signal=57%","POLA1/LRR1/MAPK1/FEN1/DUT/BRIP1/RFC5/RAD51/TFDP1/UBE2N/RRM2/RRM1/DNA2/PASK/E2F7/CDK1/POLE/EXO1/CDC45/TCF19/NUP205/E2F8/SEPTIN11/AUNIP/TOP2A/CENPM/CENPK/NCAPG2/TK1/CENPN/MKI67/CENPP/MYBL2/TUBA1B/FOXM1/CENPF/ESCO2/RAD51AP1/NCAPG/AURKB/BIRC5/MTFR2/MELK/SKA1/TICRR/PIF1/SKA3/ANLN/SPC25/UBE2C/CDCA5/ASPM/CLDND1/ACADL/KIF23/PBK/TMEM107/EME1/CDCA3/TTK/SHCBP1/CDKN3/KIF4A/BUB1/CEP55/SMC2/CENPI/FANCD2/KIF24/CCNA2/KIF20A/CENPA/KNL1/STMN1/ZWILCH/LIG1/CDC25C/GTSE1/CCNB2/NCAPH/NEK2/SPC24/NUF2/TPX2/MAD2L1/PLK1/HMGB2/CKS1B/HROB/PRR11/CKAP2L/DEPDC1/ARHGAP11A/TACC3/KIF18B/BUB1B/STIL/HMMR/NUP93/GEN1/PARPBP/CIP2A/CENPE/RACGAP1/MXD3/SPAG5/HMGB3/PIMREG/CCAR1/SPDL1/MIS18BP1/KIF20B/AURKA/KIF22/CDCA2/ARHGAP19/PSRC1/INCENP/CCNF/ECT2/CKAP2/KNSTRN/CKAP5/TUBB4B/RBMX",NA
"GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP","GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP","189","-0.6674144480028535","-3.089398721108437","0.0000000001000000000000000","0.000000007495384615384615","0.000000003119200536737750","2682","tags=72%, list=21%, signal=58%","IDI1/HELLS/MT2A/IDH3A/MCM7/RPA3/MCM10/CTNNAL1/ANP32B/BRCA1/CD109/CENPW/GINS1/CENPH/POLA1/LRR1/FEN1/KNTC1/RAD51/MED7/RRM2/RRM1/DNA2/PASK/E2F7/CDK1/FBXO5/PPIL1/FBXO33/CDC45/TCF19/UQCRFS1/AUNIP/TOP2A/CENPM/SKA2/DSCC1/LSM12/TK1/MYBL1/CENPN/CENPP/RAD54L/FAS/OIP5/CD2BP2/NSD2/ASF1B/MYBL2/TUBA1B/ESCO2/RAD51AP1/NCAPG/POLQ/AURKB/BIRC5/BPNT2/RAD51B/VDAC3/NUSAP1/MELK/SKA1/SKA3/SPC25/ZGRF1/UBE2C/IQGAP3/SACK1D/ASPM/ACADL/KIF23/NEIL3/PBK/FIRRM/YWHAH/TTK/SHCBP1/CDKN3/ESPL1/HYLS1/BUB1/NDC80/CEP55/SMC2/CENPI/KIF20A/CENPA/KNL1/STMN1/LIG1/KIF2C/CDC25C/GTSE1/CCNB2/NCAPH/KIF11/NEK2/DIAPH3/SPC24/NUF2/TPX2/MAD2L1/PLK1/CKS1B/HROB/PRR11/DBF4/CKAP2L/DEPDC1/ARHGAP11A/KIF18B/BUB1B/STIL/CDC20/NEURL1B/HASPIN/HMMR/PCLAF/CDCA8/KPNA2/PARPBP/SGO1/CIP2A/CENPE/RACGAP1/PRC1/MXD3/SPAG5/RAD54B/PIMREG/SPDL1/AURKA/SGO2/KIF22/CKS2/CKAP2/KNSTRN",NA
"GSE37532_WT_VS_PPARG_KO_VISCERAL_ADIPOSE_TISSUE_TREG_UP","GSE37532_WT_VS_PPARG_KO_VISCERAL_ADIPOSE_TISSUE_TREG_UP","185","-0.6606445130297138","-3.062198477100476","0.0000000001000000000000000","0.000000007495384615384615","0.000000003119200536737750","2477","tags=64%, list=19%, signal=52%","CTNNAL1/TCEA1/SANBR/ATP23/HMGN2/MFHAS1/PEX39/PTP4A2/H2AJ/CARHSP1/NAP1L4/GPR137C/DUT/IQGAP1/E2F2/CEP76/TYMS/TAPT1/TUG1/RRM1/FANCI/DEK/C18orf54/CETN3/FBXO5/RTTN/DESI2/SPA17/CDC25B/CCDC34/RAD54L/NRM/DGKZ/OIP5/UBE2T/NSD2/RALBP1/WDR47/H2AZ2/BIRC5/SAE1/NUSAP1/MELK/SKA1/CDKN2C/CEP20/CDCA5/IQGAP3/DTYMK/DCP2/EME1/POLH/SEPHS1/CDKN3/KIF4A/ESPL1/NDC80/CALM3/CENPI/PKMYT1/REXO5/DLGAP5/CTCF/STMN1/PLK4/KIF2C/CDC25C/GTSE1/CGGBP1/H1-10/TCF3/KIF14/TROAP/DIAPH3/CCDC150/TPX2/HMGB2/CKS1B/CKAP2L/DEPDC1/ARHGAP11A/TACC3/POC1A/H2AX/STIL/SAP130/TRIP13/TMPO/PCLAF/CDCA8/KPNA2/IFT122/CLIC4/DEPDC1B/PSIP1/PRC1/MXD3/SPAG5/TRIOBP/CPAP/HMGB3/KIF18A/SGO2/ARHGAP19/CCNF/JPT1/ARHGAP33/ECT2/RNF26/GPSM2/TUBB4B/HP1BP3/SAPCD2/CDC27/TUBA1C/PNRC2/CDK19/RANGAP1",NA
"GSE30962_PRIMARY_VS_SECONDARY_ACUTE_LCMV_INF_CD8_TCELL_UP","GSE30962_PRIMARY_VS_SECONDARY_ACUTE_LCMV_INF_CD8_TCELL_UP","175","-0.6582697963240741","-3.029146822998882","0.0000000001000000000000000","0.000000007495384615384615","0.000000003119200536737750","2065","tags=59%, list=16%, signal=50%","EIF3C/XRCC2/BRIP1/RAD51/RRM2/RRM1/C4orf46/FBXO5/POLE/EXO1/ERCC6L/CDC45/AP1B1/E2F8/EZH2/TOP2A/DSCC1/CENPK/NCAPG2/TK1/CENPN/CENPP/RAD54L/ASF1B/CENPF/ESCO2/AURKB/BIRC5/MTFR2/MNS1/NUSAP1/MELK/SKA1/TICRR/HJURP/PIF1/IPO11/SPC25/CDCA5/ASPM/KIF23/NEIL3/WDR90/EIF4A1/EME1/CDCA3/TTK/SHCBP1/CLPB/KIF4A/ESPL1/BUB1/NDC80/CEP55/SMC2/STT3B/PKMYT1/DLGAP5/CCNA2/KIF20A/CENPA/KNL1/STMN1/PLK4/LIG1/CCNB2/NCAPH/NEK2/SPC24/NUF2/HMGB2/GNAI3/CKS1B/HROB/DBF4/CKAP2L/ARHGAP11A/H2AX/KIF18B/BUB1B/STIL/TRIP13/TMPO/PCLAF/KPNA2/PARPBP/KPTN/CENPE/MXD3/SPAG5/NCAPD2/PKP4/MIS18BP1/KIF20B/PSPC1/SGO2/KIF22/ARHGAP19/CIT/CCNF/CKS2/LUZP1/TUBB4B",NA
"GSE39556_CD8A_DC_VS_NK_CELL_MOUSE_3H_POST_POLYIC_INJ_UP","GSE39556_CD8A_DC_VS_NK_CELL_MOUSE_3H_POST_POLYIC_INJ_UP","189","-0.6361387369831272","-2.944626395733655","0.0000000001000000000000000","0.000000007495384615384615","0.000000003119200536737750","2326","tags=61%, list=18%, signal=51%","BRCA1/GINS1/RPL39L/HADH/ERI2/POLA1/KNTC1/CEP43/DDB2/XRCC2/MPHOSPH6/RFC5/CLGN/RFC3/RRM2/RRM1/FANCI/TIMELESS/DNA2/CDK1/COQ2/POLE/EXO1/PRPS2/CDC45/PRIM2/ACOT7/NUDT1/NUP205/EFCAB11/TOP2A/CSE1L/TK1/TAF5/TMEM106C/OIP5/BLM/FOXM1/RAD51AP1/FANCA/ZWINT/NEMP1/NCAPD3/MELK/FANCG/CDKN2C/KIF23/DTYMK/TTK/CDKN3/ESPL1/SMC4/BUB1/NDC80/PKMYT1/REXO5/DLGAP5/CCNA2/VRK1/ANP32E/CENPA/PLK4/LIG1/KIF2C/CDC25C/GTSE1/CCNB2/NCAPH/KIF11/KIF14/TROAP/NEK2/TPX2/PRPSAP1/CKS1B/DBF4/STK3/ARHGAP11A/CCNB1/H2AX/BUB1B/STIL/CDC20/TRIP13/HMMR/SLC37A4/TMPO/KPNA2/ID2/CLIC4/PHGDH/CENPE/CHEK2/CAMSAP1/PARP2/SPAG5/POP7/UBE2S/TUBG1/HMGB3/APOBEC3B/KIF20B/AURKA/KIF22/CEP131/ARHGAP19/CIT/CCNF/HLTF/CKS2/GPSM2/TUBB4B/CDC27/TBC1D31/KIAA0586/PAK4",NA
"GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_UP","GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_UP","144","-0.6603080601644693","-2.938346109778096","0.0000000001000000000000000","0.000000007495384615384615","0.000000003119200536737750","2760","tags=71%, list=21%, signal=56%","PPP1CA/HDGF/BARD1/ATAD2/H2BC9/WSCD1/ALYREF/MCM10/CTNNAL1/BRCA1/H4C9/TCERG1/RFWD3/KNTC1/XRCC2/H1-3/BRIP1/MCAM/ANAPC5/DNA2/POLE/PPIG/NUP205/E2F8/EZH2/TOP2A/CDC25B/NCAPG2/MYBL1/MKI67/FAF1/UBE2T/NSD2/CENPF/ESCO2/FMNL3/H1-5/H2AZ2/POLQ/SARS2/MNS1/DCPS/PIF1/ANLN/ASPM/KIF23/NEIL3/FUBP1/TTK/KIF4A/KIF15/DUSP4/SMC2/FANCD2/CCNA2/SPSB1/KNL1/STMN1/LIG1/GTSE1/NCAPH/KIF11/KIF14/TROAP/NUCKS1/TPX2/PLK1/PRR11/CKAP2L/ARHGAP11A/LIN54/SHC1/TACC3/KIF18B/BUB1B/NEURL1B/HASPIN/TMPO/CDCA8/CHTF18/CENPE/DUSP6/RACGAP1/PRC1/SPAG5/NCAPD2/CPAP/UBE2S/RAD54B/HMGB3/MIS18BP1/KIF22/CDCA2/ARHGAP19/INCENP/TTF2/CCNF/ECT2/CKAP5/RNF26/MEX3C/EGR1",NA
"GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP","GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP","167","-0.6289164191762244","-2.885785128063824","0.0000000001000000000000000","0.000000007495384615384615","0.000000003119200536737750","2692","tags=65%, list=21%, signal=52%","GNAI2/HELLS/ARF6/MT2A/PPP2R1B/MCM7/MTCH1/RBM45/BRCA1/PLEKHO1/GINS1/CENPH/LRR1/DUT/EIF3C/PALM/BRIP1/RAD51/ORC6/TFDP1/ANAPC5/VCP/RFC3/RRM2/RRM1/DNA2/CDK1/BRCA2/FBXO5/POLE/CDC45/TCF19/E2F8/SLC44A2/TOP2A/TK1/MYBL1/CENPN/MKI67/CENPP/RAD54L/ASF1B/CENPF/ESCO2/RAD51AP1/NCAPG/H1-5/AURKB/BIRC5/LMNB1/SKA1/SPC25/ASPM/KIF23/NEIL3/PBK/EME1/CDCA3/TTK/SHCBP1/CDKN3/KIF4A/KIF15/BUB1/NDC80/CEP55/SMC2/DLGAP5/CCNA2/ANP32E/KNL1/STMN1/LIG1/CDC25C/CCNB2/NCAPH/KIF11/KIF14/SPC24/NUF2/TPX2/MAD2L1/PLK1/HMGB2/CKS1B/PRR11/DEPDC1/ARHGAP11A/TACC3/BUB1B/HMMR/CDCA8/SGO1/CENPE/RACGAP1/PRC1/SPAG5/NCAPD2/HMGB3/MIS18BP1/AURKA/SGO2/ARHGAP19/INCENP/HNRNPUL1/ECT2/CKAP2/NDE1",NA
"GSE25085_FETAL_LIVER_VS_ADULT_BM_SP4_THYMIC_IMPLANT_DN","GSE25085_FETAL_LIVER_VS_ADULT_BM_SP4_THYMIC_IMPLANT_DN","190","-0.6094434858741193","-2.830075138836487","0.0000000001000000000000000","0.000000007495384615384615","0.000000003119200536737750","1705","tags=45%, list=13%, signal=39%","PHF5A/C4orf46/C9orf40/POLE/ERCC6L/DESI2/CDC45/PRIM2/NUDT1/EZH2/EHMT2/CENPP/NRM/OIP5/CD2BP2/FOXM1/RAD51AP1/CEP89/PIAS3/CENPU/ELOA/MELK/PIF1/CEP20/NEIL3/TMEM107/TTK/SMC4/CEP44/CEP55/FANCD2/PABIR2/FXR1/KIF20A/STING1/LRRC40/STK35/VRK1/ANP32E/KNL1/CENPL/PLK4/CDC25C/GTSE1/NCAPH/NUCKS1/SPC24/ARHGAP11A/H2AX/NCBP3/STIL/NEURL1B/SUV39H1/HASPIN/CENPO/CDCA8/PARPBP/GRK2/CENPT/CIP2A/CENPE/NUP107/TEDC1/MPHOSPH9/NCAPD2/UBE2S/HMGB3/TERF1/MIS18A/KIF18A/LMNB2/KIF20B/KIF22/BORA/ECT2/CEP128/PCNT/TUBB4B/CDKN2D/LRWD1/HP1BP3/G2E3/CDK19/PPP2R5D/REEP4",NA
"GSE14415_NATURAL_TREG_VS_TCONV_DN","GSE14415_NATURAL_TREG_VS_TCONV_DN","154","-0.6219815172178645","-2.814977836250580","0.0000000001000000000000000","0.000000007495384615384615","0.000000003119200536737750","2692","tags=63%, list=21%, signal=50%","GNAI2/HELLS/ARF6/NRTN/MCM7/MTCH1/ANP32B/BRCA1/NCKIPSD/GINS1/CENPH/TRNP1/LRR1/MAPK1/DUT/PALM/BRIP1/RAD51C/RAD51/RRM2/DHCR24/RRM1/CDK1/FBXO5/CDC45/E2F8/TOP2A/CENPM/CDC25B/TK1/MYBL1/CENPN/CENPP/RAD54L/BLM/ASF1B/CENPF/ESCO2/NCAPG/H1-5/BIRC5/LMNB1/IQGAP3/ASPM/KIF23/NEIL3/PBK/CDCA3/TTK/CDKN3/KIF4A/KIF15/BUB1/NDC80/CEP55/SMC2/DLGAP5/CCNA2/MSN/SCAF1/KNL1/STMN1/LIG1/CDC25C/CCNB2/NCAPH/KIF11/KIF14/SPC24/NUF2/TPX2/MAD2L1/PLK1/HMGB2/CKS1B/PRR11/CKAP2L/ARHGAP11A/TACC3/BUB1B/HMMR/CDCA8/CHTF18/SGO1/CENPE/ACTB/PRC1/SPAG5/NCAPD2/MIS18BP1/AURKA/SGO2/ARHGAP19/HNRNPUL1/TEAD3/CKAP2/ASXL1",NA
"GSE35543_IN_VITRO_ITREG_VS_CONVERTED_EX_ITREG_UP","GSE35543_IN_VITRO_ITREG_VS_CONVERTED_EX_ITREG_UP","178","-0.6052377618344589","-2.782093770660067","0.0000000001000000000000000","0.000000007495384615384615","0.000000003119200536737750","2326","tags=53%, list=18%, signal=44%","BRCA1/CENPQ/CENPH/GPN1/POLA1/HAUS4/PIH1D1/DDB2/GLIS2/E2F2/RFC5/MAZ/CASK/DEK/NUP210/CDK1/FBXO5/POLE/PTTG1/PRIM2/E2F8/YTHDF2/CENPM/CDC25B/NCAPG2/CENPN/MKI67/CENPP/NRM/MASTL/FOXM1/CENPF/CEP89/GLE1/BIRC5/DDIAS/HAUS6/PTPA/NUSAP1/CASKIN2/SKA1/HJURP/SKA3/UBE2C/IQGAP3/ASPM/KIF23/CDCA3/KIF4A/ESPL1/SMC4/PKMYT1/KIF24/VRK1/STMN1/CENPL/CCNB2/NEK2/WDR62/MAD2L1/CKS1B/PRR11/DBF4/CKAP2L/ARHGAP11A/PHF19/TACC3/POC1A/STIL/SUV39H1/HASPIN/HIRIP3/CDCA8/CHTF18/RACGAP1/SPAG5/NCAPD2/UBE2S/MIS18BP1/SGO2/KIF22/CIT/PSRC1/PSMC3/DCAF15/TRAIP/CEP128/CCSAP/LBR/RNF26/GRK6/PCNT/GAS2L3/SFPQ",NA
"GSE21670_UNTREATED_VS_TGFB_IL6_TREATED_CD4_TCELL_UP","GSE21670_UNTREATED_VS_TGFB_IL6_TREATED_CD4_TCELL_UP","174","-0.5922028793306156","-2.712692788586533","0.0000000001000000000000000","0.000000007495384615384615","0.000000003119200536737750","2155","tags=55%, list=17%, signal=47%","PBX3/ERI2/WDR5/DDB2/SLC35E3/PGBD5/AGBL5/MAZ/ORC6/RFC3/SCAF8/DEK/E2F7/RDM1/ERCC6L/TCF19/STK40/UBR5/NCAPG2/TK1/CCDC34/MYBL1/TAF5/ZMYM1/NSD2/FAM110A/RALBP1/NCAPG/POLQ/CENPU/CEP192/ZWINT/MTFR2/STAG1/CEP57L1/NUSAP1/MELK/FANCG/PIF1/ANLN/SACK1D/NEIL3/WDR90/EME1/CDCA3/POLH/TTK/CEP135/SASS6/BUB1/CENPI/REXO5/PABIR2/KIF20A/CENPA/STMN1/PLK4/CDC25C/CCNB2/NUCKS1/SPC24/NUF2/PALLD/DEPDC1/TACC3/H2AX/BUB1B/CDC20/SUV39H1/CHTF18/CENPE/PSIP1/CAMSAP1/PRC1/MXD3/MPHOSPH9/CCDC18/HMGB3/RTKN2/PIDD1/SPDL1/KIF18A/AURKA/DCLRE1C/PSRC1/WAC/SCLT1/ECT2/RAB15/NDE1/GPSM2/HP1BP3/SAPCD2/TBC1D31/CDK19/GAS2L3",NA
"GSE14415_INDUCED_TREG_VS_TCONV_UP","GSE14415_INDUCED_TREG_VS_TCONV_UP","164","-0.5952577132818559","-2.703384750884533","0.0000000001000000000000000","0.000000007495384615384615","0.000000003119200536737750","2542","tags=56%, list=20%, signal=46%","MCM7/SURF4/RPA3/MCM10/SNRPA1/ARHGAP21/GINS1/RBBP7/HADH/LRR1/DUT/PSMD3/RFC5/RAD51/TFDP1/RFC3/RRM2/JPT2/ETFB/E2F7/CDK1/HAUS1/FBXO5/MRPL18/PPIL1/CDC45/PRIM2/RANBP1/NUDT1/DCK/DSCC1/CDC25B/LSM12/CENPN/MKI67/CENPP/SHMT1/NRM/ASF1B/RAN/RAD51AP1/POLQ/AURKB/PLXNB2/BIRC5/CDKN2C/SPC25/NEIL3/PBK/SNX9/CDCA3/CDKN3/KIF15/BUB1/CALM3/CCNA2/RCC1/NDC1/KNL1/STMN1/CDC25C/CCNB2/TROAP/SPC24/NUF2/MAD2L1/PLK1/CKS1B/CKAP2L/KIF18B/CDC20/BUB3/HIRIP3/TRIP13/HMMR/GEN1/CDCA8/CHTF18/SGO1/PHGDH/SHMT2/DDX39A/MXD3/CEP72/SPAG5/SPDL1/MIS18BP1/AURKA/KIF22/NUP37/TRAIP/TUBB4B",NA
"GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_UP","GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_UP","171","-0.5844572288118778","-2.674857819593775","0.0000000001000000000000000","0.000000007495384615384615","0.000000003119200536737750","2112","tags=52%, list=16%, signal=44%","FEN1/KNTC1/CEP43/INPP5B/RAD51/POLA2/TFDP1/FIBP/RFC3/RRM2/FANCI/TIMELESS/CDK1/PTTG1/CDC45/NUDT1/CENPM/TK1/RAD54L/FAF1/SHMT1/OIP5/BLM/CENPF/RAD51AP1/NCAPG/IDH2/POLQ/ZWINT/NUSAP1/DCPS/MELK/FANCG/HJURP/PIEZO1/UBE2C/ASPM/CLDND1/NEIL3/DTYMK/KIF4A/KIF15/DUSP4/ESPL1/NDC80/CEP55/MANEA/DLGAP5/CCNA2/KIF20A/CENPA/STMN1/PLK4/KIF2C/CDC25C/TDP1/CCNB2/NCAPH/KIF11/TPX2/MAD2L1/PLK1/HMGB2/CCNB1/TACC3/STIL/CDC20/TRIP13/HMMR/CDCA8/PHGDH/CENPE/RACGAP1/PRC1/ARID3B/MPHOSPH9/HMGB3/CDR2/LMNB2/AURKA/KIF22/ARHGAP19/JPT1/PNKP/HNRNPUL1/CKS2/CKAP5/MYH10/EGR1",NA
"GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_DN","GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_DN","170","-0.5766153545725541","-2.640194942293159","0.0000000001000000000000000","0.000000007495384615384615","0.000000003119200536737750","1742","tags=46%, list=13%, signal=41%","IL1R2/DNA2/E2F7/CDK1/EXO1/PLOD2/E2F8/TOP2A/SAP30/CNIH4/MYBL2/FOXM1/CENPF/ESCO2/RAD51AP1/BIRC5/DDIAS/NUSAP1/MELK/SKA1/TICRR/CDKN2C/SKA3/ANLN/SPC25/UBE2C/CDCA5/ASPM/PBK/TTK/SHCBP1/KIF4A/BUB1/CEP55/CENPI/FANCD2/CCNA2/KIF20A/RECQL4/STMN1/LIG1/KIF2C/CDC25C/CCNB2/KIF11/NEK2/SPC24/NUF2/TPX2/PLK1/CKS1B/PRR11/POC1A/KIF18B/STIL/CDC20/NEURL1B/TRIP13/PCLAF/GEN1/KPNA2/PARPBP/SGO1/DEPDC1B/NACC1/CENPE/ALG6/RACGAP1/PKN3/EGR2/TUBG1/CCDC18/AURKA/KIF22/ARHGAP19/CIT/CCNF/CKAP2/LUZP1",NA
"GSE13547_2H_VS_12_H_ANTI_IGM_STIM_BCELL_DN","GSE13547_2H_VS_12_H_ANTI_IGM_STIM_BCELL_DN","165","-0.5783461725180613","-2.626408669154557","0.0000000001000000000000000","0.000000007495384615384615","0.000000003119200536737750","3413","tags=63%, list=26%, signal=47%","CDK4/COPS3/CENPS/SLC25A5/CDC14A/ARSB/NANS/PRIM1/POLE2/H2AC15/HAT1/GMNN/FIGNL1/MRPL42/PSMD12/SC5D/IDI1/C1D/ALYREF/MCM7/SURF4/MCM10/SNRPA1/HMGN2/GINS1/RBBP7/UGP2/ISOC1/DUT/RAD51/ORC6/TFDP1/UBE2N/RFC3/RRM2/JPT2/ETFB/CDK1/HAUS1/FBXO5/MRPL18/CDC45/PRIM2/RANBP1/LYAR/MARS1/DCK/DSCC1/LSM12/CCDC34/CENPN/MKI67/CENPP/SHMT1/NRM/ASF1B/RAN/EIF2S2/RAD51AP1/AURKB/BIRC5/BCKDK/SPC25/ACADL/PBK/EME1/CDCA3/CDKN3/KIF15/BUB1/CCNA2/RCC1/NDC1/KNL1/STMN1/CCNB2/TROAP/SPC24/NUF2/MAD2L1/PLK1/CKS1B/CKAP2L/DEPDC1/H2AX/BUB3/HIRIP3/TRIP13/HMMR/GEN1/CDCA8/SGO1/SHMT2/DDX39A/SPAG5/UBE2S/TUBG1/SPDL1/MIS18BP1/AURKA/KIF22/PSMC3/CKS2/TUBB4B",NA
"GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP","GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP","170","-0.5729016555975244","-2.623190731126529","0.0000000001000000000000000","0.000000007495384615384615","0.000000003119200536737750","1946","tags=51%, list=15%, signal=44%","RFC5/RAD51/TYMS/UBE2N/RRM2/H2AZ1/RRM1/DNA2/CDK1/CMC2/MRPL18/CDC45/TCF19/SYPL1/E2F8/DCK/EZH2/TOP2A/LXN/TK1/MKI67/UBE2T/ASF1B/RAN/TUBA1B/RAD51AP1/AURKB/BIRC5/DNAJC1/GEM/LMNB1/PDK3/NUSAP1/NFYB/CDKN2C/MAPK6/ANLN/IQGAP3/ASPM/KIF23/CDCA3/TTK/CDKN3/KIF4A/BUB1/SMC2/STT3B/DLGAP5/CCNA2/KIF20A/CENPA/STMN1/PLK4/LIG1/KIF2C/CDC25C/CCNB2/NCAPH/KIF11/NEK2/MAD2L1/CKS1B/TACC3/H2AX/CDC20/TMPO/PCLAF/CDCA8/KPNA2/CBX1/CIP2A/H1-0/NR4A1/PRC1/HMGB3/SPDL1/MIS18BP1/AURKA/KIF22/INCENP/CCNF/CKS2/FANCM/ECT2/CKAP5/TUBA1C/EGR1",NA
"GSE40274_CTRL_VS_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP","GSE40274_CTRL_VS_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP","143","-0.5726018954212961","-2.538546403764815","0.0000000001000000000000000","0.000000007495384615384615","0.000000003119200536737750","2210","tags=52%, list=17%, signal=43%","NAGA/ATP13A2/KNTC1/ITGA1/OXR1/PLCH1/RNASEK/E2F2/IL12RB2/POLD1/CDK1/GOLIM4/SPRY2/TCF19/KLHL15/FOSL2/SEPTIN11/TOP2A/MYBL1/MKI67/RAD54L/ASF1B/MASTL/ESCO2/H1-5/AURKB/BIRC5/CDKN2C/DUSP5/ANLN/SPC25/SNX5/CDCA5/KIF23/NEIL3/CDCA3/TTK/SHCBP1/KIF15/BUB1/NDC80/CENPI/DLGAP5/CCNA2/KNL1/STMN1/CDC25C/GTSE1/NCAPH/KIF11/KIF14/NUF2/TPX2/MAD2L1/CKAP2L/DEPDC1/TACC3/KIF18B/STIL/HMMR/GEN1/CDCA8/SGO1/RACGAP1/PRC1/SPAG5/KIF18A/SGO2/KIF22/CDCA2/CIT/PRDM1/ECT2/TBC1D31",NA
"GSE21546_ELK1_KO_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_DN","GSE21546_ELK1_KO_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_DN","179","-0.5530790442998789","-2.537543412410302","0.0000000001000000000000000","0.000000007495384615384615","0.000000003119200536737750","3001","tags=54%, list=23%, signal=42%","TMEM109/TJAP1/TOE1/TRIM29/MRPS34/RFC4/MALSU1/XRCC5/MRPL37/ANAPC1/BAZ1A/FOXRED2/MRM3/GLO1/NUP43/TOR3A/CARD9/MTCH1/MCM10/NOM1/EIF3B/RCC1L/ANP32B/SIVA1/PRPF4/BRCA1/TARBP2/HADH/RBM17/FEN1/KNTC1/EMC8/CPSF4/CDCA4/RBM33/ELAVL1/DNAJC9/POLA2/EPB41L2/THAP11/RRM1/ITGB3BP/TIMELESS/SNRNP25/CDC45/TCF19/MCM8/DNAJC2/SAV1/EZH2/DSCC1/NCAPG2/SLC1A5/LRRC59/JMJD6/BLM/KPNB1/HSP90AA1/MGME1/FUS/CCDC59/POLQ/AURKB/CENPU/NEMP1/NUP85/NUSAP1/SKA1/TICRR/NUP88/CDCA5/ASPM/TTF1/DTYMK/DDX23/CAMK4/KIF4A/CHERP/DUS3L/CMTM7/RECQL4/KNL1/NUCKS1/CCDC150/PRR11/PHF19/CDC20/SPAG5/NCAPD2/CPAP/MIS18A/SGO2/PSRC1/CCNF/NDE1/REEP4",NA
"GSE21063_WT_VS_NFATC1_KO_8H_ANTI_IGM_STIM_BCELL_UP","GSE21063_WT_VS_NFATC1_KO_8H_ANTI_IGM_STIM_BCELL_UP","186","-0.5446546083112553","-2.530155969738661","0.0000000001000000000000000","0.000000007495384615384615","0.000000003119200536737750","1931","tags=48%, list=15%, signal=42%","RAD51/ORC6/POLA2/POGLUT2/TFDP1/TYMS/RFC3/IFI27L1/SDC4/NUP210/E2F7/CDK1/RHEBL1/FBXO5/EXO1/PRPS2/E2F8/EZH2/TOP2A/SKA2/SAP30/MKI67/TMEM106C/RAD54L/FAF1/UBE2T/ASF1B/AURKB/BIRC5/MTHFD1L/SAE1/DCPS/MELK/SKA1/HJURP/SUV39H2/PIF1/ANLN/SNX5/SACK1D/ASPM/DTYMK/TTK/KIF15/HYLS1/BUB1/NDC80/CALM3/TUBB/DLGAP5/CCNA2/KIFC1/VRK1/CENPL/KIF2C/H1-10/NCAPH/KIF11/DIAPH3/SPC24/NUF2/ERI1/TPX2/MAD2L1/CKS1B/DBF4/CCNB1/TACC3/POC1A/H2AX/KIF18B/BUB1B/HIRIP3/CENPO/PARPBP/DEPDC1B/DUSP6/CHEK2/PRC1/SPAG5/HMGB3/LMNB2/AURKA/KIF22/CDCA2/HCFC1/VANGL1/CKS2/ECT2/TMEM237",NA
