"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","TRRUST"
"1","E2F1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.333333333333333","1","6","ENCODE--ChIP-seq(rank=3); Enrichr--Queries(rank=4); Literature--ChIP-seq(rank=4); GTEx--Coexpression(rank=7); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=98)","10","rank=10; score=0.002849","rank=2; score=163.22; p=6.7681e-38; adjP=1.2792e-35","rank=1; score=10.993; p=1.0155e-11"
"2","E2F4","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.666666666666666","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=90); ARCHS4--Coexpression(rank=820); GTEx--Coexpression(rank=971)","16","rank=16; score=0.006098","rank=1; score=1541.2; p=5.8754e-111; adjP=6.1104e-109","rank=3; score=6.4752; p=3.3484e-07"
"3","TP53","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.000000000000000","4","5","ARCHS4--Coexpression(rank=9); Literature--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=99); GTEx--Coexpression(rank=114); Enrichr--Queries(rank=257)","15","rank=15; score=0.005528","rank=8; score=35.534; p=4.3377e-07; adjP=5.7474e-05","rank=4; score=6.3627; p=4.3382e-07"
"4","FOXM1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.000000000000000","2","6","GTEx--Coexpression(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); Enrichr--Queries(rank=3); ARCHS4--Coexpression(rank=7)","2","rank=2; score=0.0006223","rank=3; score=901.03; p=1.3173e-50; adjP=9.9589e-48","rank=28; score=2.4119; p=0.0038735"
"5","E2F3","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.666666666666668","6","3","ARCHS4--Coexpression(rank=17); Enrichr--Queries(rank=25); GTEx--Coexpression(rank=1247)","33","rank=33; score=0.01044","rank=14; score=206.07; p=3.3867e-06; adjP=0.00026835","rank=6; score=5.4702; p=3.387e-06"
"6","TFDP1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","40.666666666666664","9","4","GTEx--Coexpression(rank=4); Enrichr--Queries(rank=14); ReMap--ChIP-seq(rank=15); ARCHS4--Coexpression(rank=22)","9","rank=9; score=0.002489","rank=89; score=43.563; p=0.0026728; adjP=0.044269","rank=24; score=2.573; p=0.0026729"
"7","MYCN","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","50.333333333333329","2","5","Literature--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=50); ARCHS4--Coexpression(rank=61); Enrichr--Queries(rank=204); GTEx--Coexpression(rank=469)","144","rank=144; score=0.03747","rank=5; score=97.802; p=2.8239e-08; adjP=9.9246e-07","rank=2; score=7.5491; p=2.8244e-08"
"8","CTCF","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","51.666666666666664","23","6","ENCODE--ChIP-seq(rank=10); ARCHS4--Coexpression(rank=12); ReMap--ChIP-seq(rank=49); Literature--ChIP-seq(rank=90); Enrichr--Queries(rank=317); GTEx--Coexpression(rank=698)","23","rank=23; score=0.007371","rank=31; score=49.152; p=1.6622e-15; adjP=1.0472e-13","rank=101; score=0.91091; p=0.12277"
"9","STAT1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","55.333333333333336","38","6","GTEx--Coexpression(rank=24); ENCODE--ChIP-seq(rank=48); Enrichr--Queries(rank=75); Literature--ChIP-seq(rank=96); ARCHS4--Coexpression(rank=99); ReMap--ChIP-seq(rank=118)","52","rank=52; score=0.01493","rank=38; score=40.913; p=2.6365e-13; adjP=1.4237e-11","rank=76; score=1.1707; p=0.067497"
"10","MYC","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","58.666666666666671","4","6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=63); Enrichr--Queries(rank=70); ARCHS4--Coexpression(rank=224); GTEx--Coexpression(rank=643)","165","rank=165; score=0.04268","rank=4; score=35.675; p=1.0584e-11; adjP=4.2113e-10","rank=7; score=5.4504; p=3.5445e-06"
