"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE50760","ATF3_high_low_DE","Normal_colon","GO_CC","7","GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX","GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX","-2.105041704453985","0.00000000009999999999999999","0.00000001462857142857143","0.00000001462857142857143","93","370","0.2513513513513513","0.00000000000000000","237","70","0.75268817204301075","0.640540540540540548","0.640540540540540548","0.00586447646794840266","1.00000000000000000","Exclude","GOCC_CATION_CHANNEL_COMPLEX","GOCC_CATION_CHANNEL_COMPLEX",FALSE,"GABRB2/ASPH/CALM2/PRKACA/CACNB2/CACNA1G/CACNA1E/SCN1B/CACNA2D3/SCNN1B/HTR3A/STX1A/ANO1/KCNIP2/SCN3A/TRPC1/DLG2/CACNA2D2/KCNH8/KCNJ8/GRIN2A/CLIC4/HSPA2/NALCN/ORAI1/TRPC6/KCNH2/MICU3/KCNJ5/KCNJ12/KCNMB1/KCNQ4/SCNN1D/PKD1/GRIK3/OLFM3/TTYH1/KCNMA1/OLFM2/ABCC9/CACNA2D1/CPT1C/UNC80/KCNA5/AKAP6/SHISA6/KCNMB4/RYR3/TMEM109/GRIA1/PKD2/SCN7A/CLCNKB/CASQ2/CNGA3/CHRNA3/CACNA1A/KCNA6/CACNA1D/GRIK5/DPP6/CHRNA5/NRN1/CACNA1H/RYR2/CHRNA7/ANO6/KCNH3/KCNE4/CACNA1B/SCN2B/SCN5A/CCDC51/KCNIP3/SHISA9/CHRFAM7A/KCNB1/KCNC4/TRPC4/CACNB1/SCN3B/AMIGO1/KCNQ3/GABRB3/LRRC55/SNAP25/SCN11A/GRIK2/CNGB1/KCNK15/KCNF1/ABCC8/GABRB1","GABRB2/ASPH/CALM2/PRKACA/CACNB2/CACNA1G/CACNA1E/SCN1B/CACNA2D3/SCNN1B/HTR3A/STX1A/ANO1/KCNIP2/SCN3A/TRPC1/DLG2/CACNA2D2/KCNH8/KCNJ8/GRIN2A/CLIC4/HSPA2/NALCN/ORAI1/TRPC6/KCNH2/MICU3/KCNJ5/KCNJ12/KCNMB1/KCNQ4/SCNN1D/PKD1/GRIK3/OLFM3/TTYH1/KCNMA1/OLFM2/ABCC9/CACNA2D1/CPT1C/UNC80/KCNA5/AKAP6/SHISA6/KCNMB4/RYR3/TMEM109/GRIA1/PKD2/SCN7A/CLCNKB/CASQ2/CNGA3/CHRNA3/CACNA1A/KCNA6/CACNA1D/GRIK5/DPP6/CHRNA5/NRN1/CACNA1H/RYR2/CHRNA7/ANO6/KCNH3/KCNE4/CACNA1B/SCN2B/SCN5A/CCDC51/KCNIP3/SHISA9/CHRFAM7A/KCNB1/KCNC4/TRPC4/CACNB1/SCN3B/AMIGO1/KCNQ3/GABRB3/LRRC55/SNAP25/SCN11A/GRIK2/CNGB1/KCNK15/KCNF1/ABCC8/GABRB1"
"GSE50760","ATF3_high_low_DE","Normal_colon","GO_CC","19","GOCC_EXOCYTIC_VESICLE","GOCC_EXOCYTIC_VESICLE","-1.862716686723615","0.00000022054532612769613138","0.00001151273066801974834","0.00001151273066801974665","62","281","0.2206405693950178","0.00000000000000000","45","15","0.24193548387096775","0.160142348754448410","0.107655502392344504","0.04003110936686882226","0.39953026652173779","Exclude","GOCC_PRESYNAPTIC_MEMBRANE","GOCC_PRESYNAPTIC_MEMBRANE",FALSE,"STX1A/SLC18B1/SEMA4C/BACE1/GABBR1/SLC9B2/KIRREL3/SYNGR3/GRIN2A/SLC35G2/WFS1/CLCN5/PRRT2/SYT10/AMPH/PSMC3/PSMB5/ATP6V1G2/AP3M2/SYN2/MT3/TRIM9/RAB3A/PTPRS/HAP1/GRIA1/SYN1/SYPL2/SYT8/SLC18A1/SNAP91/SV2B/SEPTIN5/NGF/SEPTIN4/SNCA/MYOF/SV2A/DPYSL3/DGKI/RAB13/SVOP/SYNGR1/NTF3/SYT11/SLC5A7/SYP/RAB3C/SYT2/SYT4/RNF112/TRAPPC4/SYT1/PTPRN/SNAP25/UNC13A/SV2C/SYT5/ABCC8/PPFIA2/RAB3B/BSN","STX1A/SLC18B1/SEMA4C/BACE1/GABBR1/SLC9B2/KIRREL3/SYNGR3/GRIN2A/SLC35G2/WFS1/CLCN5/PRRT2/SYT10/AMPH/PSMC3/PSMB5/ATP6V1G2/AP3M2/SYN2/MT3/TRIM9/RAB3A/PTPRS/HAP1/GRIA1/SYN1/SYPL2/SYT8/SLC18A1/SNAP91/SV2B/SEPTIN5/NGF/SEPTIN4/SNCA/MYOF/SV2A/DPYSL3/DGKI/RAB13/SVOP/SYNGR1/NTF3/SYT11/SLC5A7/SYP/RAB3C/SYT2/SYT4/RNF112/TRAPPC4/SYT1/PTPRN/SNAP25/UNC13A/SV2C/SYT5/ABCC8/PPFIA2/RAB3B/BSN"
"GSE50760","ATF3_high_low_DE","Normal_colon","GO_CC","21","GOCC_NEURON_PROJECTION_TERMINUS","GOCC_NEURON_PROJECTION_TERMINUS","-2.162795310012149","0.00000032078767077877592972","0.00001564221785130792992","0.00001564221785130792992","34","132","0.2575757575757576","0.00000000000000000","26","11","0.32352941176470590","0.196969696969696961","0.052953156822810592","0.03163538909829966689","0.24567448716572624","Exclude","GOCC_POSTSYNAPTIC_SPECIALIZATION","GOCC_POSTSYNAPTIC_SPECIALIZATION",FALSE,"GNRH1/PRRT2/ELFN1/NMU/GPER1/GRIK3/CAD/CASR/PRNP/RAB3A/FLRT1/TANC1/CHRM1/ROR1/SLC18A1/DMD/KCNA6/SNCA/UCHL1/KCNC4/SYP/CPLX2/TBC1D24/SNCG/SYT1/PTPRN/UNC13A/SCGN/GRIK2/CNGB1/EPHA4/ATCAY/CALB2/BSN","GNRH1/PRRT2/ELFN1/NMU/GPER1/GRIK3/CAD/CASR/PRNP/RAB3A/FLRT1/TANC1/CHRM1/ROR1/SLC18A1/DMD/KCNA6/SNCA/UCHL1/KCNC4/SYP/CPLX2/TBC1D24/SNCG/SYT1/PTPRN/UNC13A/SCGN/GRIK2/CNGB1/EPHA4/ATCAY/CALB2/BSN"
"GSE50760","ATF3_high_low_DE","Normal_colon","GO_CC","22","GOCC_SYNAPTIC_VESICLE_MEMBRANE","GOCC_SYNAPTIC_VESICLE_MEMBRANE","-2.056399957095226","0.00000044043540567652134998","0.00001990831775056626932","0.00001990831775056626932","37","142","0.2605633802816901","0.00000000000000000","19","10","0.27027027027027029","0.133802816901408439","0.037401574803149609","0.00731088487343395724","0.07200012276493561","Exclude","GOCC_POSTSYNAPTIC_SPECIALIZATION","GOCC_POSTSYNAPTIC_SPECIALIZATION",FALSE,"STX1A/SLC18B1/SEMA4C/SLC9B2/SYNGR3/SLC35G2/WFS1/PRRT2/AMPH/ATP6V1G2/SYN2/RAB3A/PTPRS/GRIA1/SYN1/SYPL2/SYT8/SLC18A1/SV2B/SNCA/MYOF/SV2A/DGKI/SVOP/SYNGR1/SLC5A7/SYP/SYT2/SYT4/SYT1/SNAP25/UNC13A/SV2C/SYT5/ABCC8/RAB3B/BSN","STX1A/SLC18B1/SEMA4C/SLC9B2/SYNGR3/SLC35G2/WFS1/PRRT2/AMPH/ATP6V1G2/SYN2/RAB3A/PTPRS/GRIA1/SYN1/SYPL2/SYT8/SLC18A1/SV2B/SNCA/MYOF/SV2A/DGKI/SVOP/SYNGR1/SLC5A7/SYP/SYT2/SYT4/SYT1/SNAP25/UNC13A/SV2C/SYT5/ABCC8/RAB3B/BSN"
"GSE50760","ATF3_high_low_DE","Normal_colon","GO_CC","24","GOCC_ENDOPLASMIC_RETICULUM_LUMEN","GOCC_ENDOPLASMIC_RETICULUM_LUMEN","-1.791757517746362","0.00000067138269551797404365","0.00002864566167543356823","0.00002864566167543356823","104","326","0.3190184049079755","0.00000000000000000","5","4","0.03846153846153846","0.015337423312883436","0.010822510822510822","0.03740013024173009792","0.12373656717211837","Exclude","GOCC_SARCOLEMMA","GOCC_SARCOLEMMA",FALSE,"PPIB/SELENOM/MANF/HRC/COL15A1/PDGFB/COL5A1/P3H2/FKBP10/P3H1/ARSB/CP/COL3A1/ASPH/MELTF/F10/MMRN2/CYP2W1/COL4A1/COL18A1/SUMF2/COL12A1/CKAP4/QSOX1/COL2A1/DAG1/F8/PTGS1/GCG/TSPAN5/GBF1/BACE1/COL4A2/GPC3/COLGALT2/F5/COL8A1/ERAP2/TIMP1/WFS1/POGLUT1/GHRL/VWA1/PTGIS/COL13A1/SPON1/LTBP1/BGLAP/COL5A2/GGCX/SPARCL1/BCHE/CRTAP/COL14A1/COL22A1/COL25A1/IGFBP7/STS/COL28A1/CLU/FSTL3/FBN1/IGFBP4/FSTL1/SDC2/CALU/COL21A1/SPP1/ARSK/COL6A1/IGFBP5/WNT5B/FKBP14/BMP4/CASQ2/LAMC1/COL6A2/ADAMTSL4/COL8A2/ARSI/SERPING1/CHRDL1/LGALS1/LAMB2/COL6A3/MMRN1/LRPAP1/MXRA8/FKBP7/COL16A1/GPX8/TNC/ARSJ/SRL/IGFBP3/TMEM43/CDH2/MFGE8/SCG3/CHGB/VCAN/LAMB1/SCG2/FN1","PPIB/SELENOM/MANF/HRC/COL15A1/PDGFB/COL5A1/P3H2/FKBP10/P3H1/ARSB/CP/COL3A1/ASPH/MELTF/F10/MMRN2/CYP2W1/COL4A1/COL18A1/SUMF2/COL12A1/CKAP4/QSOX1/COL2A1/DAG1/F8/PTGS1/GCG/TSPAN5/GBF1/BACE1/COL4A2/GPC3/COLGALT2/F5/COL8A1/ERAP2/TIMP1/WFS1/POGLUT1/GHRL/VWA1/PTGIS/COL13A1/SPON1/LTBP1/BGLAP/COL5A2/GGCX/SPARCL1/BCHE/CRTAP/COL14A1/COL22A1/COL25A1/IGFBP7/STS/COL28A1/CLU/FSTL3/FBN1/IGFBP4/FSTL1/SDC2/CALU/COL21A1/SPP1/ARSK/COL6A1/IGFBP5/WNT5B/FKBP14/BMP4/CASQ2/LAMC1/COL6A2/ADAMTSL4/COL8A2/ARSI/SERPING1/CHRDL1/LGALS1/LAMB2/COL6A3/MMRN1/LRPAP1/MXRA8/FKBP7/COL16A1/GPX8/TNC/ARSJ/SRL/IGFBP3/TMEM43/CDH2/MFGE8/SCG3/CHGB/VCAN/LAMB1/SCG2/FN1"
"GSE50760","ATF3_high_low_DE","Normal_colon","GO_CC","29","GOCC_EXCITATORY_SYNAPSE","GOCC_EXCITATORY_SYNAPSE","-2.259794862021221","0.00000144360524215995475353","0.00005097419889557910764","0.00005097419889557910764","25","71","0.3521126760563380","0.00000000000000000","13","8","0.32000000000000001","0.183098591549295781","0.090277777777777776","0.03219073149734812817","0.12350724138370085","Exclude","GOCC_PRESYNAPTIC_ACTIVE_ZONE","GOCC_PRESYNAPTIC_ACTIVE_ZONE",FALSE,"GPM6A/NLGN2/ELFN1/GNB5/PALLD/TMEM240/C1QL1/GNAO1/CHD4/SHISA6/GRIA1/PLXNA4/ADGRB3/NLGN3/STXBP1/LRRC4/P2RX6/SYT11/SYP/SYT1/NLGN1/NLGN4X/CTNNA2/CALB2/BSN","GPM6A/NLGN2/ELFN1/GNB5/PALLD/TMEM240/C1QL1/GNAO1/CHD4/SHISA6/GRIA1/PLXNA4/ADGRB3/NLGN3/STXBP1/LRRC4/P2RX6/SYT11/SYP/SYT1/NLGN1/NLGN4X/CTNNA2/CALB2/BSN"
"GSE50760","ATF3_high_low_DE","Normal_colon","GO_CC","30","GOCC_CONDENSED_CHROMOSOME","GOCC_CONDENSED_CHROMOSOME","1.793983520031220","0.00000151336681478451586913","0.00005165625394464482776","0.00005165625394464482776","99","296","0.3344594594594595","0.00000000000000000","208","77","0.77777777777777779","0.702702702702702742","0.576177285318559607","0.02955172250297145517","0.22150207714429374","Exclude","GOCC_CHROMOSOME_CENTROMERIC_REGION","GOCC_CHROMOSOME_CENTROMERIC_REGION",FALSE,"PLK3/CHMP1B/CHMP4B/H3-3B/KIFAP3/CHMP5/SYCE1L/SMC6/CDX2/RAD51/H3-5/CENPL/DMC1/CENPM/BLM/CHMP4C/HMGB1/HUS1/PPP1CC/FIRRM/SMC2/NUF2/PLK1/NCAPD2/SKA3/SPC25/NDC80/MTBP/MACROH2A1/NCAPH/SMARCD1/TOP2A/ACTL6A/BRCA2/BIRC5/KNL1/TEX11/BUB3/H3-3A/TOPBP1/KIF18A/LIG4/CENPE/CENPI/CHMP2B/DSN1/BRCA1/CENPN/SPC24/CENPF/CENPA/CCNB1/CHMP1A/KNTC1/SUV39H1/BUB1/CDC20/CDT1/DCTN2/MKI67/NEK2/FANCD2/CHAMP1/HMGB2/SGO2/KAT2B/KIF22/KIF2C/SYCP2/AURKA/SMARCD2/CDCA2/NDEL1/XRCC4/TTK/CHMP2A/INCENP/KNSTRN/CENPH/PHF6/AURKB/CEBPB/PSEN1/CTCF/CHMP6/SKA1/RAD21/SPAG5/H2AX/RAD9B/SMARCB1/SYCP3/SUGT1/HJURP/NUP133/PMF1/CENPV/MAD2L1/NCAPG","PLK3/CHMP1B/CHMP4B/H3-3B/KIFAP3/CHMP5/SYCE1L/SMC6/CDX2/RAD51/H3-5/CENPL/DMC1/CENPM/BLM/CHMP4C/HMGB1/HUS1/PPP1CC/FIRRM/SMC2/NUF2/PLK1/NCAPD2/SKA3/SPC25/NDC80/MTBP/MACROH2A1/NCAPH/SMARCD1/TOP2A/ACTL6A/BRCA2/BIRC5/KNL1/TEX11/BUB3/H3-3A/TOPBP1/KIF18A/LIG4/CENPE/CENPI/CHMP2B/DSN1/BRCA1/CENPN/SPC24/CENPF/CENPA/CCNB1/CHMP1A/KNTC1/SUV39H1/BUB1/CDC20/CDT1/DCTN2/MKI67/NEK2/FANCD2/CHAMP1/HMGB2/SGO2/KAT2B/KIF22/KIF2C/SYCP2/AURKA/SMARCD2/CDCA2/NDEL1/XRCC4/TTK/CHMP2A/INCENP/KNSTRN/CENPH/PHF6/AURKB/CEBPB/PSEN1/CTCF/CHMP6/SKA1/RAD21/SPAG5/H2AX/RAD9B/SMARCB1/SYCP3/SUGT1/HJURP/NUP133/PMF1/CENPV/MAD2L1/NCAPG"
"GSE50760","ATF3_high_low_DE","Normal_colon","GO_CC","34","GOCC_PERIKARYON","GOCC_PERIKARYON","-1.964255223488072","0.00000662589441941070397249","0.00019955634957284008771","0.00019955634957284008771","38","152","0.2500000000000000","0.00000000000000000","34","13","0.34210526315789475","0.223684210526315791","0.067594433399602388","0.03890708295935741551","0.36951366497594007","Exclude","GOCC_POSTSYNAPTIC_SPECIALIZATION","GOCC_POSTSYNAPTIC_SPECIALIZATION",FALSE,"SORCS2/GNRH1/CTNND2/KNDC1/DRP2/BGLAP/OPRM1/CRYAB/NGFR/GRIK3/ENO2/EPM2A/TTLL7/PTPRS/FLNA/NCDN/PPP5C/CNGA3/SEPTIN4/CRMP1/NDN/ASTN2/KCNB1/SYT11/SLC5A7/CPLX2/AMIGO1/OLFM1/ASTN1/RNF112/ELAVL4/PTPRN/KIF5A/GAP43/PRPH/GRIK2/EPHA4/MAP1B","SORCS2/GNRH1/CTNND2/KNDC1/DRP2/BGLAP/OPRM1/CRYAB/NGFR/GRIK3/ENO2/EPM2A/TTLL7/PTPRS/FLNA/NCDN/PPP5C/CNGA3/SEPTIN4/CRMP1/NDN/ASTN2/KCNB1/SYT11/SLC5A7/CPLX2/AMIGO1/OLFM1/ASTN1/RNF112/ELAVL4/PTPRN/KIF5A/GAP43/PRPH/GRIK2/EPHA4/MAP1B"
"GSE50760","ATF3_high_low_DE","Normal_colon","GO_CC","48","GOCC_ENDOCYTIC_VESICLE_MEMBRANE","GOCC_ENDOCYTIC_VESICLE_MEMBRANE","1.700714097146135","0.00007951754651423453379259","0.00169637432563700353214","0.00169637432563700353214","67","208","0.3221153846153846","0.00000000000000000","46","20","0.29850746268656714","0.221153846153846145","0.093686354378818740","0.04868953125621938716","0.15981715757930054","Exclude","GOCC_LATE_ENDOSOME","GOCC_LATE_ENDOSOME",FALSE,"HBEGF/EREG/AREG/HLA-DRB1/HLA-DQA1/RAB9A/LDLR/RAB11FIP1/TGFA/HLA-DQB1/B2M/CD3D/WASL/CORO1A/CD3G/APPL2/RILP/TGOLN2/FZD5/RAC2/IL7R/LAMP2/RAB43/TAP1/CD74/RAB22A/LYN/UBC/CD4/SCARB1/VAMP8/HLA-DRA/TLR1/ATG5/HLA-C/CD9/TAPBP/HLA-G/ACE2/HLA-A/APOE/HLA-B/TYRP1/SNAP23/VAMP7/UBB/HVCN1/DNM2/RAB8A/MPEG1/RAB39A/RAB7A/RAB32/ATP6V0D2/PIK3R4/ATP7A/RAB20/VAMP3/PIP4P1/STON2/TAP2/FCGR1A/TBC1D5/OCRL/CYBA/CYBB/RAB11A","HBEGF/EREG/AREG/HLA-DRB1/HLA-DQA1/RAB9A/LDLR/RAB11FIP1/TGFA/HLA-DQB1/B2M/CD3D/WASL/CORO1A/CD3G/APPL2/RILP/TGOLN2/FZD5/RAC2/IL7R/LAMP2/RAB43/TAP1/CD74/RAB22A/LYN/UBC/CD4/SCARB1/VAMP8/HLA-DRA/TLR1/ATG5/HLA-C/CD9/TAPBP/HLA-G/ACE2/HLA-A/APOE/HLA-B/TYRP1/SNAP23/VAMP7/UBB/HVCN1/DNM2/RAB8A/MPEG1/RAB39A/RAB7A/RAB32/ATP6V0D2/PIK3R4/ATP7A/RAB20/VAMP3/PIP4P1/STON2/TAP2/FCGR1A/TBC1D5/OCRL/CYBA/CYBB/RAB11A"
"GSE50760","ATF3_high_low_DE","Normal_colon","GO_CC","50","GOCC_EARLY_ENDOSOME","GOCC_EARLY_ENDOSOME","1.540074311755412","0.00008807746763591141629570","0.00180382653718346667310","0.00180382653718346667310","150","457","0.3282275711159737","0.00000000000000000","11","7","0.04666666666666667","0.024070021881838075","0.023305084745762712","0.03378002242486478207","0.45235899851931649","Exclude","GOCC_MHC_PROTEIN_COMPLEX","GOCC_MHC_PROTEIN_COMPLEX",FALSE,"PTP4A1/AP3S2/CXCR4/ATP9A/SNX30/PLEKHF2/LDLR/F2RL1/ZFYVE28/MYO1D/PTPN1/CD8B/TMEM127/DERL1/SLC1A1/EHD4/SORL1/SNX12/B2M/ERBB2/MARCHF8/CORO1A/ACKR2/HAS3/APPL2/SNX13/FCMR/RUBCN/STAMBP/LTF/RAC1/TICAM1/CDH1/FZD5/TPCN1/DIAPH2/SLC30A10/STEAP2/SORT1/APOC2/AP1AR/SNX20/NEURL1B/SNX7/CD22/NCSTN/LMTK2/ARRDC4/HMGB1/KIF16B/CYTIP/USP10/ARF6/WDFY1/WASHC2C/VPS33A/KIFC1/TLR4/SLC9A3/GGA2/RAB22A/C1orf210/TMEM163/CCDC158/CD4/RAB14/RFTN1/GPR65/DNAJC13/CACFD1/WDFY4/TMEM230/HPS3/VAMP8/HLA-DRA/VTI1B/HSPD1/HLA-C/TMEM9B/AP1G1/HLA-G/HLA-A/ABCA7/MAPK3/CMTM6/LITAF/APOE/HLA-B/AP1S1/DTX3L/ABCB9/SNX4/MYO1B/RASEF/VPS26A/CHMP1A/VPS16/ITCH/TLR3/RAB32/HFE/RASGEF1B/ANXA2/ATP6V0D2/TRAK1/SNX6/EEA1/TMEM63B/RAB21/ATP7A/TSG101/RAB20/VAMP3/PLEKHJ1/HAVCR2/MMGT1/RAB1A/FCGR1A/OCRL/SERPINB1/RABGAP1L/RHOB/PSEN1/BLTP3B/DAGLA/SNX32/MVB12B/LDLRAP1/ATP11B/ATP6V0D1/ACKR3/RAB11FIP5/FGD2/EGFR/ATP11A/PI4K2B/TLR9/NIPA2/PHETA1/AP1B1/SLC39A14/PLPP2/TGFBRAP1/PPP1R21/CLCN4/NAPEPLD/VPS35/PIKFYVE/NF2/VPS41","PTP4A1/AP3S2/CXCR4/ATP9A/SNX30/PLEKHF2/LDLR/F2RL1/ZFYVE28/MYO1D/PTPN1/CD8B/TMEM127/DERL1/SLC1A1/EHD4/SORL1/SNX12/B2M/ERBB2/MARCHF8/CORO1A/ACKR2/HAS3/APPL2/SNX13/FCMR/RUBCN/STAMBP/LTF/RAC1/TICAM1/CDH1/FZD5/TPCN1/DIAPH2/SLC30A10/STEAP2/SORT1/APOC2/AP1AR/SNX20/NEURL1B/SNX7/CD22/NCSTN/LMTK2/ARRDC4/HMGB1/KIF16B/CYTIP/USP10/ARF6/WDFY1/WASHC2C/VPS33A/KIFC1/TLR4/SLC9A3/GGA2/RAB22A/C1orf210/TMEM163/CCDC158/CD4/RAB14/RFTN1/GPR65/DNAJC13/CACFD1/WDFY4/TMEM230/HPS3/VAMP8/HLA-DRA/VTI1B/HSPD1/HLA-C/TMEM9B/AP1G1/HLA-G/HLA-A/ABCA7/MAPK3/CMTM6/LITAF/APOE/HLA-B/AP1S1/DTX3L/ABCB9/SNX4/MYO1B/RASEF/VPS26A/CHMP1A/VPS16/ITCH/TLR3/RAB32/HFE/RASGEF1B/ANXA2/ATP6V0D2/TRAK1/SNX6/EEA1/TMEM63B/RAB21/ATP7A/TSG101/RAB20/VAMP3/PLEKHJ1/HAVCR2/MMGT1/RAB1A/FCGR1A/OCRL/SERPINB1/RABGAP1L/RHOB/PSEN1/BLTP3B/DAGLA/SNX32/MVB12B/LDLRAP1/ATP11B/ATP6V0D1/ACKR3/RAB11FIP5/FGD2/EGFR/ATP11A/PI4K2B/TLR9/NIPA2/PHETA1/AP1B1/SLC39A14/PLPP2/TGFBRAP1/PPP1R21/CLCN4/NAPEPLD/VPS35/PIKFYVE/NF2/VPS41"
"GSE50760","ATF3_high_low_DE","Normal_colon","GO_CC","51","GOCC_LATE_ENDOSOME_MEMBRANE","GOCC_LATE_ENDOSOME_MEMBRANE","1.734101264743870","0.00009153847255251808842473","0.00183794893909369739214","0.00183794893909369739214","72","182","0.3956043956043956","0.00000000000000000","17","11","0.15277777777777779","0.093406593406593408","0.089005235602094238","0.02575489778060710208","0.28100686498855842","Exclude","GOCC_MHC_PROTEIN_COMPLEX","GOCC_MHC_PROTEIN_COMPLEX",FALSE,"HLA-DRB1/HLA-DQA1/OSBPL11/CYB561A3/CHMP1B/ATP9A/CHMP4B/SLC1A1/HLA-DQB1/SORL1/SLC9A8/B2M/MARCHF8/CHMP5/SPPL2A/RILP/VPS37B/CHMP4C/LAMP2/SLC38A9/VPS33A/NDFIP2/PMEL/TMEM163/VOPP1/HLA-DMB/HLA-DOB/GPR65/VAMP8/VPS4B/SLC29A3/HLA-DRA/VTI1B/PLEKHM1/PLD1/CHMP2B/HLA-DOA/SNX14/LITAF/VAMP7/SLC30A4/RAB39A/CHMP1A/VPS16/ABCA5/RAB7A/ANXA2/SLC31A2/HLA-DMA/MCOLN2/TSG101/MREG/PIP4P1/STARD3/CHMP2A/RHOB/NPC1/TMEM59/CHMP6/MVB12B/ATG9A/HLA-DPB1/HLA-DPA1/SLC39A14/YIPF1/CLCN4/PIKFYVE/VPS41/ATP13A3/ATP10B/RMC1/VPS36","HLA-DRB1/HLA-DQA1/OSBPL11/CYB561A3/CHMP1B/ATP9A/CHMP4B/SLC1A1/HLA-DQB1/SORL1/SLC9A8/B2M/MARCHF8/CHMP5/SPPL2A/RILP/VPS37B/CHMP4C/LAMP2/SLC38A9/VPS33A/NDFIP2/PMEL/TMEM163/VOPP1/HLA-DMB/HLA-DOB/GPR65/VAMP8/VPS4B/SLC29A3/HLA-DRA/VTI1B/PLEKHM1/PLD1/CHMP2B/HLA-DOA/SNX14/LITAF/VAMP7/SLC30A4/RAB39A/CHMP1A/VPS16/ABCA5/RAB7A/ANXA2/SLC31A2/HLA-DMA/MCOLN2/TSG101/MREG/PIP4P1/STARD3/CHMP2A/RHOB/NPC1/TMEM59/CHMP6/MVB12B/ATG9A/HLA-DPB1/HLA-DPA1/SLC39A14/YIPF1/CLCN4/PIKFYVE/VPS41/ATP13A3/ATP10B/RMC1/VPS36"
"GSE50760","ATF3_high_low_DE","Normal_colon","GO_CC","55","GOCC_NEURON_SPINE","GOCC_NEURON_SPINE","-1.708335529824004","0.00018558132523106368955493","0.00345518685521107758382","0.00345518685521107758382","43","168","0.2559523809523809","0.00000000000000000","8","6","0.13953488372093023","0.047619047619047616","0.032520325203252036","0.00386960859561888458","0.06176045946364110","Exclude","GOCC_PRESYNAPTIC_ACTIVE_ZONE","GOCC_PRESYNAPTIC_ACTIVE_ZONE",FALSE,"GABBR1/ADORA1/GPM6A/LZTS1/GRIN2A/SORCS2/PSD/PRRT2/PALM/DVL1/ARF4/GPER1/CRYAB/NGFR/ADGRB1/MT3/SHISA6/PALMD/HAP1/GRIA1/FBXO2/ATP1A2/LPAR1/KCNN2/DRD1/NR1D1/HOMER1/CAMK2A/SHANK3/MAPT/DGKI/SHISA9/LRRC4/PTCHD1/P2RX6/SYT11/SEZ6/MYH10/GABRB3/NLGN1/EPHA4/MAP1B/PPFIA2","GABBR1/ADORA1/GPM6A/LZTS1/GRIN2A/SORCS2/PSD/PRRT2/PALM/DVL1/ARF4/GPER1/CRYAB/NGFR/ADGRB1/MT3/SHISA6/PALMD/HAP1/GRIA1/FBXO2/ATP1A2/LPAR1/KCNN2/DRD1/NR1D1/HOMER1/CAMK2A/SHANK3/MAPT/DGKI/SHISA9/LRRC4/PTCHD1/P2RX6/SYT11/SEZ6/MYH10/GABRB3/NLGN1/EPHA4/MAP1B/PPFIA2"
