"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","ENRICHR","TRRUST"
"1","FOSL1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.00","4","5","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=11); Enrichr--Queries(rank=404); ARCHS4--Coexpression(rank=1082); GTEx--Coexpression(rank=1124)","14","rank=4; score=1.9828; p=0.010403","rank=14; score=0.003367","rank=19; score=927.7; p=0.006632; adjP=0.041425","rank=7; score=2.0696; p=0.0085193"
"2","JUN","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.25","1","6","ENCODE--ChIP-seq(rank=1); GTEx--Coexpression(rank=7); ReMap--ChIP-seq(rank=18); Literature--ChIP-seq(rank=59); ARCHS4--Coexpression(rank=76); Enrichr--Queries(rank=338)","19","rank=30; score=0.96279; p=0.10895","rank=19; score=0.004356","rank=1; score=69.942; p=0.0011599; adjP=0.12917","rank=27; score=0.87777; p=0.1325"
"3","FOS","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.25","2","5","GTEx--Coexpression(rank=11); ENCODE--ChIP-seq(rank=13); ARCHS4--Coexpression(rank=48); ReMap--ChIP-seq(rank=48); Enrichr--Queries(rank=173)","32","rank=2; score=2.487; p=0.003258","rank=32; score=0.006845","rank=39; score=58.137; p=0.045936; adjP=0.074015","rank=20; score=1.2773; p=0.052806"
"4","ESR1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.25","12","6","Literature--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=7); Enrichr--Queries(rank=25); ReMap--ChIP-seq(rank=37); ARCHS4--Coexpression(rank=96); GTEx--Coexpression(rank=1594)","26","rank=32; score=0.85918; p=0.1383","rank=26; score=0.006098","rank=12; score=133.17; p=0.00084817; adjP=0.087765","rank=23; score=1.1561; p=0.069813"
"5","JUND","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","28.25","8","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=15); Literature--ChIP-seq(rank=38); GTEx--Coexpression(rank=132); Enrichr--Queries(rank=638); ARCHS4--Coexpression(rank=1077)","81","rank=8; score=1.747; p=0.017904","rank=81; score=0.01695","rank=8; score=115.78; p=0.0014517; adjP=0.053857","rank=16; score=1.4972; p=0.031825"
"6","FOSL2","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","51.25","3","5","ENCODE--ChIP-seq(rank=6); Enrichr--Queries(rank=50); ReMap--ChIP-seq(rank=125); ARCHS4--Coexpression(rank=151); GTEx--Coexpression(rank=334)","161","rank=3; score=2.024; p=0.0094616","rank=161; score=0.03561","rank=31; score=337.32; p=0.0093884; adjP=0.041425","rank=10; score=1.8489; p=0.014161"
"7","ARNT","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","54.25","27","5","Literature--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=205); ARCHS4--Coexpression(rank=316); GTEx--Coexpression(rank=559); Enrichr--Queries(rank=983)","115","rank=39; score=0; p=1","rank=115; score=0.02439","rank=27; score=29.73; p=0.007411; adjP=0.27762","rank=36; score=0; p=1"
"8","IRF1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","61.25","19","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=90); ReMap--ChIP-seq(rank=112); ARCHS4--Coexpression(rank=183); Enrichr--Queries(rank=539); GTEx--Coexpression(rank=660)","86","rank=115; score=0; p=1","rank=86; score=0.01829","rank=25; score=85.785; p=0.0072763; adjP=0.069483","rank=19; score=1.3245; p=0.047375"
"9","AHR","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","68.50","32","5","Literature--ChIP-seq(rank=5); Enrichr--Queries(rank=36); ReMap--ChIP-seq(rank=120); ARCHS4--Coexpression(rank=200); GTEx--Coexpression(rank=796)","120","rank=35; score=0; p=1","rank=120; score=0.02564","rank=87; score=26.056; p=0.016406; adjP=0.28139","rank=32; score=0; p=1"
"10","EGR1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","70.25","24","6","GTEx--Coexpression(rank=43); Literature--ChIP-seq(rank=53); ENCODE--ChIP-seq(rank=78); ARCHS4--Coexpression(rank=113); Enrichr--Queries(rank=133); ReMap--ChIP-seq(rank=173)","125","rank=31; score=0.95273; p=0.1115","rank=125; score=0.02676","rank=101; score=32.022; p=0.080405; adjP=0.095617","rank=24; score=1.0947; p=0.080405"
