"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE282081","ATF3_correlation","2D_J2","GO_CC","1","GOCC_COLLAGEN_TRIMER","GOCC_COLLAGEN_TRIMER","-2.411141822812350","0.000008519432707718824","0.008723899092704076","0.007736308109594142","35","86","0.4069767441860465","0.00000000000000000","0","0","0.000000000000000000","0.000000000000000000","0.000000000000000000","1.000000000000000000","0.000000000000000000","Keep","itself","",TRUE,"CCBE1/COL26A1/COL16A1/COL13A1/COL11A2/COL10A1/COL9A2/COL6A1/COL5A1/COL4A5/COL4A2/COL4A1/COL1A2/C1QTNF1/EMILIN1/COLEC10/COL6A6/COL27A1/COLEC11/SFTPA2/SFTPD/COL20A1/SCARA3/MSR1/C1QTNF8/C1QTNF9B/C1QTNF9/COL15A1/COL9A3/EMID1/COL4A6/COL4A4/COL1A1/CTHRC1/C1QTNF2","CCBE1/COL26A1/COL16A1/COL13A1/COL11A2/COL10A1/COL9A2/COL6A1/COL5A1/COL4A5/COL4A2/COL4A1/COL1A2/C1QTNF1/EMILIN1/COLEC10/COL6A6/COL27A1/COLEC11/SFTPA2/SFTPD/COL20A1/SCARA3/MSR1/C1QTNF8/C1QTNF9B/C1QTNF9/COL15A1/COL9A3/EMID1/COL4A6/COL4A4/COL1A1/CTHRC1/C1QTNF2"
"GSE282081","ATF3_correlation","2D_J2","GO_CC","2","GOCC_TRANS_GOLGI_NETWORK","GOCC_TRANS_GOLGI_NETWORK","1.944459565127121","0.000036518227503827150","0.018552130800829753","0.016451932609438655","100","282","0.3546099290780142","0.00000000000000000","0","0","0.000000000000000000","0.000000000000000000","0.000000000000000000","1.000000000000000000","0.000000000000000000","Keep","itself","",TRUE,"CDH1/STX8/OTOF/RAB9A/VAMP3/FCMR/COG7/RAB29/RAB11A/VAMP4/PLEKHA8/SLC9A7/CALN1/KIAA0319L/ATP8B4/TTPAL/TGFBI/VAMP7/SORL1/SNAP25/SLC30A5/GOLPH3/ATXN2/VPS52/RELCH/ELAPOR1/BIRC6/TBC1D23/PI4K2B/YIPF1/INPP5K/SYT17/LAP3/OSBP/OCRL/SLC11A2/MYO1B/ARL1/RAB43/GOLGA4/GNAS/RAB30/KLHL20/NSG1/ATP2C1/AP3M1/NBEA/GCNT1/GBA1/COG4/BACE2/RAB38/ECPAS/DENND5A/GGA2/NMNAT2/COG2/AP1G1/FAM91A1/VPS13B/VTI1A/CLVS2/AP1S3/CIMAP3/TMEM45B/OSBPL10/OSBPL9/AZIN2/RAB31/VAMP5/POSTN/TGOLN2/COG5/ATP8A1/STX6/OPTN/ATP9A/SLC24A5/CLVS1/DOP1B/ATP2C2/RGP1/USP6NL/GCC2/PREPL/SCAMP1/COG1/TJAP1/B4GALT5/MARCHF9/AP1S2/GBF1/STX16/RGS20/LGR5/DPY30/TPST1/COG8/TMEM79/YIPF4","CDH1/STX8/OTOF/RAB9A/VAMP3/FCMR/COG7/RAB29/RAB11A/VAMP4/PLEKHA8/SLC9A7/CALN1/KIAA0319L/ATP8B4/TTPAL/TGFBI/VAMP7/SORL1/SNAP25/SLC30A5/GOLPH3/ATXN2/VPS52/RELCH/ELAPOR1/BIRC6/TBC1D23/PI4K2B/YIPF1/INPP5K/SYT17/LAP3/OSBP/OCRL/SLC11A2/MYO1B/ARL1/RAB43/GOLGA4/GNAS/RAB30/KLHL20/NSG1/ATP2C1/AP3M1/NBEA/GCNT1/GBA1/COG4/BACE2/RAB38/ECPAS/DENND5A/GGA2/NMNAT2/COG2/AP1G1/FAM91A1/VPS13B/VTI1A/CLVS2/AP1S3/CIMAP3/TMEM45B/OSBPL10/OSBPL9/AZIN2/RAB31/VAMP5/POSTN/TGOLN2/COG5/ATP8A1/STX6/OPTN/ATP9A/SLC24A5/CLVS1/DOP1B/ATP2C2/RGP1/USP6NL/GCC2/PREPL/SCAMP1/COG1/TJAP1/B4GALT5/MARCHF9/AP1S2/GBF1/STX16/RGS20/LGR5/DPY30/TPST1/COG8/TMEM79/YIPF4"
"GSE282081","ATF3_correlation","2D_J2","GO_CC","3","GOCC_NUCLEAR_SPECK","GOCC_NUCLEAR_SPECK","1.799889294117654","0.000054351945705555901","0.018552130800829753","0.016451932609438655","109","405","0.2691358024691358","0.00909090909090909","2","1","0.009174311926605505","0.004938271604938272","0.002919708029197080","0.466324410218799668","0.584286110900785083","Keep","GOCC_TRANS_GOLGI_NETWORK","GOCC_TRANS_GOLGI_NETWORK",FALSE,"THOC1/NR1H4/THRAP3/ZC3H11A/MAML1/RBM39/ADAMTS4/CDYL/YTHDC1/PRPF3/PIAS2/MAML2/DYRK3/NSRP1/SPOP/SPRTN/AKAP17A/NRIP1/RNF34/KAT6A/ZC3H14/CBLL1/SAP130/DDX39B/FTO/ZNF217/RNF113A/TERT/TCF12/SRPK2/SRP54/SON/BNIP3L/RBM15/ILRUN/SGK1/ZNF106/SFPQ/S100A11/RING1/RFXAP/RBM4/RBBP6/RBM25/CWC22/MRTFB/GATAD2B/RAD18/METTL3/KMT2E/PPP4R3A/PRKACA/MAML3/SMU1/PPP1R8/NCAPG2/CWC25/POLR2D/PNN/PLRG1/PLAG1/CDK12/LUC7L3/CWC15/POMP/CDC40/CRNKL1/RSRC1/COPS4/SCAPER/NONO/FOXO4/KIF22/IK/MSL1/HSPA1A/APBB1/HNRNPU/ZNF621/GLI3/ZNF638/GCNT1/FBXL4/PNISR/SRRM2/MTREX/TARDBP/AFF2/PSME4/ZC3H13/EXOSC7/SNW1/EPAS1/DHX36/SGO1/E2F7/TRIM69/RMI2/SF3A3/TCERG1/NEK6/PRPF8/SLU7/DDX17/NXF1/SMNDC1/SRRM1/TOPORS/SMC4","THOC1/NR1H4/THRAP3/ZC3H11A/MAML1/RBM39/CIRSR/ADAMTS4/CDYL/YTHDC1/PRPF3/PIAS2/MAML2/DYRK3/NSRP1/SPOP/SPRTN/AKAP17A/NRIP1/RNF34/KAT6A/ZC3H14/CBLL1/SAP130/DDX39B/FTO/ZNF217/RNF113A/TERT/TCF12/SRPK2/SRP54/SON/BNIP3L/RBM15/ILRUN/SGK1/ZNF106/SFPQ/S100A11/RING1/RFXAP/RBM4/RBBP6/RBM25/CWC22/MRTFB/GATAD2B/RAD18/METTL3/KMT2E/PPP4R3A/PRKACA/MAML3/SMU1/PPP1R8/NCAPG2/CWC25/POLR2D/PNN/PLRG1/PLAG1/CDK12/LUC7L3/CWC15/POMP/CDC40/CRNKL1/RSRC1/COPS4/SCAPER/NONO/FOXO4/KIF22/IK/MSL1/HSPA1A/APBB1/HNRNPU/ZNF621/GLI3/ZNF638/GCNT1/FBXL4/PNISR/SRRM2/MTREX/TARDBP/AFF2/PSME4/ZC3H13/EXOSC7/SNW1/EPAS1/DHX36/SGO1/E2F7/TRIM69/RMI2/SF3A3/TCERG1/NEK6/PRPF8/SLU7/DDX17/NXF1/SMNDC1/SRRM1/TOPORS/SMC4"
"GSE282081","ATF3_correlation","2D_J2","GO_CC","4","GOCC_NUCLEAR_RIBONUCLEOPROTEIN_GRANULE","GOCC_NUCLEAR_RIBONUCLEOPROTEIN_GRANULE","1.733145816989379","0.000098315964889256029","0.025168887011649543","0.022319637426861737","118","481","0.2453222453222453","0.01666666666666667","405","109","0.923728813559322015","0.841995841995841987","0.841995841995841987","0.002561402985090284","1.000000000000000000","Exclude","GOCC_NUCLEAR_SPECK","GOCC_NUCLEAR_SPECK",FALSE,"THOC1/NR1H4/THRAP3/ZC3H11A/MAML1/RBM39/ADAMTS4/CDYL/YTHDC1/PRPF3/PIAS2/ZPR1/ZC3H8/MAML2/DYRK3/NSRP1/SPOP/SPRTN/AKAP17A/NRIP1/RNF34/KAT6A/ZC3H14/CBLL1/ICE2/SAP130/DDX39B/FTO/ZNF217/RNF113A/VRK1/TERT/TCF12/SRPK2/SRP54/SON/BNIP3L/RBM15/ILRUN/SGK1/ZNF106/SFPQ/S100A11/BCL6/RING1/RFXAP/RBM4/RBBP6/RBM25/CWC22/MRTFB/GATAD2B/RAD18/METTL3/KMT2E/PPP4R3A/PRKACA/MAML3/SMU1/PPP1R8/NCAPG2/CWC25/POLR2D/PNN/PLRG1/PLAG1/CDK12/LUC7L3/CWC15/POMP/CDC40/CRNKL1/RSRC1/COPS4/SCAPER/NONO/FOXO4/KIF22/IK/MSL1/HSPA1A/APBB1/HNRNPU/ZNF621/GLI3/ZNF638/GCNT1/FBXL4/PNISR/ZNF473/FRG1/SRRM2/MTREX/TARDBP/AFF2/PSME4/ZC3H13/EXOSC7/SNW1/EPAS1/DKC1/DHX36/SGO1/E2F7/TRIM69/RMI2/SF3A3/TCERG1/NEK6/PRPF8/SLU7/DDX17/NXF1/SMNDC1/SRRM1/TOPORS/CDK2/SMC4","THOC1/NR1H4/THRAP3/ZC3H11A/MAML1/RBM39/CIRSR/ADAMTS4/CDYL/YTHDC1/PRPF3/PIAS2/ZPR1/ZC3H8/MAML2/DYRK3/NSRP1/SPOP/SPRTN/AKAP17A/NRIP1/RNF34/KAT6A/ZC3H14/CBLL1/ICE2/SIRAL1/SAP130/DDX39B/FTO/ZNF217/RNF113A/VRK1/TERT/TCF12/SRPK2/SRP54/SON/BNIP3L/RBM15/ILRUN/SGK1/ZNF106/SFPQ/S100A11/BCL6/RING1/RFXAP/RBM4/RBBP6/RBM25/CWC22/MRTFB/GATAD2B/RAD18/METTL3/KMT2E/PPP4R3A/PRKACA/MAML3/SMU1/PPP1R8/NCAPG2/CWC25/POLR2D/PNN/PLRG1/PLAG1/CDK12/LUC7L3/CWC15/POMP/CDC40/CRNKL1/RSRC1/COPS4/SCAPER/NONO/FOXO4/KIF22/IK/MSL1/HSPA1A/APBB1/HNRNPU/ZNF621/GLI3/ZNF638/GCNT1/FBXL4/PNISR/ZNF473/FRG1/SRRM2/MTREX/TARDBP/AFF2/PSME4/ZC3H13/EXOSC7/SNW1/EPAS1/DKC1/DHX36/SGO1/E2F7/TRIM69/RMI2/SF3A3/TCERG1/NEK6/PRPF8/SLU7/DDX17/NXF1/SMNDC1/SRRM1/TOPORS/CDK2/SMC4"
"GSE282081","ATF3_correlation","2D_J2","GO_CC","5","GOCC_CYTOSOLIC_RIBOSOME","GOCC_CYTOSOLIC_RIBOSOME","2.083448382906533","0.000174516587160503290","0.035740997050471075","0.031694929341604089","28","121","0.2314049586776860","0.00000000000000000","0","0","0.000000000000000000","0.000000000000000000","0.000000000000000000","1.000000000000000000","0.000000000000000000","Keep","itself","",TRUE,"RNF10/RNF14/RPL23/RPL14/UBB/RNF25/RPS26/RPS25/RPS24/RPS23/RPS20/RPS12/RPS8/RPS7/RPS3A/RPL38/RPL36AL/RPL31/RPL30/RPL27/RPL22/RPL21/RPL17/RPL15/RPL11/RPL7A/RPL6/RPL5","RNF10/RNF14/RPL23/RPL14/UBB/RNF25/RPS26/RPS25/RPS24/RPS23/RPS20/RPS12/RPS8/RPS7/RPS3A/RPL38/RPL36AL/RPL31/RPL30/RPL27/RPL22/RPL21/RPL17/RPL15/RPL11/RPL7A/RPL6/RPL5"
"GSE282081","ATF3_correlation","2D_J2","GO_CC","6","GOCC_SPERMATOPROTEASOME_COMPLEX","GOCC_SPERMATOPROTEASOME_COMPLEX","2.202306309927183","0.000418117802707226123","0.065657577243123280","0.058224796261924019","15","18","0.8333333333333334","0.00000000000000000","1","1","0.066666666666666666","0.055555555555555552","0.002369668246445498","0.833333333333333259","0.269135802469135710","Keep","GOCC_NUCLEAR_SPECK","GOCC_NUCLEAR_SPECK",FALSE,"PSMB9/PSMB8/PSMB7/PSMB3/PSMB2/PSMA5/PSME4/PSMB6/PSMB5/PSMB4/PSMB1/PSMA4/PSMA3/PSMA2/PSMA1","PSMB9/PSMB8/PSMB7/PSMB3/PSMB2/PSMA5/PSME4/PSMB6/PSMB5/PSMB4/PSMB1/PSMA4/PSMA3/PSMA2/PSMA1"
"GSE282081","ATF3_correlation","2D_J2","GO_CC","7","GOCC_SPLICEOSOMAL_COMPLEX","GOCC_SPLICEOSOMAL_COMPLEX","1.818261405544559","0.000448831094435413116","0.065657577243123280","0.058224796261924019","61","219","0.2785388127853881","0.01612903225806452","74","24","0.393442622950819665","0.337899543378995415","0.134545454545454551","0.178380154964046217","0.149536442259291968","Keep","GOCC_NUCLEAR_SPECK","GOCC_NUCLEAR_SPECK",FALSE,"DHX38/CRIPT/PRPF3/RBM17/GEMIN2/RBM48/AKAP17A/PRKRIP1/DHX40/DDX39B/RNF113A/SNRPF/SNRPE/SNRPD3/DHX35/RHEB/CWC22/CTNNBL1/DHX32/LUC7L/RNPC3/RBM41/SMU1/PRPF38B/PPP1R8/TXNL4B/CWC25/PNN/PPIL3/PLRG1/LUC7L3/CWC15/CDC40/CRNKL1/RBMXL1/MFAP1/RBM44/IK/HNRNPU/HNRNPH1/HNRNPF/HTATSF1/FRG1/PPIL2/SRRM2/MTREX/SF3B3/PPWD1/SNW1/KHDC4/DHX8/DQX1/SNRNP27/SF3A3/USP39/PRPF8/SLU7/ADAR/SMNDC1/SRRM1/HNRNPR","DHX38/CIRSR/CRIPT/PRPF3/RBM17/GEMIN2/RBM48/AKAP17A/PRKRIP1/DHX40/DDX39B/RNF113A/SNRPF/SNRPE/SNRPD3/DHX35/RHEB/CWC22/CTNNBL1/DHX32/LUC7L/RNPC3/RBM41/SMU1/PRPF38B/PPP1R8/TXNL4B/CWC25/PNN/PPIL3/PLRG1/LUC7L3/CWC15/CDC40/CRNKL1/RBMXL1/MFAP1/RBM44/IK/HNRNPU/HNRNPH1/HNRNPF/HTATSF1/FRG1/PPIL2/SRRM2/MTREX/SF3B3/PPWD1/SNW1/KHDC4/DHX8/DQX1/SNRNP27/SF3A3/USP39/PRPF8/SLU7/ADAR/SMNDC1/SRRM1/HNRNPR"
"GSE282081","ATF3_correlation","2D_J2","GO_CC","8","GOCC_IGM_IMMUNOGLOBULIN_COMPLEX","GOCC_IGM_IMMUNOGLOBULIN_COMPLEX","1.675458077723786","0.000810904043656369305","0.093411603296056606","0.082836921476297856","2","10","0.2000000000000000","0.00000000000000000","0","0","0.000000000000000000","0.000000000000000000","0.000000000000000000","1.000000000000000000","0.000000000000000000","Keep","itself","",TRUE,"CD79B/CD79A","CD79B/CD79A"
"GSE282081","ATF3_correlation","2D_J2","GO_CC","9","GOCC_GOLGI_APPARATUS_SUBCOMPARTMENT","GOCC_GOLGI_APPARATUS_SUBCOMPARTMENT","1.655468553912489","0.000821000419594247592","0.093411603296056606","0.082836921476297856","128","403","0.3176178660049628","0.00000000000000000","282","100","0.781250000000000000","0.699751861042183676","0.699751861042183676","0.009388483420743573","1.000000000000000000","Exclude","GOCC_TRANS_GOLGI_NETWORK","GOCC_TRANS_GOLGI_NETWORK",FALSE,"CDH1/STX8/OTOF/RAB9A/VAMP3/FCMR/COG7/RAB29/RAB11A/B4GALT3/VAMP4/PLEKHA8/SLC9A7/CALN1/UXS1/KIAA0319L/ATP8B4/ZDHHC14/TTPAL/VRK1/TGFBI/VAMP7/SORL1/SNAP25/SLC30A5/ST3GAL3/ST6GAL1/GOLPH3/ATXN2/VPS52/RELCH/ELAPOR1/BIRC6/TBC1D23/CSGALNACT2/PI4K2B/YIPF1/ZFYVE1/INPP5K/SYT17/TRAPPC4/LAP3/OSBP/OCRL/SLC11A2/MYO1B/ARL1/GOLGA6A/RAB43/GOLGB1/GOLGA4/GOLGA3/GNAS/GOLIM4/RAB30/KLHL20/NSG1/ATP2C1/AP3M1/NBEA/GCNT1/GBA1/LYSET/TMEM87A/SGMS1/COG4/BACE2/RAB38/TMED3/ECPAS/DENND5A/SCFD1/GGA2/NMNAT2/GOLGA8A/COG2/AP1G1/FAM91A1/VPS13B/VTI1A/CLVS2/AP1S3/CIMAP3/PLK3/TMEM45B/OSBPL10/OSBPL9/AZIN2/RAB31/VAMP5/POSTN/TGOLN2/COG5/ATP8A1/STX6/OPTN/ATP9A/GOLGA6D/SLC24A5/CLVS1/DOP1B/GOLGA5/ATP2C2/RGP1/USP6NL/GCC2/PREPL/TMEM59/GOSR1/SCAMP1/COG1/TJAP1/B4GALT5/MARCHF9/AP1S2/GBF1/MBTPS1/B4GALT2/STX16/USO1/RGS20/LGR5/DPY30/ST6GAL2/TPST1/COG8/TMEM79/YIPF4","CDH1/STX8/OTOF/RAB9A/VAMP3/FCMR/COG7/RAB29/RAB11A/B4GALT3/VAMP4/PLEKHA8/SLC9A7/CALN1/UXS1/KIAA0319L/ATP8B4/ZDHHC14/TTPAL/VRK1/TGFBI/VAMP7/SORL1/SNAP25/SLC30A5/ST3GAL3/ST6GAL1/GOLPH3/ATXN2/VPS52/RELCH/ELAPOR1/BIRC6/TBC1D23/CSGALNACT2/PI4K2B/YIPF1/ZFYVE1/INPP5K/SYT17/TRAPPC4/LAP3/OSBP/OCRL/SLC11A2/MYO1B/ARL1/GOLGA6A/RAB43/GOLGB1/GOLGA4/GOLGA3/GNAS/GOLIM4/RAB30/KLHL20/NSG1/ATP2C1/AP3M1/NBEA/GCNT1/GBA1/LYSET/TMEM87A/SGMS1/COG4/BACE2/RAB38/TMED3/ECPAS/DENND5A/SCFD1/GGA2/NMNAT2/GOLGA8A/COG2/AP1G1/FAM91A1/VPS13B/VTI1A/CLVS2/AP1S3/CIMAP3/PLK3/TMEM45B/OSBPL10/OSBPL9/AZIN2/RAB31/VAMP5/POSTN/TGOLN2/COG5/ATP8A1/STX6/OPTN/ATP9A/GOLGA6D/SLC24A5/CLVS1/DOP1B/GOLGA5/ATP2C2/RGP1/USP6NL/GCC2/PREPL/TMEM59/GOSR1/SCAMP1/COG1/TJAP1/B4GALT5/MARCHF9/AP1S2/GBF1/MBTPS1/B4GALT2/STX16/USO1/RGS20/LGR5/DPY30/ST6GAL2/TPST1/COG8/TMEM79/YIPF4"
"GSE282081","ATF3_correlation","2D_J2","GO_CC","10","GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT","GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT","2.031515734864815","0.001355255963998754825","0.138778210713472488","0.123067791771628243","33","58","0.5689655172413793","0.00000000000000000","0","0","0.000000000000000000","0.000000000000000000","0.000000000000000000","1.000000000000000000","0.000000000000000000","Keep","itself","",TRUE,"RPL23/RPL14/RPL38/RPL36AL/RPL31/RPL30/RPL27/RPL22/RPL21/RPL17/RPL15/RPL11/RPL7A/RPL6/RPL5/ZCCHC17/RPL7L1/RPLP0/RPL36A/RPL39/RPL37A/RPL37/RPL35A/RPL34/RPL32/RPL27A/RPL26/RPL24/RPL23A/RPL9/RPL7/RPL4/RPL3","RPL23/RPL14/RPL38/RPL36AL/RPL31/RPL30/RPL27/RPL22/RPL21/RPL17/RPL15/RPL11/RPL7A/RPL6/RPL5/ZCCHC17/RPL7L1/RPLP0/RPL36A/RPL39/RPL37A/RPL37/RPL35A/RPL34/RPL32/RPL27A/RPL26/RPL24/RPL23A/RPL9/RPL7/RPL4/RPL3"
"GSE282081","ATF3_correlation","2D_J2","GO_CC","11","GOCC_SMALL_SUBUNIT_PROCESSOME","GOCC_SMALL_SUBUNIT_PROCESSOME","1.873103597486935","0.002227274584538457575","0.207339015869761861","0.183867155369780488","26","74","0.3513513513513514","0.00000000000000000","20","6","0.230769230769230782","0.270270270270270285","0.114285714285714282","0.797360425252528038","0.297683929700138405","Keep","GOCC_CYTOSOLIC_RIBOSOME","GOCC_CYTOSOLIC_RIBOSOME",FALSE,"NOP14/UTP4/UTP23/NOL10/RPS24/RPS23/RPS12/RPS8/RPS7/RPS3A/PWP2/UTP3/PRKDC/UTP6/NAT10/HEATR1/EXOSC10/UTP11/DIMT1/UTP25/DCAF13/FSAF1/WDR3/UTP14A/NOP56/MPHOSPH10","NOP14/UTP4/UTP23/NOL10/RPS24/RPS23/RPS12/RPS8/RPS7/RPS3A/PWP2/UTP3/PRKDC/UTP6/NAT10/HEATR1/EXOSC10/UTP11/DIMT1/UTP25/DCAF13/FSAF1/WDR3/UTP14A/NOP56/MPHOSPH10"
"GSE282081","ATF3_correlation","2D_J2","GO_CC","12","GOCC_SPINDLE_POLE","GOCC_SPINDLE_POLE","1.728850890919858","0.002715540444358033236","0.219259457258426826","0.194438140476909410","76","185","0.4108108108108108","0.01298701298701299","2","2","0.026315789473684209","0.010810810810810811","0.004301075268817204","0.167450058754406578","0.124933747255243421","Keep","GOCC_TRANS_GOLGI_NETWORK","GOCC_TRANS_GOLGI_NETWORK",FALSE,"CDC6/KIF20B/ZW10/CEP95/RAB11A/TNKS/CDC14B/PKP4/UXT/CEP63/ANKRD53/BRCC3/MIS12/ALMS1/TPT1/CEP85/BIRC6/KIF15/TBCCD1/MAP10/YPEL5/NIN/DYNC1LI1/SBDS/KIF11/KIF2A/IK/HNRNPU/KANSL1/LATS2/POC1A/ABRAXAS2/MAPKBP1/SGO1/RMDN2/KASH5/PLK3/RASSF1/KATNA1/TOPBP1/RALBP1/NEK6/SPAG5/MCRS1/TUBGCP3/TOPORS/OR2A4/CDC25B/CKAP5/KNTC1/CEP104/BOD1/SMC3/LATS1/UNC119/PRC1/KNSTRN/ARHGEF7/CDC14A/TUBGCP6/CEP19/CEP89/KLHL22/PSRC1/CUL3/KATNAL1/MAD1L1/SMC1A/DIAPH3/CEP44/CALM2/ALPK1/DSN1/CSPP1/KATNBL1/SMC6","CDC6/KIF20B/ZW10/CEP95/RAB11A/TNKS/CDC14B/PKP4/UXT/CEP63/ANKRD53/BRCC3/MIS12/ALMS1/TPT1/CEP85/BIRC6/KIF15/TBCCD1/MAP10/YPEL5/NIN/DYNC1LI1/SBDS/KIF11/KIF2A/IK/HNRNPU/KANSL1/LATS2/POC1A/ABRAXAS2/MAPKBP1/SGO1/RMDN2/KASH5/PLK3/RASSF1/KATNA1/TOPBP1/RALBP1/NEK6/SPAG5/MCRS1/TUBGCP3/TOPORS/OR2A4/CDC25B/CKAP5/KNTC1/CEP104/BOD1/SMC3/LATS1/UNC119/PRC1/KNSTRN/ARHGEF7/CDC14A/TUBGCP6/CEP19/CEP89/KLHL22/PSRC1/CUL3/KATNAL1/MAD1L1/SMC1A/DIAPH3/SACK1D/CEP44/CALM2/ALPK1/DSN1/CSPP1/KATNBL1/SMC6"
"GSE282081","ATF3_correlation","2D_J2","GO_CC","13","GOCC_PROTEASOME_STORAGE_GRANULE","GOCC_PROTEASOME_STORAGE_GRANULE","2.025244474721479","0.002895603161994677287","0.219259457258426826","0.194438140476909410","16","19","0.8421052631578947","0.00000000000000000","13","12","0.750000000000000000","0.684210526315789491","0.541666666666666630","0.221878224974200150","0.171568627450980504","Keep","GOCC_SPERMATOPROTEASOME_COMPLEX","GOCC_SPERMATOPROTEASOME_COMPLEX",FALSE,"PSMD2/PSMB7/PSMB3/PSMB2/PSMA5/PSME1/PSMD1/PSMB6/PSMB5/PSMB4/PSMB1/PSMA7/PSMA4/PSMA3/PSMA2/PSMA1","PSMD2/PSMB7/PSMB3/PSMB2/PSMA5/PSME1/PSMD1/PSMB6/PSMB5/PSMB4/PSMB1/PSMA7/PSMA4/PSMA3/PSMA2/PSMA1"
"GSE282081","ATF3_correlation","2D_J2","GO_CC","14","GOCC_ORGANELLAR_RIBOSOME","GOCC_ORGANELLAR_RIBOSOME","-1.796405536067655","0.002997687892205054810","0.219259457258426826","0.194438140476909410","22","84","0.2619047619047619","0.00000000000000000","0","0","0.000000000000000000","0.000000000000000000","0.000000000000000000","1.000000000000000000","0.000000000000000000","Keep","itself","",TRUE,"MRPL24/MRPS34/MRPL44/MRPL34/MRPL40/MRPS11/MRPS26/MRPL17/MRPS12/MRPL12/AURKAIP1/MRPS17/MRPL35/MRPL30/MRPL51/MRPS2/MRPL2/MRPL46/MTG2/MRPL55/MRPL52/MRPL28","MRPL24/MRPS34/MRPL44/MRPL34/MRPL40/MRPS11/MRPS26/MRPL17/MRPS12/MRPL12/AURKAIP1/MRPS17/MRPL35/MRPL30/MRPL51/MRPS2/MRPL2/MRPL46/MTG2/MRPL55/MRPL52/MRPL28"
"GSE282081","ATF3_correlation","2D_J2","GO_CC","15","GOCC_A_BAND","GOCC_A_BAND","1.918948738529848","0.004024147772506227877","0.265110904538133907","0.235098964227528490","16","41","0.3902439024390244","0.00000000000000000","0","0","0.000000000000000000","0.000000000000000000","0.000000000000000000","1.000000000000000000","0.000000000000000000","Keep","itself","",TRUE,"MYOM2/KAT2B/OBSCN/SPTBN1/DST/PPP1R12A/MYBPC2/NBR1/ANK2/ANK1/SMPX/CMYA5/CRYAB/MYOM3/TRIM63/MYL7","MYOM2/KAT2B/OBSCN/SPTBN1/DST/PPP1R12A/MYBPC2/NBR1/ANK2/ANK1/SMPX/CMYA5/CRYAB/MYOM3/TRIM63/MYL7"
"GSE282081","ATF3_correlation","2D_J2","GO_CC","16","GOCC_PROTEASOME_CORE_COMPLEX_BETA_SUBUNIT_COMPLEX","GOCC_PROTEASOME_CORE_COMPLEX_BETA_SUBUNIT_COMPLEX","1.989581132109511","0.004644936709329664133","0.265110904538133907","0.235098964227528490","9","11","0.8181818181818182","0.00000000000000000","7","7","0.777777777777777790","0.636363636363636354","0.304347826086956541","0.109090909090909113","0.227038183694530410","Keep","GOCC_PROTEASOME_STORAGE_GRANULE","GOCC_PROTEASOME_STORAGE_GRANULE",FALSE,"PSMB9/PSMB8/PSMB7/PSMB3/PSMB2/PSMB6/PSMB5/PSMB4/PSMB1","PSMB9/PSMB8/PSMB7/PSMB3/PSMB2/PSMB6/PSMB5/PSMB4/PSMB1"
"GSE282081","ATF3_correlation","2D_J2","GO_CC","17","GOCC_U12_TYPE_CATALYTIC_STEP_2_SPLICEOSOME","GOCC_U12_TYPE_CATALYTIC_STEP_2_SPLICEOSOME","1.952372563250048","0.004976035536803917469","0.265110904538133907","0.235098964227528490","16","38","0.4210526315789473","0.00000000000000000","16","9","0.562500000000000000","0.421052631578947345","0.037470725995316159","0.120402789015256917","0.010931047204837736","Keep","GOCC_NUCLEAR_SPECK","GOCC_NUCLEAR_SPECK",TRUE,"CRIPT/RBM48/RNF113A/SNRPF/SNRPE/SNRPD3/CWC22/PLRG1/CWC15/CRNKL1/PPIL2/SRRM2/SF3B3/SNW1/PRPF8/SRRM1","CRIPT/RBM48/RNF113A/SNRPF/SNRPE/SNRPD3/CWC22/PLRG1/CWC15/CRNKL1/PPIL2/SRRM2/SF3B3/SNW1/PRPF8/SRRM1"
"GSE282081","ATF3_correlation","2D_J2","GO_CC","18","GOCC_HEMOGLOBIN_COMPLEX","GOCC_HEMOGLOBIN_COMPLEX","-1.874399837467015","0.005088864808920190615","0.265110904538133907","0.235098964227528490","5","12","0.4166666666666667","0.00000000000000000","0","0","0.000000000000000000","0.000000000000000000","0.000000000000000000","1.000000000000000000","0.000000000000000000","Keep","itself","",TRUE,"HBQ1/CYB5R3/HBZ/HBG2/HBB","HBQ1/CYB5R3/HBZ/HBG2/HBB"
