"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","GO_CC","3","GOCC_PROTEIN_LIPID_COMPLEX","GOCC_PROTEIN_LIPID_COMPLEX","2.798952660077709","0.00000000009999999999999999","0.000000008541666666666667","0.000000008541666666666667","27","40","0.6750000000000000","0.00000000000000000","27","22","0.81481481481481477","0.67500000000000004","0.675000000000000044","0.009749012477362173704","1.00000000000000000","Exclude","GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE","GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE",FALSE,"APOC3/HPR/APOA1/APOH/SAA4/APOB/APOF/APOA2/APOC2/PON1/APOC4/APOA5/LPA/SAA2/APOA4/SAA1/LIPC/APOC1/APOM/APOE/CETP/LCAT/MSR1/CLU/PLA2G7/DBI/PEX3","APOC3/HPR/APOA1/APOH/SAA4/APOB/APOF/APOA2/APOC2/PON1/APOC4/APOA5/LPA/SAA2/APOA4/SAA1/LIPC/APOC1/APOM/APOE/CETP/LCAT/MSR1/CLU/PLA2G7/DBI/PEX3"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","GO_CC","5","GOCC_TRIGLYCERIDE_RICH_PLASMA_LIPOPROTEIN_PARTICLE","GOCC_TRIGLYCERIDE_RICH_PLASMA_LIPOPROTEIN_PARTICLE","2.441771916699201","0.00000000009999999999999999","0.000000008541666666666667","0.000000008541666666666667","12","21","0.5714285714285714","0.00000000000000000","14","11","0.91666666666666663","0.66666666666666663","0.411764705882352922","0.008978328173374619178","0.81400966183574885","Exclude","GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE","GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE",FALSE,"APOC3/APOA1/APOH/APOB/APOA2/APOC2/APOC4/APOA5/APOA4/APOC1/APOM/APOE","APOC3/APOA1/APOH/APOB/APOA2/APOC2/APOC4/APOA5/APOA4/APOC1/APOM/APOE"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","GO_CC","6","GOCC_SERINE_TYPE_PEPTIDASE_COMPLEX","GOCC_SERINE_TYPE_PEPTIDASE_COMPLEX","2.614896974955028","0.00000000009999999999999999","0.000000008541666666666667","0.000000008541666666666667","19","34","0.5588235294117647","0.00000000000000000","8","7","0.36842105263157893","0.23529411764705882","0.129032258064516125","0.045791620318872856832","0.41573971078976640","Exclude","GOCC_OTHER_ORGANISM_PART","GOCC_OTHER_ORGANISM_PART",FALSE,"COLEC10/COLEC11/F9/F2/FCN2/MBL2/F11/MASP2/FCN3/PROC/F12/KLKB1/F7/F5/F10/CFI/CFH/C3/MASP1","COLEC10/COLEC11/F9/F2/FCN2/MBL2/F11/MASP2/FCN3/PROC/F12/KLKB1/F7/F5/F10/CFI/CFH/C3/MASP1"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","GO_CC","9","GOCC_BLOOD_MICROPARTICLE","GOCC_BLOOD_MICROPARTICLE","2.871047380307882","0.00000000009999999999999999","0.000000008541666666666667","0.000000008541666666666667","56","145","0.3862068965517241","0.00000000000000000","8","7","0.12500000000000000","0.05517241379310345","0.048780487804878050","0.005540546646410415138","0.52813080639167598","Exclude","GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE","GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE",FALSE,"ORM1/HP/FGB/HPR/APOA1/HPX/ITIH2/APCS/FGA/AMBP/GC/C9/FGG/ORM2/SERPINC1/AHSG/PLG/A1BG/VTN/ITIH4/SERPINA3/ITIH1/AFM/APOA2/ALB/TF/C8A/PON1/HRG/F2/CD5L/FCN2/CFHR3/CPN2/KNG1/CFHR1/SERPINF2/C4BPA/FCN3/CP/APOA4/C8G/AGT/APOE/PZP/C4B/C4A/CFB/CFH/SERPING1/C3/PROS1/ANGPTL4/BCHE/HSPA6/CLU","ORM1/HP/FGB/HPR/APOA1/HPX/ITIH2/APCS/FGA/AMBP/GC/C9/FGG/ORM2/SERPINC1/AHSG/PLG/A1BG/VTN/ITIH4/SERPINA3/ITIH1/AFM/APOA2/ALB/TF/C8A/PON1/HRG/F2/CD5L/FCN2/CFHR3/CPN2/KNG1/CFHR1/SERPINF2/C4BPA/FCN3/CP/APOA4/C8G/AGT/APOE/PZP/C4B/C4A/CFB/CFH/SERPING1/C3/PROS1/ANGPTL4/BCHE/HSPA6/CLU"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","GO_CC","11","GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX","GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX","-2.099995920821744","0.00000000009999999999999999","0.000000008541666666666667","0.000000008541666666666667","112","370","0.3027027027027027","0.00000000000000000","237","82","0.73214285714285710","0.64054054054054055","0.640540540540540548","0.010010542213869046482","1.00000000000000000","Exclude","GOCC_CATION_CHANNEL_COMPLEX","GOCC_CATION_CHANNEL_COMPLEX",FALSE,"ATP5PB/HTR3E/CACNB2/UNC80/SCN2A/SCN11A/KCNAB3/GABRB1/CHRNA5/SLC26A6/TRPC4/KCNG3/CLCN2/CLCNKA/KCNS1/GLRA2/UNC79/TRPC1/CALM3/KCNMB2/PTK2B/FKBP1A/GRID1/CACNA1F/KCNQ2/NRN1/KCNIP4/KCNK1/GABRB3/CLIC5/CACNB3/KCNIP3/CALM2/RYR2/KCNMA1/TRPC7/AKAP6/CACNA1E/SLC17A7/KCNK10/KCNJ6/CNIH2/PDE4B/CACNA1H/EPS8/KCNS2/KCNA1/NALF1/KCNV1/KCNA6/TRPM4/SCN7A/KCNQ4/SCN5A/CLIC6/DPP10/CTTN/KCNJ9/CNIH3/GRIK2/LRRC26/CNGB1/CACNA2D3/KCNS3/CHRNB4/CHRFAM7A/ABCC8/DPP6/TRPC3/CACNA2D1/GRIN1/CATSPERB/SCNN1B/RYR3/HTR3A/CHRNA1/GRIA1/STXBP5/MCU/CACNA1A/HSPA2/CACNA1C/CACNB4/CACNA1B/GRIK4/BEST2/GABRG2/TRPC6/SCNN1G/KCNMB1/KCNK6/CASQ2/GRIK5/SCN3B/OLFM3/CHRNA7/SCN4B/CACNA1G/PDE4D/CLCNKB/SCN2B/GRIA4/ANO2/VWC2/CNGA3/KCNK2/CHRNA3/KCNH1/KCNC1/SCN3A/KCNB2/GRIK3","ATP5PB/HTR3E/CACNB2/UNC80/SCN2A/SCN11A/KCNAB3/GABRB1/CHRNA5/SLC26A6/TRPC4/KCNG3/CLCN2/CLCNKA/KCNS1/GLRA2/UNC79/TRPC1/CALM3/KCNMB2/PTK2B/FKBP1A/GRID1/CACNA1F/KCNQ2/NRN1/KCNIP4/KCNK1/GABRB3/CLIC5/CACNB3/KCNIP3/CALM2/RYR2/KCNMA1/TRPC7/AKAP6/CACNA1E/SLC17A7/KCNK10/KCNJ6/CNIH2/PDE4B/CACNA1H/EPS8/KCNS2/KCNA1/NALF1/KCNV1/KCNA6/TRPM4/SCN7A/KCNQ4/SCN5A/CLIC6/DPP10/CTTN/KCNJ9/CNIH3/GRIK2/LRRC26/CNGB1/CACNA2D3/KCNS3/CHRNB4/CHRFAM7A/ABCC8/DPP6/TRPC3/CACNA2D1/GRIN1/CATSPERB/SCNN1B/RYR3/HTR3A/CHRNA1/GRIA1/STXBP5/MCU/CACNA1A/HSPA2/CACNA1C/CACNB4/CACNA1B/GRIK4/BEST2/GABRG2/TRPC6/SCNN1G/KCNMB1/KCNK6/CASQ2/GRIK5/SCN3B/OLFM3/CHRNA7/SCN4B/CACNA1G/PDE4D/CLCNKB/SCN2B/GRIA4/ANO2/VWC2/CNGA3/KCNK2/CHRNA3/KCNH1/KCNC1/SCN3A/KCNB2/GRIK3"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","GO_CC","13","GOCC_CHYLOMICRON","GOCC_CHYLOMICRON","2.311757629602790","0.00000000014965978194671979","0.000000011800098191952909","0.000000011800098191952909","10","13","0.7692307692307693","0.00000000000000000","9","9","0.90000000000000002","0.69230769230769229","0.290322580645161310","0.013986013986013986002","0.10613154960981051","Exclude","GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE","GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE",FALSE,"APOC3/APOA1/APOH/APOB/APOA2/APOC2/APOA5/APOA4/APOC1/APOE","APOC3/APOA1/APOH/APOB/APOA2/APOC2/APOA5/APOA4/APOC1/APOE"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","GO_CC","15","GOCC_ENDOPLASMIC_RETICULUM_LUMEN","GOCC_ENDOPLASMIC_RETICULUM_LUMEN","1.914411664665417","0.00000000240621601845288940","0.000000164424761260947424","0.000000164424761260947450","67","326","0.2055214723926380","0.00000000000000000","9","7","0.10447761194029850","0.02760736196319018","0.026162790697674420","0.000300306986675074727","0.81114827201783735","Exclude","GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE","GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE",FALSE,"IGFBP1/SERPIND1/APOA1/ITIH2/FGA/FGG/SERPINC1/AHSG/APOB/VTN/SPP2/F9/APOA2/ALB/TF/F2/APOA5/KNG1/CP/PROZ/PROC/APOA4/LIPC/AFP/F7/CES1/SERPINA10/F5/SERPINA1/CDH2/F10/APOE/EVA1A/IL27/MTTP/ARSF/UGT1A1/ADAMTS13/C4A/FGF23/COL26A1/SERPING1/C3/CFP/SPP1/CD4/BCHE/P4HA1/CLU/GGCX/WNT3/CTSZ/TIMP1/FN1/VKORC1/DNAJB9/DBI/COL11A2/ERO1B/SLC27A2/FSTL3/ADAMTSL4/COL25A1/PDIA6/CANX/NOTUM/H6PD","IGFBP1/SERPIND1/APOA1/ITIH2/FGA/FGG/SERPINC1/AHSG/APOB/VTN/SPP2/F9/APOA2/ALB/TF/F2/APOA5/KNG1/CP/PROZ/PROC/APOA4/LIPC/AFP/F7/CES1/SERPINA10/F5/SERPINA1/CDH2/F10/APOE/EVA1A/IL27/MTTP/ARSF/UGT1A1/ADAMTS13/C4A/FGF23/COL26A1/SERPING1/C3/CFP/SPP1/CD4/BCHE/P4HA1/CLU/GGCX/WNT3/CTSZ/TIMP1/FN1/VKORC1/DNAJB9/DBI/COL11A2/ERO1B/SLC27A2/FSTL3/ADAMTSL4/COL25A1/PDIA6/CANX/NOTUM/H6PD"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","GO_CC","16","GOCC_PLATELET_ALPHA_GRANULE","GOCC_PLATELET_ALPHA_GRANULE","2.279916714907673","0.00000000445606697583333459","0.000000276348195280495146","0.000000276348195280495146","27","91","0.2967032967032967","0.00000000000000000","67","26","0.96296296296296291","0.73626373626373631","0.736263736263736313","0.000704983583965238750","1.00000000000000000","Exclude","GOCC_PLATELET_ALPHA_GRANULE_LUMEN","GOCC_PLATELET_ALPHA_GRANULE_LUMEN",FALSE,"ORM1/FGB/FGA/FGG/ORM2/AHSG/PLG/A1BG/SERPINA3/ALB/HRG/KNG1/SERPINF2/SERPINA5/F5/SERPINA1/IGF2/SERPINE1/SERPING1/PROS1/CLU/TIMP1/VEGFA/FN1/SCCPDH/FERMT3/ACTN2","ORM1/FGB/FGA/FGG/ORM2/AHSG/PLG/A1BG/SERPINA3/ALB/HRG/KNG1/SERPINF2/SERPINA5/F5/SERPINA1/IGF2/SERPINE1/SERPING1/PROS1/CLU/TIMP1/VEGFA/FN1/SCCPDH/FERMT3/ACTN2"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","GO_CC","17","GOCC_ENDOPEPTIDASE_COMPLEX","GOCC_ENDOPEPTIDASE_COMPLEX","2.201338583249524","0.00000000458333592172528414","0.000000276348195280495146","0.000000276348195280495146","40","121","0.3305785123966942","0.00000000000000000","8","8","0.20000000000000001","0.06611570247933884","0.053691275167785234","0.000085473442015509860","0.10271216384217761","Exclude","GOCC_OTHER_ORGANISM_PART","GOCC_OTHER_ORGANISM_PART",FALSE,"COLEC10/COLEC11/F9/F2/FCN2/MBL2/F11/MASP2/FCN3/PROC/F12/KLKB1/F7/F5/F10/CFI/CFH/C3/MASP1/PSMD12/ZFAND2A/FCN1/PSMA2/PSMA3/PSMC2/PSMA5/RAD23B/PSMF1/GPAA1/PSMD6/UCHL5/F8/PSMB2/PMPCA/PSMB7/PSMA7/PSME4/SEM1/ADRM1/PSMD4","COLEC10/COLEC11/F9/F2/FCN2/MBL2/F11/MASP2/FCN3/PROC/F12/KLKB1/F7/F5/F10/CFI/CFH/C3/MASP1/PSMD12/ZFAND2A/FCN1/PSMA2/PSMA3/PSMC2/PSMA5/RAD23B/PSMF1/GPAA1/PSMD6/UCHL5/F8/PSMB2/PMPCA/PSMB7/PSMA7/PSME4/SEM1/ADRM1/PSMD4"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","GO_CC","20","GOCC_POSTSYNAPTIC_SPECIALIZATION","GOCC_POSTSYNAPTIC_SPECIALIZATION","-1.769357736248520","0.00000001658759667129365127","0.000000850114329403799678","0.000000850114329403799572","136","385","0.3532467532467533","0.00000000000000000","49","25","0.18382352941176472","0.12727272727272726","0.094594594594594600","0.011740404513470260525","0.11881871308869939","Exclude","GOCC_PRESYNAPTIC_MEMBRANE","GOCC_PRESYNAPTIC_MEMBRANE",FALSE,"MAGI2/MIB1/GABRA2/NEFH/ATP1A1/GRIN2C/DNAJC6/USP6/ADAM22/ZDHHC2/LRFN2/SLC8A1/TANC1/AKAP9/ABHD17C/UBE3B/INPP4A/GABRA3/CFL1/STAT3/PPP1R9A/GLRB/PRR12/GRIP1/CASP3/LRRC4B/CAMK2D/SIPA1L1/PALM/ASIC2/CRTAC1/DBN1/MTMR2/NRCAM/NSF/RGS9/GABRB1/GNG3/IGSF9B/DGKI/SH3KBP1/ADD2/GSG1L/ITPR1/TRAPPC4/SOS1/GLRA2/PRICKLE2/ABLIM1/GPR158/PTK2B/RNF112/GRID1/SYT11/CDH10/GABRB3/ARHGAP44/GOPC/SYN2/NCS1/ZDHHC15/DNM2/CAPZB/ADD1/CNIH2/PRRT1/SLC8A2/PDE4B/EPS8/OPCML/ANKS1B/IQSEC2/CSMD2/NLGN4X/MPP2/P2RY1/CPEB1/IQSEC3/ARHGEF9/NEURL1/TMEM108/SORCS3/DLG5/PRRT2/CABP1/GAP43/SIPA1L3/BMPR2/GRIK2/CAMK2G/CLSTN1/NLGN2/BRSK1/CHRNB4/NLGN4Y/INSYN2A/CAMK2A/SLC6A9/GRIN1/AKAP5/NEO1/CHRNA1/GRIA1/LRFN3/RUSC1/CHRM1/CACNA1C/SLC8A3/NLGN1/LHFPL4/GRIK4/EPHA4/CTNNA2/GABRG2/SPOCK1/NPTN/PPFIA2/PLPPR4/PAK3/GRIK5/SORCS2/ABL1/PSD/LRRTM2/INSYN1/NOS1/SLITRK5/GRIA4/NSG2/EPHA7/KCNK2/KCNH1/NEGR1/GRIK3/LRFN5/SYNDIG1","MAGI2/MIB1/GABRA2/NEFH/ATP1A1/GRIN2C/DNAJC6/USP6/ADAM22/ZDHHC2/LRFN2/SLC8A1/TANC1/AKAP9/ABHD17C/UBE3B/INPP4A/GABRA3/CFL1/STAT3/PPP1R9A/GLRB/PRR12/GRIP1/CASP3/LRRC4B/CAMK2D/SIPA1L1/PALM/ASIC2/CRTAC1/DBN1/MTMR2/NRCAM/NSF/RGS9/GABRB1/GNG3/IGSF9B/DGKI/SH3KBP1/ADD2/GSG1L/ITPR1/TRAPPC4/SOS1/GLRA2/PRICKLE2/ABLIM1/GPR158/PTK2B/RNF112/GRID1/SYT11/CDH10/GABRB3/ARHGAP44/GOPC/SYN2/NCS1/ZDHHC15/DNM2/CAPZB/ADD1/CNIH2/PRRT1/SLC8A2/PDE4B/EPS8/OPCML/ANKS1B/IQSEC2/CSMD2/NLGN4X/MPP2/P2RY1/CPEB1/IQSEC3/ARHGEF9/NEURL1/TMEM108/SORCS3/DLG5/PRRT2/CABP1/GAP43/SIPA1L3/BMPR2/GRIK2/CAMK2G/CLSTN1/NLGN2/BRSK1/CHRNB4/NLGN4Y/INSYN2A/CAMK2A/SLC6A9/GRIN1/AKAP5/NEO1/CHRNA1/GRIA1/LRFN3/RUSC1/CHRM1/CACNA1C/SLC8A3/NLGN1/LHFPL4/GRIK4/EPHA4/CTNNA2/GABRG2/SPOCK1/NPTN/PPFIA2/PLPPR4/PAK3/GRIK5/SORCS2/ABL1/PSD/LRRTM2/INSYN1/NOS1/SLITRK5/GRIA4/NSG2/EPHA7/KCNK2/KCNH1/NEGR1/GRIK3/LRFN5/SYNDIG1"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","GO_CC","24","GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE","GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE","1.764471439506780","0.00000022588701794001707278","0.000009647258057854898227","0.000009647258057854896533","88","381","0.2309711286089239","0.00000000000000000","8","7","0.07954545454545454","0.02099737532808399","0.019559902200488997","0.000188161440113355865","0.41573971078976640","Exclude","GOCC_OTHER_ORGANISM_PART","GOCC_OTHER_ORGANISM_PART",FALSE,"COLEC10/FGB/FGA/ASGR2/FGG/PLG/ASGR1/COLEC11/TRPM8/TFR2/F2/FCN2/MBL2/MASP2/FCN3/SERPINA5/VTCN1/CHRNA4/CLEC4M/F10/PKHD1/AZGP1/FCRLB/STAB2/ENPEP/CD84/CD226/FCGR3A/LEPR/CLEC4G/CD4/GHR/ITGAX/CD83/CTSB/FCER1G/CCR1/P2RX7/CD163/ALCAM/CD14/MASP1/ITGB2/ITGAM/GP1BA/TMEM123/FOLR1/LILRB1/SEMA7A/FCGR3B/FCGR2B/SPN/AQP4/CSF2RA/RTN4RL2/CD33/FCGR1A/CD86/SLC22A11/TLR4/LIFR/ABCA1/CCR5/CXCL12/PDCD1LG2/TLR8/ACKR2/FCRL6/MUC16/CXCR4/CSF3R/CX3CR1/FCGR2C/FCN1/CXCR3/HLA-DRB1/CLEC4A/CLEC4E/SDC1/P4HB/CD1B/TNF/CCR2/IL21R/LY6G6C/CXCL9/ICAM1/LY6G6D","COLEC10/FGB/FGA/ASGR2/FGG/PLG/ASGR1/COLEC11/TRPM8/TFR2/F2/FCN2/MBL2/MASP2/FCN3/SERPINA5/VTCN1/CHRNA4/CLEC4M/F10/PKHD1/AZGP1/FCRLB/STAB2/ENPEP/CD84/CD226/FCGR3A/LEPR/CLEC4G/CD4/GHR/ITGAX/CD83/CTSB/FCER1G/CCR1/P2RX7/CD163/ALCAM/CD14/MASP1/ITGB2/ITGAM/GP1BA/TMEM123/FOLR1/LILRB1/SEMA7A/FCGR3B/FCGR2B/SPN/AQP4/CSF2RA/RTN4RL2/CD33/FCGR1A/CD86/SLC22A11/TLR4/LIFR/ABCA1/CCR5/CXCL12/PDCD1LG2/TLR8/ACKR2/FCRL6/MUC16/CXCR4/CSF3R/CX3CR1/FCGR2C/FCN1/CXCR3/HLA-DRB1/CLEC4A/CLEC4E/SDC1/P4HB/CD1B/TNF/CCR2/IL21R/LY6G6C/CXCL9/ICAM1/LY6G6D"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","GO_CC","32","GOCC_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE","GOCC_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE","-1.975754696360355","0.00000113941904629411938131","0.000036497016326608508322","0.000036497016326608508322","36","152","0.2368421052631579","0.00000000000000000","33","13","0.36111111111111110","0.21710526315789475","0.109634551495016608","0.017556889245003415995","0.73707906370624410","Exclude","GOCC_PRESYNAPTIC_MEMBRANE","GOCC_PRESYNAPTIC_MEMBRANE",FALSE,"IQSEC2/CSMD2/NLGN4X/IQSEC3/TMEM108/SORCS3/PRRT2/GRIK2/CLSTN1/NLGN2/CHRNB4/NLGN4Y/GRIN1/NEO1/CHRNA1/GRIA1/LRFN3/CHRM1/CACNA1C/NLGN1/GRIK4/EPHA4/GABRG2/PLPPR4/GRIK5/SORCS2/LRRTM2/SLITRK5/GRIA4/NSG2/EPHA7/KCNK2/KCNH1/GRIK3/LRFN5/SYNDIG1","IQSEC2/CSMD2/NLGN4X/IQSEC3/TMEM108/SORCS3/PRRT2/GRIK2/CLSTN1/NLGN2/CHRNB4/NLGN4Y/GRIN1/NEO1/CHRNA1/GRIA1/LRFN3/CHRM1/CACNA1C/NLGN1/GRIK4/EPHA4/GABRG2/PLPPR4/GRIK5/SORCS2/LRRTM2/SLITRK5/GRIA4/NSG2/EPHA7/KCNK2/KCNH1/GRIK3/LRFN5/SYNDIG1"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","GO_CC","36","GOCC_I_BAND","GOCC_I_BAND","-1.924877610856099","0.00000310847643291288724428","0.000088505231770436373516","0.000088505231770436373516","47","150","0.3133333333333334","0.00000000000000000","9","6","0.12765957446808510","0.06000000000000000","0.015384615384615385","0.027283304344485129200","0.08605062348591083","Exclude","GOCC_SYNAPTIC_MEMBRANE","GOCC_SYNAPTIC_MEMBRANE",FALSE,"ANK3/PDLIM1/PDLIM4/FKBP1A/PPP3CB/PDLIM7/SRI/RYR2/ITGB1BP2/PDE4B/IGFN1/MYZAP/MYOT/ANK1/SYNC/PRICKLE4/SCN5A/PPP3CA/MYPN/CSRP1/FBXO32/MYL9/REM1/KCNN3/PGM5/NEXN/PRKD1/CRYAB/SYNPO2/RYR3/SLMAP/CACNA1C/ANK2/LDB3/PALLD/PPP1R12B/CASQ2/SCN3B/ASB2/NOS1/JPH2/FBXL22/ACTC1/PARVA/FLNC/FHL5/DES","ANK3/PDLIM1/PDLIM4/FKBP1A/PPP3CB/PDLIM7/SRI/RYR2/ITGB1BP2/PDE4B/IGFN1/MYZAP/MYOT/ANK1/SYNC/PRICKLE4/SCN5A/PPP3CA/MYPN/CSRP1/FBXO32/MYL9/REM1/KCNN3/PGM5/NEXN/PRKD1/CRYAB/SYNPO2/RYR3/SLMAP/CACNA1C/ANK2/LDB3/PALLD/PPP1R12B/CASQ2/SCN3B/ASB2/NOS1/JPH2/FBXL22/ACTC1/PARVA/FLNC/FHL5/DES"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","GO_CC","37","GOCC_PEPTIDASE_COMPLEX","GOCC_PEPTIDASE_COMPLEX","1.901024523772738","0.00000580114332637709744617","0.000160707348906392552025","0.000160707348906392579130","62","161","0.3850931677018634","0.00000000000000000","8","8","0.12903225806451613","0.04968944099378882","0.042328042328042326","0.000360330988036436752","0.10271216384217761","Exclude","GOCC_OTHER_ORGANISM_PART","GOCC_OTHER_ORGANISM_PART",FALSE,"COLEC10/COLEC11/F9/F2/FCN2/MBL2/F11/MASP2/FCN3/PROC/F12/KLKB1/F7/F5/F10/CFI/CFH/C3/MASP1/PSMD12/ZFAND2A/FCN1/PSMA2/PSMA3/PSMC2/PSMA5/RAD23B/PSMF1/GPAA1/PSMD6/ENY2/UCHL5/F8/PSMB2/PMPCA/TAF9/PSMB7/PSMA7/PSME4/SEM1/ADRM1/PSMD4/TRIM27/SF3B3/PSMA1/PSMB4/PMPCB/SPG7/SUPT3H/PSMD7/TADA1/HTRA2/IMMP2L/SEC11C/TAF5L/CRADD/KAT2A/USP22/USP7/PSMD14/PSMC6/TAF6L","COLEC10/COLEC11/F9/F2/FCN2/MBL2/F11/MASP2/FCN3/PROC/F12/KLKB1/F7/F5/F10/CFI/CFH/C3/MASP1/PSMD12/ZFAND2A/FCN1/PSMA2/PSMA3/PSMC2/PSMA5/RAD23B/PSMF1/GPAA1/PSMD6/ENY2/UCHL5/F8/PSMB2/PMPCA/TAF9/PSMB7/PSMA7/PSME4/SEM1/ADRM1/PSMD4/TRIM27/SF3B3/PSMA1/PSMB4/PMPCB/SPG7/SUPT3H/PSMD7/TADA1/HTRA2/IMMP2L/SEC11C/TAF5L/CRADD/KAT2A/USP22/USP7/PSMD14/PSMC6/TAF6L"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","GO_CC","39","GOCC_NEURON_TO_NEURON_SYNAPSE","GOCC_NEURON_TO_NEURON_SYNAPSE","-1.576780424404875","0.00001071534101049217615066","0.000281621141942422679137","0.000281621141942422679137","115","400","0.2875000000000000","0.00000000000000000","183","61","0.53043478260869570","0.45750000000000002","0.276853252647503767","0.040256067314462018469","0.98392686717011490","Exclude","GOCC_SYNAPTIC_MEMBRANE","GOCC_SYNAPTIC_MEMBRANE",FALSE,"C1QL1/PRR12/GRIP1/SLC39A3/CASP3/LRRC4B/CAMK2D/SIPA1L1/PALM/ASIC2/CRTAC1/DBN1/MTMR2/NRCAM/RGS9/GNG3/ROGDI/IGSF9B/DGKI/SH3KBP1/ADD2/GSG1L/ITPR1/TRAPPC4/SOS1/ATP1A3/PRICKLE2/ABLIM1/GPR158/PTK2B/RNF112/NAPEPLD/GRID1/ADORA1/SYT11/ARHGAP44/GOPC/SYN2/NCS1/ZDHHC15/DNM2/CAPZB/ADD1/CNIH2/PRRT1/SLC8A2/PDE4B/EPS8/OPCML/ANKS1B/IQSEC2/CSMD2/NLGN4X/MPP2/P2RY1/CPEB1/IQSEC3/ARHGEF9/NEURL1/TMEM108/SORCS3/DLG5/PRRT2/CABP1/GAP43/BMPR2/GRIK2/CAMK2G/CLSTN1/NLGN2/BRSK1/NLGN4Y/INSYN2A/SORT1/CAMK2A/SLC6A9/GRIN1/AKAP5/NLGN3/NEO1/PENK/GRIA1/LRFN3/STXBP5/RUSC1/CHRM1/CACNA1C/SLC8A3/NLGN1/GRIK4/EPHA4/CTNNA2/SPOCK1/NPTN/PPFIA2/PLXNA4/PLPPR4/PAK3/GRIK5/SORCS2/ABL1/PSD/LRRTM2/INSYN1/NOS1/SLITRK5/GRIA4/NSG2/EPHA7/KCNK2/KCNH1/NEGR1/GRIK3/LRFN5/SYNDIG1","C1QL1/PRR12/GRIP1/SLC39A3/CASP3/LRRC4B/CAMK2D/SIPA1L1/PALM/ASIC2/CRTAC1/DBN1/MTMR2/NRCAM/RGS9/GNG3/ROGDI/IGSF9B/DGKI/SH3KBP1/ADD2/GSG1L/ITPR1/TRAPPC4/SOS1/ATP1A3/PRICKLE2/ABLIM1/GPR158/PTK2B/RNF112/NAPEPLD/GRID1/ADORA1/SYT11/ARHGAP44/GOPC/SYN2/NCS1/ZDHHC15/DNM2/CAPZB/ADD1/CNIH2/PRRT1/SLC8A2/PDE4B/EPS8/OPCML/ANKS1B/IQSEC2/CSMD2/NLGN4X/MPP2/P2RY1/CPEB1/IQSEC3/ARHGEF9/NEURL1/TMEM108/SORCS3/DLG5/PRRT2/CABP1/GAP43/BMPR2/GRIK2/CAMK2G/CLSTN1/NLGN2/BRSK1/NLGN4Y/INSYN2A/SORT1/CAMK2A/SLC6A9/GRIN1/AKAP5/NLGN3/NEO1/PENK/GRIA1/LRFN3/STXBP5/RUSC1/CHRM1/CACNA1C/SLC8A3/NLGN1/GRIK4/EPHA4/CTNNA2/SPOCK1/NPTN/PPFIA2/PLXNA4/PLPPR4/PAK3/GRIK5/SORCS2/ABL1/PSD/LRRTM2/INSYN1/NOS1/SLITRK5/GRIA4/NSG2/EPHA7/KCNK2/KCNH1/NEGR1/GRIK3/LRFN5/SYNDIG1"
