"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","E2F1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.500000000000000","1","6","Literature--ChIP-seq(rank=3); Enrichr--Queries(rank=6); ENCODE--ChIP-seq(rank=7); GTEx--Coexpression(rank=7); ReMap--ChIP-seq(rank=8); ARCHS4--Coexpression(rank=11)","12","rank=2; score=20.597; p=2.5274e-21","rank=12; score=0.004274","rank=2; score=7.2988; direction=Repressed","rank=2; score=517.27; p=3.5594e-63; adjP=6.6651e-61","rank=1; score=17.569; p=2.6986e-18","rank=2; score=5.5779; p=2.4347e-08; direction=Repressed"
"2","E2F4","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.166666666666666","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=61); ARCHS4--Coexpression(rank=178); GTEx--Coexpression(rank=540)","19","rank=1; score=60.023; p=9.4804e-61","rank=19; score=0.006734","rank=1; score=13.275; direction=Repressed","rank=1; score=8795; p=1.1927e-202; adjP=1.2404e-200","rank=2; score=9.8379; p=1.4524e-10","rank=1; score=14.003; p=1.4862e-44; direction=Repressed"
"3","FOXM1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.500000000000000","2","6","Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=5)","2","rank=5; score=8.5166; p=3.0434e-09","rank=2; score=0.0006223","rank=4; score=5.4883; direction=Repressed","rank=3; score=7497.4; p=3.8138e-109; adjP=2.8566e-106","rank=17; score=2.0892; p=0.0081425","rank=20; score=2.5136; p=0.01195; direction=Repressed"
"4","TFDP1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.166666666666666","3","4","GTEx--Coexpression(rank=4); ReMap--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=16); Enrichr--Queries(rank=16)","9","rank=3; score=11.341; p=4.5591e-12","rank=9; score=0.002489","rank=7; score=4.8451; direction=Repressed","rank=15; score=379.35; p=2.4013e-06; adjP=9.7766e-05","rank=4; score=5.6195; p=2.4015e-06","rank=35; score=2.1416; p=0.032228; direction=Repressed"
"5","E2F3","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.333333333333332","3","3","ARCHS4--Coexpression(rank=18); Enrichr--Queries(rank=29); GTEx--Coexpression(rank=839)","36","rank=9; score=4.7625; p=1.7279e-05","rank=36; score=0.01106","rank=8; score=4.7963; direction=Repressed","rank=23; score=183.68; p=1.7278e-05; adjP=0.00049241","rank=7; score=4.7625; p=1.7279e-05","rank=3; score=4.9645; p=6.8867e-07; direction=Repressed"
"6","MYC","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","25.333333333333336","4","6","Literature--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=31); Enrichr--Queries(rank=111); ARCHS4--Coexpression(rank=118); GTEx--Coexpression(rank=271)","111","rank=11; score=3.4535; p=0.00035194","rank=111; score=0.03049","rank=6; score=4.9303; direction=Repressed","rank=4; score=110.96; p=1.2177e-22; adjP=1.0134e-20","rank=12; score=2.931; p=0.0011721","rank=8; score=3.3817; p=0.00072036; direction=Repressed"
"7","MYBL2","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.666666666666664","7","6","Enrichr--Queries(rank=3); Literature--ChIP-seq(rank=4); ARCHS4--Coexpression(rank=6); GTEx--Coexpression(rank=10); ReMap--ChIP-seq(rank=10); ENCODE--ChIP-seq(rank=20)","7","rank=13; score=2.0391; p=0.0091387","rank=7; score=0.002137","rank=84; score=1.9101; direction=Repressed","rank=17; score=140.44; p=3.1468e-23; adjP=2.9462e-21","rank=90; score=0.48051; p=0.33074","rank=15; score=2.6985; p=0.006965; direction=Repressed"
"8","YY1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","65.666666666666671","18","6","ReMap--ChIP-seq(rank=36); Literature--ChIP-seq(rank=63); ARCHS4--Coexpression(rank=66); ENCODE--ChIP-seq(rank=70); Enrichr--Queries(rank=187); GTEx--Coexpression(rank=934)","149","rank=18; score=1.586; p=0.025942","rank=149; score=0.04054","rank=89; score=1.8094; direction=Repressed","rank=42; score=63.949; p=9.0039e-16; adjP=4.496e-14","rank=29; score=1.4694; p=0.03393","rank=67; score=1.759; p=0.078578; direction=Repressed"
"9","NFYA","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","88.833333333333343","10","5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=14); GTEx--Coexpression(rank=105); Enrichr--Queries(rank=169); ARCHS4--Coexpression(rank=280)","91","rank=77; score=0.40375; p=0.39468","rank=91; score=0.02542","rank=68; score=2.0957; direction=Repressed","rank=10; score=303.45; p=4.6051e-43; adjP=1.1973e-41","rank=66; score=0.59137; p=0.25623","rank=221; score=1.0997; p=0.27145; direction=Repressed"
"10","IRF3","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","98.333333333333343","14","5","ReMap--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=4); GTEx--Coexpression(rank=359); Enrichr--Queries(rank=513); ARCHS4--Coexpression(rank=683)","32","rank=14; score=2.0042; p=0.0099042","rank=32; score=0.0101","rank=102; score=1.541; direction=Repressed","rank=18; score=204.24; p=1.4403e-31; adjP=1.3059e-29","rank=237; score=0; p=1","rank=187; score=1.2495; p=0.21148; direction=Activated"
