"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","TRRUST"
"1","JUN","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.666666666666666","1","6","Literature--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=11); GTEx--Coexpression(rank=29); ARCHS4--Coexpression(rank=58); Enrichr--Queries(rank=79)","20","rank=20; score=0.006098","rank=1; score=119.18; p=3.3989e-08; adjP=2.3724e-05","rank=5; score=2.9997; p=0.0010006"
"2","FOS","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.000000000000000","2","5","GTEx--Coexpression(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=6); Enrichr--Queries(rank=18); ARCHS4--Coexpression(rank=106)","2","rank=2; score=0.0006223","rank=25; score=64.374; p=0.0024622; adjP=0.032828","rank=6; score=2.5106; p=0.0030862"
"3","JUND","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.666666666666668","5","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=32); GTEx--Coexpression(rank=175); Enrichr--Queries(rank=483); ARCHS4--Coexpression(rank=574)","32","rank=32; score=0.008475","rank=5; score=93.425; p=1.1692e-07; adjP=4.0807e-05","rank=16; score=1.8863; p=0.012993"
"4","ATF3","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.000000000000000","1","6","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=3); GTEx--Coexpression(rank=3); Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=51); ENCODE--ChIP-seq(rank=77)","1","rank=1; score=0.0006143","rank=12; score=90.501; p=5.8292e-07; adjP=0.00013563","rank=41; score=1.1047; p=0.07858"
"5","JUNB","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","26.666666666666668","19","4","GTEx--Coexpression(rank=10); Enrichr--Queries(rank=16); ARCHS4--Coexpression(rank=63); ReMap--ChIP-seq(rank=82)","22","rank=22; score=0.006223","rank=19; score=36.642; p=0.024949; adjP=0.12341","rank=39; score=1.1316; p=0.073853"
"6","FOSL2","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","32.333333333333336","7","5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=14); Enrichr--Queries(rank=19); ARCHS4--Coexpression(rank=352); GTEx--Coexpression(rank=374)","52","rank=52; score=0.01353","rank=7; score=49.192; p=0.00028249; adjP=0.021273","rank=38; score=1.1316; p=0.073853"
"7","EGR1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.000000000000000","12","6","GTEx--Coexpression(rank=5); Enrichr--Queries(rank=13); ARCHS4--Coexpression(rank=33); ENCODE--ChIP-seq(rank=60); Literature--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=126)","12","rank=12; score=0.003111","rank=78; score=32.298; p=0.010331; adjP=0.054671","rank=15; score=1.9858; p=0.010332"
"8","NR1H3","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.666666666666664","3","5","Literature--ChIP-seq(rank=12); GTEx--Coexpression(rank=32); Enrichr--Queries(rank=58); ARCHS4--Coexpression(rank=187); ReMap--ChIP-seq(rank=261)","76","rank=76; score=0.01991","rank=37; score=151.22; p=0.0033321; adjP=0.032828","rank=3; score=3.5935; p=0.000255"
"9","ESR1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","40.666666666666664","10","6","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=6); ENCODE--ChIP-seq(rank=10); ARCHS4--Coexpression(rank=132); Enrichr--Queries(rank=491); GTEx--Coexpression(rank=507)","46","rank=46; score=0.0122","rank=10; score=101.95; p=8.5339e-06; adjP=0.0014892","rank=66; score=0.49149; p=0.32249"
"10","RELA","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.666666666666671","2","6","Literature--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=22); ReMap--ChIP-seq(rank=90); GTEx--Coexpression(rank=458); Enrichr--Queries(rank=672); ARCHS4--Coexpression(rank=1196)","117","rank=117; score=0.03049","rank=6; score=49.969; p=0.00014275; adjP=0.0078506","rank=2; score=3.8108; p=0.00015459"
