"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","HPO","5","HP_ABNORMALITY_OF_THE_COAGULATION_CASCADE","HP_ABNORMALITY_OF_THE_COAGULATION_CASCADE","2.372260867028656","0.00000000009999999999999999","0.00000003996373265860381","0.00000003996373265860382","66","165","0.4000000000000000","0","8","6","0.09090909090909091","0.048484848484848485","0.026845637583892617","0.045655106149906837798","0.05681170029412445","Exclude","HP_AMINOACIDURIA","HP_AMINOACIDURIA",FALSE,"FGB/FGA/FGG/SERPINC1/PLG/F9/HRG/F2/KNG1/F11/PROC/AKR1D1/F13B/F12/F7/ALDOB/F5/MST1/F10/FAH/CFI/MTTP/NR1H4/OTC/CFH/SERPINE1/PROS1/HAVCR2/GGCX/NLRC4/ITGB2/SLC25A13/GP1BA/SLC30A10/VKORC1/SLC37A4/SLC19A1/STX11/HLA-DQB1/HSD3B7/HLA-DQA1/AHCY/NABP1/SLC7A7/PMM2/SLC25A15/HSD17B10/MCFD2/HMGCL/CYP7B1/HLA-DRB1/ADK/AMACR/IRF2BP2/ACAD9/ANO6/ZBTB16/COG8/DPM1/GPC3/F8/THBS2/POU6F2/RYR1/NPM1/MAP2K1","FGB/FGA/FGG/SERPINC1/PLG/F9/HRG/F2/KNG1/F11/PROC/AKR1D1/F13B/F12/F7/ALDOB/F5/MST1/F10/FAH/CFI/MTTP/NR1H4/OTC/CFH/SERPINE1/PROS1/HAVCR2/GGCX/NLRC4/ITGB2/SLC25A13/GP1BA/SLC30A10/VKORC1/SLC37A4/SLC19A1/STX11/HLA-DQB1/HSD3B7/HLA-DQA1/AHCY/NABP1/SLC7A7/PMM2/SLC25A15/HSD17B10/MCFD2/HMGCL/CYP7B1/HLA-DRB1/ADK/AMACR/IRF2BP2/ACAD9/ANO6/ZBTB16/COG8/DPM1/GPC3/F8/THBS2/POU6F2/RYR1/NPM1/MAP2K1"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","HPO","6","HP_ABNORMAL_CIRCULATING_NITROGEN_COMPOUND_CONCENTRATION","HP_ABNORMAL_CIRCULATING_NITROGEN_COMPOUND_CONCENTRATION","2.356770417773471","0.00000000009999999999999999","0.00000003996373265860381","0.00000003996373265860382","70","196","0.3571428571428572","0","32","18","0.25714285714285712","0.163265306122448967","0.115107913669064754","0.007992341496532171310","0.07304140584795270","Exclude","HP_ABNORMAL_CIRCULATING_PROTEINOGENIC_AMINO_ACID_CONCENTRATION","HP_ABNORMAL_CIRCULATING_PROTEINOGENIC_AMINO_ACID_CONCENTRATION",FALSE,"ARG1/SLC2A2/CFHR3/G6PC1/GAMT/CFHR1/GATM/CA5A/CPS1/DBH/DPYS/ALDOB/SLC17A3/CFI/MLIP/NR1H4/OTC/ADAMTS13/CFB/SLC2A9/CFH/FBP1/NAGS/C3/PHKA2/MMAB/SLC25A42/TNFRSF11B/PCK1/GRHPR/CLDN16/EHHADH/SLC25A13/GOT2/GLUD1/SLC37A4/SC5D/TMEM70/FAM20A/HPRT1/HBB/PCBD1/GLUL/ACAT1/GALNT2/MMACHC/PIGA/SLC7A7/MMADHC/AASS/MOCS1/ACADVL/SLC25A15/PCK2/HSD17B10/MCFD2/HMGCL/PRPS1/MRPS22/TYMP/HLCS/MOCOS/GPHN/MTO1/FH/ACAD9/CCND1/EEFSEC/NFE2L2/ACADM","ARG1/SLC2A2/CFHR3/G6PC1/GAMT/CFHR1/GATM/CA5A/CPS1/DBH/DPYS/ALDOB/SLC17A3/CFI/MLIP/NR1H4/OTC/ADAMTS13/CFB/SLC2A9/CFH/FBP1/NAGS/C3/PHKA2/MMAB/SLC25A42/TNFRSF11B/PCK1/GRHPR/CLDN16/EHHADH/SLC25A13/GOT2/GLUD1/SLC37A4/SC5D/TMEM70/FAM20A/HPRT1/HBB/PCBD1/GLUL/ACAT1/GALNT2/MMACHC/PIGA/SLC7A7/MMADHC/AASS/MOCS1/ACADVL/SLC25A15/PCK2/HSD17B10/MCFD2/HMGCL/PRPS1/MRPS22/TYMP/HLCS/MOCOS/GPHN/MTO1/FH/ACAD9/CCND1/EEFSEC/NFE2L2/ACADM"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","HPO","7","HP_ABNORMAL_CIRCULATING_AMINO_ACID_CONCENTRATION","HP_ABNORMAL_CIRCULATING_AMINO_ACID_CONCENTRATION","2.513134163077933","0.00000000009999999999999999","0.00000003996373265860381","0.00000003996373265860382","66","186","0.3548387096774194","0","114","50","0.75757575757575757","0.612903225806451624","0.612903225806451624","0.001936112563073482187","1.00000000000000000","Exclude","HP_ABNORMAL_CIRCULATING_PROTEINOGENIC_AMINO_ACID_CONCENTRATION","HP_ABNORMAL_CIRCULATING_PROTEINOGENIC_AMINO_ACID_CONCENTRATION",FALSE,"ARG1/MAT1A/UPB1/HPD/GAMT/TAT/CA5A/CPS1/PAH/UROC1/DMGDH/SARDH/FTCD/HAL/CBS/GNMT/KYNU/FAH/ALDH4A1/TDO2/PC/OTC/FBP1/NADK2/NAGS/BCKDHA/MMAB/ABAT/TNFRSF11B/PCK1/GCSH/QDPR/CTH/MTHFD1/SLC25A13/GLDC/SLC30A10/PNPO/GLYCTK/TMEM70/BCKDK/ALDH5A1/SLC19A1/GCH1/PHGDH/TARS2/PCBD1/GLUL/MMACHC/PSAT1/AHCY/VARS2/SLC7A7/MMADHC/AASS/SLC25A15/PCK2/TYMP/ADK/GPHN/MTO1/PRDX1/LONP1/RRM2B/NFE2L2/TRMT10C","ARG1/MAT1A/UPB1/HPD/GAMT/TAT/CA5A/CPS1/PAH/UROC1/DMGDH/SARDH/FTCD/HAL/CBS/GNMT/KYNU/FAH/ALDH4A1/TDO2/PC/OTC/FBP1/NADK2/NAGS/BCKDHA/MMAB/ABAT/TNFRSF11B/PCK1/GCSH/QDPR/CTH/MTHFD1/SLC25A13/GLDC/SLC30A10/PNPO/GLYCTK/TMEM70/BCKDK/ALDH5A1/SLC19A1/GCH1/PHGDH/TARS2/PCBD1/GLUL/MMACHC/PSAT1/AHCY/VARS2/SLC7A7/MMADHC/AASS/SLC25A15/PCK2/TYMP/ADK/GPHN/MTO1/PRDX1/LONP1/RRM2B/NFE2L2/TRMT10C"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","HPO","8","HP_ABNORMALITY_OF_COAGULATION","HP_ABNORMALITY_OF_COAGULATION","2.256077184472213","0.00000000009999999999999999","0.00000003996373265860381","0.00000003996373265860382","76","235","0.3234042553191490","0","13","8","0.10526315789473684","0.055319148936170209","0.035812672176308541","0.025333019152875477925","0.11268140120231682","Exclude","HP_AMINOACIDURIA","HP_AMINOACIDURIA",FALSE,"FGB/FGA/FGG/SERPINC1/PLG/F9/HRG/F2/KNG1/F11/SERPINF2/PROC/AKR1D1/F13B/F12/KLKB1/F7/ALDOB/F5/MST1/ABCC2/F10/FAH/CFI/MTTP/NR1H4/OTC/CFH/SERPINE1/PROS1/HAVCR2/GGCX/NLRC4/ITGB2/SLC25A13/GP1BA/SLC30A10/VKORC1/SLC37A4/SLC19A1/STX11/PEX3/HLA-DQB1/HSD3B7/GALT/HLA-DQA1/HBB/PEX19/AHCY/NABP1/SLC7A7/PMM2/SLC25A15/HSD17B10/MCFD2/HMGCL/CYP7B1/HLA-DRB1/ADK/AMACR/PEX5/PEX14/IRF2BP2/ACAD9/ANO6/ZBTB16/COG8/DPM1/GPC3/F8/PEX13/THBS2/POU6F2/RYR1/NPM1/MAP2K1","FGB/FGA/FGG/SERPINC1/PLG/F9/HRG/F2/KNG1/F11/SERPINF2/PROC/AKR1D1/F13B/F12/KLKB1/F7/ALDOB/F5/MST1/ABCC2/F10/FAH/CFI/MTTP/NR1H4/OTC/CFH/SERPINE1/PROS1/HAVCR2/GGCX/NLRC4/ITGB2/SLC25A13/GP1BA/SLC30A10/VKORC1/SLC37A4/SLC19A1/STX11/PEX3/HLA-DQB1/HSD3B7/GALT/HLA-DQA1/HBB/PEX19/AHCY/NABP1/SLC7A7/PMM2/SLC25A15/HSD17B10/MCFD2/HMGCL/CYP7B1/HLA-DRB1/ADK/AMACR/PEX5/PEX14/IRF2BP2/ACAD9/ANO6/ZBTB16/COG8/DPM1/GPC3/F8/PEX13/THBS2/POU6F2/RYR1/NPM1/MAP2K1"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","HPO","12","HP_ABNORMAL_CIRCULATING_LIPID_CONCENTRATION","HP_ABNORMAL_CIRCULATING_LIPID_CONCENTRATION","2.198571977320721","0.00000000009999999999999999","0.00000003996373265860381","0.00000003996373265860382","90","342","0.2631578947368421","0","8","6","0.06666666666666667","0.023391812865497075","0.020202020202020204","0.005065367426087717499","0.10810419162154290","Exclude","HP_ABNORMALITY_OF_COMPLEMENT_SYSTEM","HP_ABNORMALITY_OF_COMPLEMENT_SYSTEM",FALSE,"APOC3/APOA1/APOB/SLC2A2/APOA2/ALB/APOC2/ANGPTL3/CFHR3/APOA5/GYS2/G6PC1/CFHR1/GATM/DIO1/APOA4/LIPC/CREB3L3/ABCG5/ABCB4/ABCG8/APOE/MTTP/AR/CYP7A1/CETP/TTPA/LCAT/CYP27A1/LIPA/CFH/NADK2/GPD1/HAVCR2/PHKA2/LEPR/GHR/MMAB/ACOX2/GALK1/MSMO1/DHCR24/DLK1/EHHADH/PIK3R5/ACADSB/SLC25A13/CNBP/RTL1/GLYCTK/PLA2G7/SLC37A4/SC5D/IRF5/ABCA2/SLC19A1/STX11/PEX3/TBL1X/HMGCS2/HSD3B7/CYP11A1/ABCA1/GALNT2/MMACHC/PEX19/SLC7A7/AKT2/PMM2/PHYH/ACADVL/GK/PSAP/EBP/MCFD2/HMGCL/CYP7B1/PLIN1/RFC2/AMACR/DHCR7/PEX5/PEX14/GCDH/ACAD9/PYGL/ACADM/NSDHL/SLC2A3/HSD17B4","APOC3/APOA1/APOB/SLC2A2/APOA2/ALB/APOC2/ANGPTL3/CFHR3/APOA5/GYS2/G6PC1/CFHR1/GATM/DIO1/APOA4/LIPC/CREB3L3/ABCG5/ABCB4/ABCG8/APOE/MTTP/AR/CYP7A1/CETP/TTPA/LCAT/CYP27A1/LIPA/CFH/NADK2/GPD1/HAVCR2/PHKA2/LEPR/GHR/MMAB/ACOX2/GALK1/MSMO1/DHCR24/DLK1/EHHADH/PIK3R5/ACADSB/SLC25A13/CNBP/RTL1/GLYCTK/PLA2G7/SLC37A4/SC5D/IRF5/ABCA2/SLC19A1/STX11/PEX3/TBL1X/HMGCS2/HSD3B7/CYP11A1/ABCA1/GALNT2/MMACHC/PEX19/SLC7A7/AKT2/PMM2/PHYH/ACADVL/GK/PSAP/EBP/MCFD2/HMGCL/CYP7B1/PLIN1/RFC2/AMACR/DHCR7/PEX5/PEX14/GCDH/ACAD9/PYGL/ACADM/NSDHL/SLC2A3/HSD17B4"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","HPO","13","HP_ELEVATED_CIRCULATING_HEPATIC_TRANSAMINASE_CONCENTRATION","HP_ELEVATED_CIRCULATING_HEPATIC_TRANSAMINASE_CONCENTRATION","2.040791317501713","0.00000000009999999999999999","0.00000003996373265860381","0.00000003996373265860382","90","374","0.2406417112299465","0","14","7","0.07777777777777778","0.037433155080213901","0.035000000000000003","0.028826890197038407271","0.44582569221056439","Exclude","HP_HYPERLIPOPROTEINEMIA","HP_HYPERLIPOPROTEINEMIA",FALSE,"APOB/SLC2A2/GDF2/HPD/TFR2/GYS2/BAAT/G6PC1/HAMP/AKR1D1/HJV/DPYS/ABCG5/ABCB4/ALDOB/CBS/F5/ABCG8/MST1/ABCB11/SERPINA1/GNMT/FAH/APOE/PKHD1/CFI/MTTP/MLIP/NR1H4/OTC/UGT1A1/LIPA/CFH/FBP1/DCDC2/STEAP3/GPD1/PHKA2/HMOX1/ACOX2/TKFC/PCK1/PTCRA/MVK/GGCX/GCLC/SLC25A13/SLC30A10/SLC37A4/SC5D/SEMA7A/STX11/LDHA/HLA-DQB1/HMGCS2/SLC11A1/HSD3B7/GALT/HLA-DQA1/PEX19/ADA2/MRPS28/AHCY/DNAJC19/SLC7A7/ACOX1/PMM2/ACADVL/SLC25A15/MIF/PCK2/HMGCL/CYP7B1/TYMP/DOCK2/ADK/PEPD/AMACR/PEX14/ACSL5/ACAD9/PYGL/RRM2B/LBR/ACADM/HSD17B4/TRMT10C/COG8/DPM1/MED12","APOB/SLC2A2/GDF2/HPD/TFR2/GYS2/BAAT/G6PC1/HAMP/AKR1D1/HJV/DPYS/ABCG5/ABCB4/ALDOB/CBS/F5/ABCG8/MST1/ABCB11/SERPINA1/GNMT/FAH/APOE/PKHD1/CFI/MTTP/MLIP/NR1H4/OTC/UGT1A1/LIPA/CFH/FBP1/DCDC2/STEAP3/GPD1/PHKA2/HMOX1/ACOX2/TKFC/PCK1/PTCRA/MVK/GGCX/GCLC/SLC25A13/SLC30A10/SLC37A4/SC5D/SEMA7A/STX11/LDHA/HLA-DQB1/HMGCS2/SLC11A1/HSD3B7/GALT/HLA-DQA1/PEX19/ADA2/MRPS28/AHCY/DNAJC19/SLC7A7/ACOX1/PMM2/ACADVL/SLC25A15/MIF/PCK2/HMGCL/CYP7B1/TYMP/DOCK2/ADK/PEPD/AMACR/PEX14/ACSL5/ACAD9/PYGL/RRM2B/LBR/ACADM/HSD17B4/TRMT10C/COG8/DPM1/MED12"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","HPO","17","HP_CHOLESTASIS","HP_CHOLESTASIS","1.993885036103681","0.00000000028044903195496157","0.00000009170683344927245","0.00000009170683344927245","106","295","0.3593220338983051","0","27","15","0.14150943396226415","0.091525423728813560","0.066014669926650366","0.023433725467929773789","0.08298817104524035","Exclude","HP_AMINOACIDURIA","HP_AMINOACIDURIA",FALSE,"FGA/ARG1/SLCO1B1/SLC2A2/SLC10A1/BAAT/CA5A/SAA1/AKR1D1/PKLR/ABCB4/ALDOB/F5/MST1/ABCB11/ABCC2/SERPINA1/KYNU/PKHD1/SLCO1B3/CYP7A1/NR1H4/UGT1A1/ADAMTS13/CYP27A1/LIPA/DCDC2/PHKA2/GALK1/CLDN1/PTCRA/GCLC/SLC25A13/SLC30A10/SLC16A2/SLC37A4/SC5D/IRF5/FCGR3B/STX11/PEX3/ETFB/HSD3B7/GALT/HBB/MMACHC/PEX19/PIGA/LRP5/DNASE2/ARL13B/ACADVL/TRPV6/SHPK/HMGCL/PRPS1/CYP7B1/NOTCH2/ADK/PEPD/AMACR/DHCR7/PEX5/ATP11C/OPLAH/PEX14/FH/UROS/LBR/HSD17B4/CPOX/MED12/KRT18/SEC63/PEX13/SLC2A1/TFAM/SLC51A/POMC/CALR/ETFDH/HESX1/DHFR/IL18BP/PIEZO1/GNAS/YARS1/PTPN3/DEF6/PHKG2/ABCD3/EARS2/PRKAR1A/INSR/SAMHD1/ABCD1/BCAP31/NPC1/GLRX5/PGM1/HTRA2/SCO2/BCS1L/GPI/OCLN/ALG8","FGA/ARG1/SLCO1B1/SLC2A2/SLC10A1/BAAT/CA5A/SAA1/AKR1D1/PKLR/ABCB4/ALDOB/F5/MST1/ABCB11/ABCC2/SERPINA1/KYNU/PKHD1/SLCO1B3/CYP7A1/NR1H4/UGT1A1/ADAMTS13/CYP27A1/LIPA/DCDC2/PHKA2/GALK1/CLDN1/PTCRA/GCLC/SLC25A13/SLC30A10/SLC16A2/SLC37A4/SC5D/IRF5/FCGR3B/STX11/PEX3/ETFB/HSD3B7/GALT/HBB/MMACHC/PEX19/PIGA/LRP5/DNASE2/ARL13B/ACADVL/TRPV6/SHPK/HMGCL/PRPS1/CYP7B1/NOTCH2/ADK/PEPD/AMACR/DHCR7/PEX5/ATP11C/OPLAH/PEX14/FH/UROS/LBR/HSD17B4/CPOX/MED12/KRT18/SEC63/PEX13/SLC2A1/TFAM/SLC51A/POMC/CALR/ETFDH/HESX1/DHFR/IL18BP/PIEZO1/GNAS/YARS1/PTPN3/DEF6/PHKG2/ABCD3/EARS2/PRKAR1A/INSR/SAMHD1/ABCD1/BCAP31/NPC1/GLRX5/PGM1/HTRA2/SCO2/BCS1L/GPI/OCLN/ALG8"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","HPO","19","HP_ABNORMAL_URINE_PH","HP_ABNORMAL_URINE_PH","2.165607845625210","0.00000000033090275775565319","0.00000009681518054545665","0.00000009681518054545665","62","156","0.3974358974358974","0","126","58","0.93548387096774188","0.807692307692307709","0.807692307692307709","0.000609238214727440266","1.00000000000000000","Exclude","HP_ORGANIC_ACIDURIA","HP_ORGANIC_ACIDURIA",FALSE,"UPB1/HPD/AGXT/TAT/GATM/CA5A/PAH/UROC1/FTCD/HOGA1/KYNU/ALDH4A1/NADK2/HGD/BCKDHA/MMAB/SLC26A1/PCK1/GRHPR/EHHADH/MVK/ACADSB/ALDH6A1/ALDH5A1/ECHS1/ETFB/HMGCS2/HSPD1/MMACHC/MPC1/DHTKD1/MMADHC/SLC13A3/ACADVL/ALAD/PCK2/HMGCL/IDH2/HLCS/PEX14/FH/GCDH/ACAD9/SLC25A19/PRDX1/UROS/ACADM/MMUT/CPOX/SLC34A1/TFAM/IVD/MLYCD/ETFDH/MTRR/MT-ND6/MRPL39/SUGCT/ABCB7/PCCB/MCCC1/NFS1","UPB1/HPD/AGXT/TAT/GATM/CA5A/PAH/UROC1/FTCD/HOGA1/KYNU/ALDH4A1/NADK2/HGD/BCKDHA/MMAB/SLC26A1/PCK1/GRHPR/EHHADH/MVK/ACADSB/ALDH6A1/ALDH5A1/ECHS1/ETFB/HMGCS2/HSPD1/MMACHC/MPC1/DHTKD1/MMADHC/SLC13A3/ACADVL/ALAD/PCK2/HMGCL/IDH2/HLCS/PEX14/FH/GCDH/ACAD9/SLC25A19/PRDX1/UROS/ACADM/MMUT/CPOX/SLC34A1/TFAM/IVD/MLYCD/ETFDH/MTRR/MT-ND6/MRPL39/SUGCT/ABCB7/PCCB/MCCC1/NFS1"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","HPO","22","HP_ABNORMAL_URINE_CYTOLOGY","HP_ABNORMAL_URINE_CYTOLOGY","2.092946184279414","0.00000000235724306719165549","0.00000059563246411447331","0.00000059563246411447331","68","193","0.3523316062176166","0","40","20","0.29411764705882354","0.207253886010362681","0.186046511627906974","0.023454229179466511146","0.46967163666420608","Exclude","HP_ABNORMALITY_OF_COMPLEMENT_SYSTEM","HP_ABNORMALITY_OF_COMPLEMENT_SYSTEM",FALSE,"APOA1/FGA/F9/AGXT/CFHR5/F2/SLC34A2/SERPINF2/APOA4/HOGA1/F5/F10/CFI/C4B/ADAMTS13/C4A/CFB/SLC2A9/CFH/C3/SPP1/HMOX1/DNASE1L3/CLEC7A/GRHPR/CLDN16/ITGAM/GP1BA/FN1/SLC37A4/IRF5/FCGR3B/FCGR2B/DNMT3A/LPIN2/HPRT1/HBB/UMPS/MMACHC/NABP1/SLC7A7/GATA3/CLCN5/ACP5/FCGR2C/MCFD2/HLA-DRB1/HLA-DPA1/NOTCH2/HLA-DPB1/FH/IRF2BP2/SAT1/PRDX1/CD81/ZBTB16/GPC3/F8/POU6F2/NPM1/STAT4/IL10/SDHB/IRAK1/PDCD1/GP1BB/DPH1/CD46","APOA1/FGA/F9/AGXT/CFHR5/F2/SLC34A2/SERPINF2/APOA4/HOGA1/F5/F10/CFI/C4B/ADAMTS13/C4A/CFB/SLC2A9/CFH/C3/SPP1/HMOX1/DNASE1L3/CLEC7A/GRHPR/CLDN16/ITGAM/GP1BA/FN1/SLC37A4/IRF5/FCGR3B/FCGR2B/DNMT3A/LPIN2/HPRT1/HBB/UMPS/MMACHC/NABP1/SLC7A7/GATA3/CLCN5/ACP5/FCGR2C/MCFD2/HLA-DRB1/HLA-DPA1/NOTCH2/HLA-DPB1/FH/IRF2BP2/SAT1/PRDX1/CD81/ZBTB16/GPC3/F8/POU6F2/NPM1/STAT4/IL10/SDHB/IRAK1/PDCD1/GP1BB/DPH1/CD46"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","HPO","24","HP_ABNORMAL_URINE_CARBOXYLIC_ACID_LEVEL","HP_ABNORMAL_URINE_CARBOXYLIC_ACID_LEVEL","2.172715727144321","0.00000000825221615195191823","0.00000191141956619586331","0.00000191141956619586373","58","138","0.4202898550724637","0","107","50","0.86206896551724133","0.775362318840579712","0.681528662420382125","0.028968874466026320325","0.45311427522982645","Exclude","HP_ORGANIC_ACIDURIA","HP_ORGANIC_ACIDURIA",FALSE,"ARG1/UPB1/HPD/AGXT/TAT/CA5A/PAH/UROC1/FTCD/KYNU/ALDH4A1/OTC/HGD/BCKDHA/MMAB/PCK1/GRHPR/MVK/ACADSB/TMEM70/ALDH6A1/ALDH5A1/ECHS1/ETFB/HMGCS2/HSPD1/UMPS/MMACHC/DNAJC19/DHTKD1/SLC7A7/MMADHC/SLC13A3/ACADVL/ALAD/SLC25A15/PCK2/HMGCL/IDH2/HLCS/PEX14/FH/GCDH/ACAD9/PRDX1/UROS/ACADM/MMUT/CPOX/TFAM/TAFAZZIN/MLYCD/ETFDH/MTRR/MRPL39/SUGCT/PCCB/MCCC1","ARG1/UPB1/HPD/AGXT/TAT/CA5A/PAH/UROC1/FTCD/KYNU/ALDH4A1/OTC/HGD/BCKDHA/MMAB/PCK1/GRHPR/MVK/ACADSB/TMEM70/ALDH6A1/ALDH5A1/ECHS1/ETFB/HMGCS2/HSPD1/UMPS/MMACHC/DNAJC19/DHTKD1/SLC7A7/MMADHC/SLC13A3/ACADVL/ALAD/SLC25A15/PCK2/HMGCL/IDH2/HLCS/PEX14/FH/GCDH/ACAD9/PRDX1/UROS/ACADM/MMUT/CPOX/TFAM/TAFAZZIN/MLYCD/ETFDH/MTRR/MRPL39/SUGCT/PCCB/MCCC1"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","HPO","25","HP_HYPERCHOLESTEROLEMIA","HP_HYPERCHOLESTEROLEMIA","2.285519500122851","0.00000000931068758205430285","0.00000207032449074559525","0.00000207032449074559525","24","79","0.3037974683544304","0","22","12","0.50000000000000000","0.278481012658227833","0.226804123711340205","0.004971659420172685508","0.15342871720199178","Exclude","HP_HYPERLIPOPROTEINEMIA","HP_HYPERLIPOPROTEINEMIA",FALSE,"APOB/ALB/APOC2/DIO1/APOA4/LIPC/CREB3L3/ABCG5/ABCB4/ABCG8/APOE/CYP7A1/TTPA/LIPA/PHKA2/GHR/GALK1/DLK1/PIK3R5/SLC25A13/RTL1/SLC37A4/IRF5/TBL1X","APOB/ALB/APOC2/DIO1/APOA4/LIPC/CREB3L3/ABCG5/ABCB4/ABCG8/APOE/CYP7A1/TTPA/LIPA/PHKA2/GHR/GALK1/DLK1/PIK3R5/SLC25A13/RTL1/SLC37A4/IRF5/TBL1X"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","HPO","26","HP_ABNORMAL_CIRCULATING_DICARBOXYLIC_ACID_CONCENTRATION","HP_ABNORMAL_CIRCULATING_DICARBOXYLIC_ACID_CONCENTRATION","2.092278246554812","0.00000001056794261681036705","0.00000225950742334033960","0.00000225950742334033960","58","176","0.3295454545454545","0","11","8","0.13793103448275862","0.062500000000000000","0.043137254901960784","0.006471180763052316633","0.11274492260660880","Exclude","HP_ABNORMAL_TISSUE_ENZYME_CONCENTRATION_OR_ACTIVITY","HP_ABNORMAL_TISSUE_ENZYME_CONCENTRATION_OR_ACTIVITY",FALSE,"SLCO1B1/SLC2A2/SLC10A1/BAAT/AKR1D1/PKLR/ABCB4/ALDOB/ABCB11/ABCC2/SERPINA1/PKHD1/SLCO1B3/MTTP/NR1H4/OTC/UGT1A1/FBP1/DCDC2/MMAB/SLC25A13/SLC30A10/GPX1/SC5D/SEMA7A/IRF5/ALDH6A1/SLC19A1/ETFB/HSD3B7/HBB/MMACHC/PEX19/PIGA/LRP5/DNAJC19/DHTKD1/MMADHC/CYP7B1/IDH2/ADK/AMACR/PEX14/FH/GCDH/ODC1/PRDX1/UROS/LBR/MMUT/CPOX/MED12/SEC63/PGK1/SLC2A1/TFAM/SLC51A/POMC","SLCO1B1/SLC2A2/SLC10A1/BAAT/AKR1D1/PKLR/ABCB4/ALDOB/ABCB11/ABCC2/SERPINA1/PKHD1/SLCO1B3/MTTP/NR1H4/OTC/UGT1A1/FBP1/DCDC2/MMAB/SLC25A13/SLC30A10/GPX1/SC5D/SEMA7A/IRF5/ALDH6A1/SLC19A1/ETFB/HSD3B7/HBB/MMACHC/PEX19/PIGA/LRP5/DNAJC19/DHTKD1/MMADHC/CYP7B1/IDH2/ADK/AMACR/PEX14/FH/GCDH/ODC1/PRDX1/UROS/LBR/MMUT/CPOX/MED12/SEC63/PGK1/SLC2A1/TFAM/SLC51A/POMC"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","HPO","27","HP_JAUNDICE","HP_JAUNDICE","1.976100712492550","0.00000002398796359672756541","0.00000477235601081690623","0.00000477235601081690623","72","239","0.3012552301255230","0","10","6","0.08333333333333333","0.041841004184100417","0.029154518950437316","0.044684077620262531438","0.22790823929219325","Exclude","HP_ABNORMAL_CIRCULATING_PROTEINOGENIC_AMINO_ACID_CONCENTRATION","HP_ABNORMAL_CIRCULATING_PROTEINOGENIC_AMINO_ACID_CONCENTRATION",FALSE,"SLCO1B1/SLC10A1/BAAT/CA5A/AKR1D1/PKLR/ABCB4/ALDOB/F5/MST1/ABCB11/ABCC2/SERPINA1/KYNU/PKHD1/SLCO1B3/NR1H4/UGT1A1/ADAMTS13/CYP27A1/LIPA/DCDC2/GALK1/CLDN1/PTCRA/GCLC/SLC25A13/SLC30A10/SLC16A2/SLC37A4/IRF5/FCGR3B/STX11/PEX3/ETFB/HSD3B7/GALT/HBB/MMACHC/PEX19/PIGA/LRP5/ARL13B/ACADVL/TRPV6/HMGCL/PRPS1/CYP7B1/PEPD/AMACR/PEX5/ATP11C/OPLAH/PEX14/UROS/LBR/CPOX/MED12/KRT18/SEC63/PEX13/SLC2A1/TFAM/CALR/ETFDH/HESX1/DHFR/IL18BP/PIEZO1/YARS1/PTPN3/DEF6","SLCO1B1/SLC10A1/BAAT/CA5A/AKR1D1/PKLR/ABCB4/ALDOB/F5/MST1/ABCB11/ABCC2/SERPINA1/KYNU/PKHD1/SLCO1B3/NR1H4/UGT1A1/ADAMTS13/CYP27A1/LIPA/DCDC2/GALK1/CLDN1/PTCRA/GCLC/SLC25A13/SLC30A10/SLC16A2/SLC37A4/IRF5/FCGR3B/STX11/PEX3/ETFB/HSD3B7/GALT/HBB/MMACHC/PEX19/PIGA/LRP5/ARL13B/ACADVL/TRPV6/HMGCL/PRPS1/CYP7B1/PEPD/AMACR/PEX5/ATP11C/OPLAH/PEX14/UROS/LBR/CPOX/MED12/KRT18/SEC63/PEX13/SLC2A1/TFAM/CALR/ETFDH/HESX1/DHFR/IL18BP/PIEZO1/YARS1/PTPN3/DEF6"
