"Input_Type","TF_Analysis_Name","Intersection_Name","Required_Methods","Number_Of_Methods","Intersected_TF_Count","Reported_Top_N","Result_File","Summary_File"
"DEG","HMVL_HUB098","ALL_6_METHODS","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","144","10","results/ngs/GSE310664/TF_summary/deg/HMVL_HUB098/intersections/ALL_6_METHODS/candidates/top10_tf_candidates.csv","results/ngs/GSE310664/TF_summary/deg/HMVL_HUB098/intersections/ALL_6_METHODS/summary/summary.csv"
"DEG","HMVL_HUB098","WITHOUT_CHEA3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","5","144","10","results/ngs/GSE310664/TF_summary/deg/HMVL_HUB098/intersections/WITHOUT_CHEA3/candidates/top10_tf_candidates.csv","results/ngs/GSE310664/TF_summary/deg/HMVL_HUB098/intersections/WITHOUT_CHEA3/summary/summary.csv"
"DEG","HMVL_HUB098","DOROTHEA_CHEA3_VIPER","DoRothEA;ChEA3;VIPER","3","263","10","results/ngs/GSE310664/TF_summary/deg/HMVL_HUB098/intersections/DOROTHEA_CHEA3_VIPER/candidates/top10_tf_candidates.csv","results/ngs/GSE310664/TF_summary/deg/HMVL_HUB098/intersections/DOROTHEA_CHEA3_VIPER/summary/summary.csv"
"DEG","HMVL_HUB098","ENRICHR_TRRUST_COLLECTRI","ENRICHR;TRRUST;CollecTRI","3","228","10","results/ngs/GSE310664/TF_summary/deg/HMVL_HUB098/intersections/ENRICHR_TRRUST_COLLECTRI/candidates/top10_tf_candidates.csv","results/ngs/GSE310664/TF_summary/deg/HMVL_HUB098/intersections/ENRICHR_TRRUST_COLLECTRI/summary/summary.csv"
"DEG","HMVL_HUB098","ACTIVITY_METHODS_VIPER_COLLECTRI","VIPER;CollecTRI","2","232","10","results/ngs/GSE310664/TF_summary/deg/HMVL_HUB098/intersections/ACTIVITY_METHODS_VIPER_COLLECTRI/candidates/top10_tf_candidates.csv","results/ngs/GSE310664/TF_summary/deg/HMVL_HUB098/intersections/ACTIVITY_METHODS_VIPER_COLLECTRI/summary/summary.csv"
"DEG","HMVL_HUB098","ORA_METHODS_DOROTHEA_TRRUST","DoRothEA;TRRUST","2","174","10","results/ngs/GSE310664/TF_summary/deg/HMVL_HUB098/intersections/ORA_METHODS_DOROTHEA_TRRUST/candidates/top10_tf_candidates.csv","results/ngs/GSE310664/TF_summary/deg/HMVL_HUB098/intersections/ORA_METHODS_DOROTHEA_TRRUST/summary/summary.csv"
"DEG","HMVL_HUB098","API_METHODS_CHEA3_ENRICHR","ChEA3;ENRICHR","2","310","10","results/ngs/GSE310664/TF_summary/deg/HMVL_HUB098/intersections/API_METHODS_CHEA3_ENRICHR/candidates/top10_tf_candidates.csv","results/ngs/GSE310664/TF_summary/deg/HMVL_HUB098/intersections/API_METHODS_CHEA3_ENRICHR/summary/summary.csv"
"DEG","HMVL_HUB098","SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI","DoRothEA;VIPER;CollecTRI","3","232","10","results/ngs/GSE310664/TF_summary/deg/HMVL_HUB098/intersections/SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI/candidates/top10_tf_candidates.csv","results/ngs/GSE310664/TF_summary/deg/HMVL_HUB098/intersections/SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI/summary/summary.csv"
"DEG","HMVL_HUB098","LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST","DoRothEA;ChEA3;ENRICHR;TRRUST","4","153","10","results/ngs/GSE310664/TF_summary/deg/HMVL_HUB098/intersections/LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST/candidates/top10_tf_candidates.csv","results/ngs/GSE310664/TF_summary/deg/HMVL_HUB098/intersections/LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST/summary/summary.csv"
"DEG","HMVL_HUB098","CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST","ChEA3;ENRICHR;TRRUST","3","197","10","results/ngs/GSE310664/TF_summary/deg/HMVL_HUB098/intersections/CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST/candidates/top10_tf_candidates.csv","results/ngs/GSE310664/TF_summary/deg/HMVL_HUB098/intersections/CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST/summary/summary.csv"
"DEG","HMVL_HUB098","BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI","ChEA3;ENRICHR;CollecTRI","3","271","10","results/ngs/GSE310664/TF_summary/deg/HMVL_HUB098/intersections/BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI/candidates/top10_tf_candidates.csv","results/ngs/GSE310664/TF_summary/deg/HMVL_HUB098/intersections/BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI/summary/summary.csv"
"DEG","HMVL_HUB098","CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI","DoRothEA;TRRUST;CollecTRI","3","171","10","results/ngs/GSE310664/TF_summary/deg/HMVL_HUB098/intersections/CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI/candidates/top10_tf_candidates.csv","results/ngs/GSE310664/TF_summary/deg/HMVL_HUB098/intersections/CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI/summary/summary.csv"
