"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE282081","ATF3_correlation","2D_J2","CP_REACTOME","1","REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE","REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE","2.402649121671567","0.000005439847914042868","0.007242682614783539","0.004747718392818813","68","103","0.66019417475728159","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.0000000000000000000000000000","0.000000000000000000","Keep","itself","",TRUE,"RPL23/RPL14/CUL2/UBB/RPL38/RPL36AL/RPL31/RPL30/RPL27/RPL22/RPL21/RPL17/RPL15/RPL11/RPL7A/RPL6/RPL5/PSMD13/PSMD2/PSMC5/PSMC2/PSMB7/PSMB3/PSMB2/PSMA5/ANKZF1/RPL22L1/PSMD14/PSMD6/NEMF/SEM1/VCP/UFD1/UBE2D2/UBE2D1/UBC/ELOC/RPS27A/RPLP0/RPL36A/RPL39/RPL37A/RPL37/RPL35A/RPL34/RPL32/RPL27A/RPL26/RPL24/RPL23A/RPL9/RPL7/RPL4/RPL3/PSMD12/PSMD11/PSMD1/PSMC6/PSMC1/PSMB6/PSMB5/PSMB4/PSMB1/PSMA7/PSMA4/PSMA3/PSMA2/PSMA1","RPL23/RPL14/CUL2/UBB/RPL38/RPL36AL/RPL31/RPL30/RPL27/RPL22/RPL21/RPL17/RPL15/RPL11/RPL7A/RPL6/RPL5/PSMD13/PSMD2/PSMC5/PSMC2/PSMB7/PSMB3/PSMB2/PSMA5/ANKZF1/RPL22L1/PSMD14/PSMD6/NEMF/SEM1/VCP/UFD1/UBE2D2/UBE2D1/UBC/ELOC/RPS27A/RPLP0/RPL36A/RPL39/RPL37A/RPL37/RPL35A/RPL34/RPL32/RPL27A/RPL26/RPL24/RPL23A/RPL9/RPL7/RPL4/RPL3/PSMD12/PSMD11/PSMD1/PSMC6/PSMC1/PSMB6/PSMB5/PSMB4/PSMB1/PSMA7/PSMA4/PSMA3/PSMA2/PSMA1"
"GSE282081","ATF3_correlation","2D_J2","CP_REACTOME","2","REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL","REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL","2.202488010122484","0.000010242613140179345","0.007242682614783539","0.004747718392818813","87","145","0.59999999999999998","0.00000000000000000","103","68","0.78160919540229890","0.710344827586206873","0.710344827586206873","0.0169956974762906637410608823","1.000000000000000000","Exclude","REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE","REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE",FALSE,"RPL23/RPL14/CUL2/UBB/RPS26/RPS25/RPS24/RPS23/RPS20/RPS12/RPS8/RPS7/RPS3A/RPL38/RPL36AL/RPL31/RPL30/RPL27/RPL22/RPL21/RPL17/RPL15/RPL11/RPL7A/RPL6/RPL5/PSMD13/PSMD2/PSMC5/PSMC2/PSMB7/PSMB3/PSMB2/PSMA5/ANKZF1/RPL22L1/PSMD14/PSMD6/TRIP4/NEMF/SEM1/VCP/UFD1/UBE2D3/UBE2D2/UBE2D1/UBC/ELOC/RPS29/RPS27A/RPS27/RPS17/RPS13/RPS10/RPS4X/RPS3/RPLP0/RPL36A/RPL39/RPL37A/RPL37/RPL35A/RPL34/RPL32/RPL27A/RPL26/RPL24/RPL23A/RPL9/RPL7/RPL4/RPL3/ABCE1/PSMD12/PSMD11/PSMD1/PSMC6/PSMC1/PSMB6/PSMB5/PSMB4/PSMB1/PSMA7/PSMA4/PSMA3/PSMA2/PSMA1","RPL23/RPL14/CUL2/UBB/RPS26/RPS25/RPS24/RPS23/RPS20/RPS12/RPS8/RPS7/RPS3A/RPL38/RPL36AL/RPL31/RPL30/RPL27/RPL22/RPL21/RPL17/RPL15/RPL11/RPL7A/RPL6/RPL5/PSMD13/PSMD2/PSMC5/PSMC2/PSMB7/PSMB3/PSMB2/PSMA5/ANKZF1/RPL22L1/PSMD14/PSMD6/TRIP4/NEMF/SEM1/VCP/UFD1/UBE2D3/UBE2D2/UBE2D1/UBC/ELOC/RPS29/RPS27A/RPS27/RPS17/RPS13/RPS10/RPS4X/RPS3/RPLP0/RPL36A/RPL39/RPL37A/RPL37/RPL35A/RPL34/RPL32/RPL27A/RPL26/RPL24/RPL23A/RPL9/RPL7/RPL4/RPL3/ABCE1/PSMD12/PSMD11/PSMD1/PSMC6/PSMC1/PSMB6/PSMB5/PSMB4/PSMB1/PSMA7/PSMA4/PSMA3/PSMA2/PSMA1"
"GSE282081","ATF3_correlation","2D_J2","CP_REACTOME","3","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","2.291306160278394","0.000012400105313165525","0.007242682614783539","0.004747718392818813","30","113","0.26548672566371684","0.00000000000000000","54","15","0.50000000000000000","0.477876106194690287","0.333333333333333315","0.4716196620154077256970026610","1.000000000000000000","Keep","REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE","REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE",FALSE,"RPL23/RPL14/SSR2/SRP72/SRP54/RPS26/RPS25/RPS24/RPS23/RPS20/RPS12/RPS8/RPS7/RPS3A/RPN2/RPN1/RPL38/RPL36AL/RPL31/RPL30/RPL27/RPL22/RPL21/RPL17/RPL15/RPL11/RPL7A/RPL6/RPL5/SRPRB","RPL23/RPL14/SSR2/SRP72/SRP54/RPS26/RPS25/RPS24/RPS23/RPS20/RPS12/RPS8/RPS7/RPS3A/RPN2/RPN1/RPL38/RPL36AL/RPL31/RPL30/RPL27/RPL22/RPL21/RPL17/RPL15/RPL11/RPL7A/RPL6/RPL5/SRPRB"
"GSE282081","ATF3_correlation","2D_J2","CP_REACTOME","4","REACTOME_SIGNALING_BY_ROBO_RECEPTORS","REACTOME_SIGNALING_BY_ROBO_RECEPTORS","2.096636797575148","0.000015935495302053992","0.007242682614783539","0.004747718392818813","112","205","0.54634146341463419","0.00000000000000000","92","62","0.55357142857142860","0.448780487804878059","0.425925925925925930","0.0007200222882640661126174564","0.297220627933748260","Exclude","REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE","REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE",FALSE,"SLIT2/RPL23/RPL14/LHX4/CUL2/UBB/SOS2/SLIT3/UPF3A/RPS26/RPS25/RPS24/RPS23/RPS20/RPS12/RPS8/RPS7/RPS3A/RPL38/RPL36AL/RPL31/RPL30/RPL27/RPL22/RPL21/RPL17/RPL15/RPL11/RPL7A/RPL6/RPL5/PSMD13/PSMD2/PSMC5/PSMC2/PSMB7/PSMB3/PSMB2/PSMA5/PRKCA/PRKAR2A/ENAH/PRKACA/PPP3CB/PFN2/PAK1/NELL2/NCK1/NCBP1/HOXA2/SRGAP2/CLASP1/NCBP2/RPL22L1/EIF4G1/DAG1/CAP1/PSMD14/PSMD6/EIF4A3/NRP1/NCK2/SEM1/CXCR4/UBC/ELOC/SOS1/SLIT1/UPF3B/RPS29/RPS27A/RPS27/RPS17/RPS13/RPS10/RPS4X/RPS3/RPLP0/RPL36A/RPL39/RPL37A/RPL37/RPL35A/RPL34/RPL32/RPL27A/RPL26/RPL24/RPL23A/RPL9/RPL7/RPL4/RPL3/ROBO2/RAC1/SRGAP1/PSMD12/PSMD11/PSMD1/PSMC6/PSMC1/LHX9/PSMB6/PSMB5/PAK6/PSMB4/PSMB1/PSMA7/PSMA4/PSMA3/PSMA2/PSMA1","SLIT2/RPL23/RPL14/LHX4/CUL2/UBB/SOS2/SLIT3/UPF3A/RPS26/RPS25/RPS24/RPS23/RPS20/RPS12/RPS8/RPS7/RPS3A/RPL38/RPL36AL/RPL31/RPL30/RPL27/RPL22/RPL21/RPL17/RPL15/RPL11/RPL7A/RPL6/RPL5/PSMD13/PSMD2/PSMC5/PSMC2/PSMB7/PSMB3/PSMB2/PSMA5/PRKCA/PRKAR2A/ENAH/PRKACA/PPP3CB/PFN2/PAK1/NELL2/NCK1/NCBP1/HOXA2/SRGAP2/CLASP1/NCBP2/RPL22L1/EIF4G1/DAG1/CAP1/PSMD14/PSMD6/EIF4A3/NRP1/NCK2/SEM1/CXCR4/UBC/ELOC/SOS1/SLIT1/UPF3B/RPS29/RPS27A/RPS27/RPS17/RPS13/RPS10/RPS4X/RPS3/RPLP0/RPL36A/RPL39/RPL37A/RPL37/RPL35A/RPL34/RPL32/RPL27A/RPL26/RPL24/RPL23A/RPL9/RPL7/RPL4/RPL3/ROBO2/RAC1/SRGAP1/PSMD12/PSMD11/PSMD1/PSMC6/PSMC1/LHX9/PSMB6/PSMB5/PAK6/PSMB4/PSMB1/PSMA7/PSMA4/PSMA3/PSMA2/PSMA1"
"GSE282081","ATF3_correlation","2D_J2","CP_REACTOME","5","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS","2.164856757112265","0.000026857425044553401","0.009765359746199615","0.006401381994136992","91","159","0.57232704402515722","0.00000000000000000","92","62","0.68131868131868134","0.578616352201257844","0.541176470588235259","0.0020172963557336985943035934","0.297220627933748260","Exclude","REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE","REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE",FALSE,"SLIT2/RPL23/RPL14/LHX4/CUL2/UBB/UPF3A/RPS26/RPS25/RPS24/RPS23/RPS20/RPS12/RPS8/RPS7/RPS3A/RPL38/RPL36AL/RPL31/RPL30/RPL27/RPL22/RPL21/RPL17/RPL15/RPL11/RPL7A/RPL6/RPL5/PSMD13/PSMD2/PSMC5/PSMC2/PSMB7/PSMB3/PSMB2/PSMA5/NCBP1/HOXA2/NCBP2/RPL22L1/EIF4G1/DAG1/PSMD14/PSMD6/EIF4A3/SEM1/UBC/ELOC/SLIT1/UPF3B/RPS29/RPS27A/RPS27/RPS17/RPS13/RPS10/RPS4X/RPS3/RPLP0/RPL36A/RPL39/RPL37A/RPL37/RPL35A/RPL34/RPL32/RPL27A/RPL26/RPL24/RPL23A/RPL9/RPL7/RPL4/RPL3/ROBO2/PSMD12/PSMD11/PSMD1/PSMC6/PSMC1/LHX9/PSMB6/PSMB5/PSMB4/PSMB1/PSMA7/PSMA4/PSMA3/PSMA2/PSMA1","SLIT2/RPL23/RPL14/LHX4/CUL2/UBB/UPF3A/RPS26/RPS25/RPS24/RPS23/RPS20/RPS12/RPS8/RPS7/RPS3A/RPL38/RPL36AL/RPL31/RPL30/RPL27/RPL22/RPL21/RPL17/RPL15/RPL11/RPL7A/RPL6/RPL5/PSMD13/PSMD2/PSMC5/PSMC2/PSMB7/PSMB3/PSMB2/PSMA5/NCBP1/HOXA2/NCBP2/RPL22L1/EIF4G1/DAG1/PSMD14/PSMD6/EIF4A3/SEM1/UBC/ELOC/SLIT1/UPF3B/RPS29/RPS27A/RPS27/RPS17/RPS13/RPS10/RPS4X/RPS3/RPLP0/RPL36A/RPL39/RPL37A/RPL37/RPL35A/RPL34/RPL32/RPL27A/RPL26/RPL24/RPL23A/RPL9/RPL7/RPL4/RPL3/ROBO2/PSMD12/PSMD11/PSMD1/PSMC6/PSMC1/LHX9/PSMB6/PSMB5/PSMB4/PSMB1/PSMA7/PSMA4/PSMA3/PSMA2/PSMA1"
"GSE282081","ATF3_correlation","2D_J2","CP_REACTOME","6","REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME","REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME","2.371322169347763","0.000051479774129489223","0.015598371561235235","0.010225033940895908","36","47","0.76595744680851063","0.00000000000000000","37","28","0.77777777777777779","0.787234042553191515","0.327433628318584080","0.7509180553242351674470000944","0.090274832450051246","Keep","REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE","REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE",FALSE,"NUMB/CUL1/ITCH/UBB/PSMD13/PSMD2/PSMC5/PSMC2/PSMB7/PSMB3/PSMB2/PSMA5/PRKACA/SUFU/GLI1/PSMD14/PSMD6/SEM1/UBC/RPS27A/PSMD12/PSMD11/PSMD1/PSMC6/PSMC1/PSMB6/PSMB5/PSMB4/PSMB1/PSMA7/PSMA4/PSMA3/PSMA2/PSMA1/PRKACG/PRKACB","NUMB/CUL1/ITCH/UBB/PSMD13/PSMD2/PSMC5/PSMC2/PSMB7/PSMB3/PSMB2/PSMA5/PRKACA/SUFU/GLI1/PSMD14/PSMD6/SEM1/UBC/RPS27A/PSMD12/PSMD11/PSMD1/PSMC6/PSMC1/PSMB6/PSMB5/PSMB4/PSMB1/PSMA7/PSMA4/PSMA3/PSMA2/PSMA1/PRKACG/PRKACB"
"GSE282081","ATF3_correlation","2D_J2","CP_REACTOME","7","REACTOME_DEGRADATION_OF_AXIN","REACTOME_DEGRADATION_OF_AXIN","2.291128099156609","0.000063775450621697283","0.016563395604320810","0.010857625846762088","32","42","0.76190476190476186","0.00000000000000000","36","28","0.87500000000000000","0.857142857142857095","0.330275229357798183","0.4433718798288760476467018634","0.049972744340618658","Keep","REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE","REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE",TRUE,"TNKS/UBB/PSMD13/PSMD2/PSMC5/PSMC2/PSMB7/PSMB3/PSMB2/PSMA5/PSMD14/PSMD6/RNF146/TNKS2/SEM1/UBC/SMURF2/RPS27A/PSMD12/PSMD11/PSMD1/PSMC6/PSMC1/PSMB6/PSMB5/PSMB4/PSMB1/PSMA7/PSMA4/PSMA3/PSMA2/PSMA1","TNKS/UBB/PSMD13/PSMD2/PSMC5/PSMC2/PSMB7/PSMB3/PSMB2/PSMA5/PSMD14/PSMD6/RNF146/TNKS2/SEM1/UBC/SMURF2/RPS27A/PSMD12/PSMD11/PSMD1/PSMC6/PSMC1/PSMB6/PSMB5/PSMB4/PSMB1/PSMA7/PSMA4/PSMA3/PSMA2/PSMA1"
"GSE282081","ATF3_correlation","2D_J2","CP_REACTOME","8","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","2.098831142742347","0.000113689434266831332","0.024337329656740743","0.015953589821477512","29","120","0.24166666666666667","0.00000000000000000","88","24","0.82758620689655171","0.733333333333333282","0.606896551724137923","0.1399147392341995588260772365","0.481150454257534499","Keep","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",FALSE,"EIF5B/RPL23/RPL14/EIF2B5/EIF3H/EIF3F/EIF3D/RPS26/RPS25/RPS24/RPS23/RPS20/RPS12/RPS8/RPS7/RPS3A/RPL38/RPL36AL/RPL31/RPL30/RPL27/RPL22/RPL21/RPL17/RPL15/RPL11/RPL7A/RPL6/RPL5","EIF5B/RPL23/RPL14/EIF2B5/EIF3H/EIF3F/EIF3D/RPS26/RPS25/RPS24/RPS23/RPS20/RPS12/RPS8/RPS7/RPS3A/RPL38/RPL36AL/RPL31/RPL30/RPL27/RPL22/RPL21/RPL17/RPL15/RPL11/RPL7A/RPL6/RPL5"
"GSE282081","ATF3_correlation","2D_J2","CP_REACTOME","9","REACTOME_MAPK6_MAPK4_SIGNALING","REACTOME_MAPK6_MAPK4_SIGNALING","2.106786882879207","0.000120481829983865084","0.024337329656740743","0.015953589821477512","50","80","0.62500000000000000","0.00000000000000000","39","31","0.62000000000000000","0.487499999999999989","0.443181818181818177","0.0021102287323655449617632041","0.271083107750381525","Exclude","REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME","REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME",FALSE,"CCND3/CDC14B/MAPKAPK5/NCOA3/UBB/TNRC6C/PSMD13/PSMD2/PSMC5/PSMC2/PSMB7/PSMB3/PSMB2/PSMA5/PRKACA/PAK1/MOV10/TNRC6B/FOXO1/AGO3/PSMD14/SEPTIN7/PSMD6/CDK1/CDC14A/SEM1/XPO1/UBC/RPS27A/RAG2/RAG1/RAC1/PSMD12/PSMD11/PSMD1/PSMC6/PSMC1/PSMB6/PSMB5/PSMB4/PSMB1/PSMA7/PSMA4/PSMA3/PSMA2/PSMA1/MAPK6/MAPK4/PRKACG/PRKACB","CCND3/CDC14B/MAPKAPK5/NCOA3/UBB/TNRC6C/PSMD13/PSMD2/PSMC5/PSMC2/PSMB7/PSMB3/PSMB2/PSMA5/PRKACA/PAK1/MOV10/TNRC6B/FOXO1/AGO3/PSMD14/SEPTIN7/PSMD6/CDK1/CDC14A/SEM1/XPO1/UBC/RPS27A/RAG2/RAG1/RAC1/PSMD12/PSMD11/PSMD1/PSMC6/PSMC1/PSMB6/PSMB5/PSMB4/PSMB1/PSMA7/PSMA4/PSMA3/PSMA2/PSMA1/MAPK6/MAPK4/PRKACG/PRKACB"
"GSE282081","ATF3_correlation","2D_J2","CP_REACTOME","10","REACTOME_REGULATION_OF_APOPTOSIS","REACTOME_REGULATION_OF_APOPTOSIS","2.222965245487515","0.000179308555543570116","0.028313733973871304","0.018560199681088088","30","40","0.75000000000000000","0.00000000000000000","36","28","0.93333333333333335","0.900000000000000022","0.336448598130841103","0.2558813874603349525216344773","0.049972744340618658","Keep","REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE","REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE",TRUE,"UBB/PSMD13/PSMD2/PSMC5/PSMC2/PSMB7/PSMB3/PSMB2/PSMA5/OPA1/PSMD14/PSMD6/SEM1/ARHGAP10/UBC/RPS27A/PSMD12/PSMD11/PSMD1/PSMC6/PSMC1/PSMB6/PSMB5/PSMB4/PSMB1/PSMA7/PSMA4/PSMA3/PSMA2/PSMA1","UBB/PSMD13/PSMD2/PSMC5/PSMC2/PSMB7/PSMB3/PSMB2/PSMA5/OPA1/PSMD14/PSMD6/SEM1/ARHGAP10/UBC/RPS27A/PSMD12/PSMD11/PSMD1/PSMC6/PSMC1/PSMB6/PSMB5/PSMB4/PSMB1/PSMA7/PSMA4/PSMA3/PSMA2/PSMA1"
"GSE282081","ATF3_correlation","2D_J2","CP_REACTOME","11","REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6","REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6","2.226379458121826","0.000185237742685721911","0.028313733973871304","0.018560199681088088","41","60","0.68333333333333335","0.00000000000000000","37","29","0.70731707317073167","0.616666666666666696","0.293650793650793662","0.0338280195851488954539298959","0.037018501734015295","Keep","REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE","REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE",TRUE,"CDC6/CCNE1/CDC16/UBE2E1/UBB/PSMD13/PSMD2/PSMC5/PSMC2/PSMB7/PSMB3/PSMB2/PSMA5/ANAPC7/ANAPC4/CDC26/PSMD14/CDK2/CDC27/PSMD6/CCNA2/CDC23/SEM1/UBE2D1/UBC/ANAPC1/RPS27A/PSMD12/PSMD11/PSMD1/PSMC6/PSMC1/PSMB6/PSMB5/PSMB4/PSMB1/PSMA7/PSMA4/PSMA3/PSMA2/PSMA1","CDC6/CCNE1/CDC16/UBE2E1/UBB/PSMD13/PSMD2/PSMC5/PSMC2/PSMB7/PSMB3/PSMB2/PSMA5/ANAPC7/ANAPC4/CDC26/PSMD14/CDK2/CDC27/PSMD6/CCNA2/CDC23/SEM1/UBE2D1/UBC/ANAPC1/RPS27A/PSMD12/PSMD11/PSMD1/PSMC6/PSMC1/PSMB6/PSMB5/PSMB4/PSMB1/PSMA7/PSMA4/PSMA3/PSMA2/PSMA1"
"GSE282081","ATF3_correlation","2D_J2","CP_REACTOME","12","REACTOME_FBXL7_DOWN_REGULATES_AURKA_DURING_MITOTIC_ENTRY_AND_IN_EARLY_MITOSIS","REACTOME_FBXL7_DOWN_REGULATES_AURKA_DURING_MITOTIC_ENTRY_AND_IN_EARLY_MITOSIS","2.195762831408357","0.000189146342216877728","0.028313733973871304","0.018560199681088088","31","42","0.73809523809523814","0.00000000000000000","36","28","0.90322580645161288","0.857142857142857095","0.750000000000000000","0.1734552267286541271662514418","0.443371879828876048","Keep","REACTOME_DEGRADATION_OF_AXIN","REACTOME_DEGRADATION_OF_AXIN",FALSE,"CUL1/UBB/PSMD13/PSMD2/PSMC5/PSMC2/PSMB7/PSMB3/PSMB2/PSMA5/PSMD14/PSMD6/FBXL18/SEM1/UBC/AURKA/RPS27A/PSMD12/PSMD11/PSMD1/PSMC6/PSMC1/PSMB6/PSMB5/PSMB4/PSMB1/PSMA7/PSMA4/PSMA3/PSMA2/PSMA1","CUL1/UBB/PSMD13/PSMD2/PSMC5/PSMC2/PSMB7/PSMB3/PSMB2/PSMA5/PSMD14/PSMD6/FBXL18/SEM1/UBC/AURKA/RPS27A/PSMD12/PSMD11/PSMD1/PSMC6/PSMC1/PSMB6/PSMB5/PSMB4/PSMB1/PSMA7/PSMA4/PSMA3/PSMA2/PSMA1"
"GSE282081","ATF3_correlation","2D_J2","CP_REACTOME","13","REACTOME_AMINE_LIGAND_BINDING_RECEPTORS","REACTOME_AMINE_LIGAND_BINDING_RECEPTORS","-2.276187118619645","0.000202463444257605613","0.028313733973871304","0.018560199681088088","14","42","0.33333333333333331","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.0000000000000000000000000000","0.000000000000000000","Keep","itself","",TRUE,"ADRB2/ADRA1D/CHRM3/ADRB3/ADRA1A/HTR1D/DRD4/DRD2/ADRB1/ADRA2C/ADRA2B/CHRM4/CHRM1/HRH3","ADRB2/ADRA1D/CHRM3/ADRB3/ADRA1A/HTR1D/DRD4/DRD2/ADRB1/ADRA2C/ADRA2B/CHRM4/CHRM1/HRH3"
"GSE282081","ATF3_correlation","2D_J2","CP_REACTOME","14","REACTOME_RAF_ACTIVATION","REACTOME_RAF_ACTIVATION","2.216682787719007","0.000268445018903489582","0.034859503169038859","0.022851077861999872","28","34","0.82352941176470584","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.0000000000000000000000000000","0.000000000000000000","Keep","itself","",TRUE,"KSR1/CAMK2A/PPP2R5B/PPP2R1B/PHB1/MARK3/BRAP/CAMK2G/CAMK2D/CAMK2B/SHOC2/YWHAB/BRAF/RAF1/MAP2K1/PPP2R5E/PPP2R5D/PPP2R5C/PPP2R5A/PPP2CB/PPP2CA/PPP1CC/PPP1CB/NRAS/KRAS/JAK2/ARAF/HRAS","KSR1/CAMK2A/PPP2R5B/PPP2R1B/PHB1/MARK3/BRAP/CAMK2G/CAMK2D/CAMK2B/SHOC2/YWHAB/BRAF/RAF1/MAP2K1/PPP2R5E/PPP2R5D/PPP2R5C/PPP2R5A/PPP2CB/PPP2CA/PPP1CC/PPP1CB/NRAS/KRAS/JAK2/ARAF/HRAS"
"GSE282081","ATF3_correlation","2D_J2","CP_REACTOME","15","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","2.103422361624093","0.000330425018190274558","0.038200149244802209","0.025040935910649657","24","94","0.25531914893617019","0.00000000000000000","88","24","1.00000000000000000","0.936170212765957466","0.739495798319327768","0.1610332657273810252895884787","0.481150454257534499","Keep","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",FALSE,"RPL23/RPL14/RPS26/RPS25/RPS24/RPS23/RPS20/RPS12/RPS8/RPS7/RPS3A/RPL38/RPL36AL/RPL31/RPL30/RPL27/RPL22/RPL21/RPL17/RPL15/RPL11/RPL7A/RPL6/RPL5","RPL23/RPL14/RPS26/RPS25/RPS24/RPS23/RPS20/RPS12/RPS8/RPS7/RPS3A/RPL38/RPL36AL/RPL31/RPL30/RPL27/RPL22/RPL21/RPL17/RPL15/RPL11/RPL7A/RPL6/RPL5"
"GSE282081","ATF3_correlation","2D_J2","CP_REACTOME","16","REACTOME_DOPAMINE_RECEPTORS","REACTOME_DOPAMINE_RECEPTORS","-1.950572433381684","0.000387973144987888076","0.038200149244802209","0.025040935910649657","2","5","0.40000000000000002","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.0000000000000000000000000000","0.000000000000000000","Keep","itself","",TRUE,"DRD4/DRD2","DRD4/DRD2"
"GSE282081","ATF3_correlation","2D_J2","CP_REACTOME","17","REACTOME_SELENOAMINO_ACID_METABOLISM","REACTOME_SELENOAMINO_ACID_METABOLISM","1.989632107100423","0.000389099382192581141","0.038200149244802209","0.025040935910649657","28","118","0.23728813559322035","0.00000000000000000","88","24","0.85714285714285710","0.745762711864406791","0.615384615384615419","0.0933043130587473262815834119","0.481150454257534499","Keep","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",FALSE,"RPL23/PAPSS2/RPL14/TXNRD1/RPS26/RPS25/RPS24/RPS23/RPS20/RPS12/RPS8/RPS7/RPS3A/RPL38/RPL36AL/RPL31/RPL30/RPL27/RPL22/RPL21/RPL17/RPL15/RPL11/RPL7A/RPL6/RPL5/RARS1/QARS1","RPL23/PAPSS2/RPL14/TXNRD1/RPS26/RPS25/RPS24/RPS23/RPS20/RPS12/RPS8/RPS7/RPS3A/RPL38/RPL36AL/RPL31/RPL30/RPL27/RPL22/RPL21/RPL17/RPL15/RPL11/RPL7A/RPL6/RPL5/RARS1/QARS1"
