"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"CSR_LATE_UP.V1_UP","CSR_LATE_UP.V1_UP","140","-0.5053710955647095","-2.235509339142453","0.0000000004752084658181641","0.00000008981440003963301","0.00000005152260208344306","3166","tags=49%, list=24%, signal=37%","EXOSC9/PRIM1/EML1/HAT1/POLE3/GMNN/NUDC/BHLHE40/PA2G4/PSMD14/TOMM34/HIP1/MTHFD1/KIFBP/MT2A/EIF3B/SNRPA1/KRT18/AP1S2/FARSA/FEN1/TEX30/DNAJB11/HMGB1/MAZ/RRM2/POLD1/CDK1/CMC2/RAD18/TCF19/TSPAN13/LYAR/EZH2/ACTL6A/CCDC34/PRMT5/MYBL2/FOXM1/CYP4B1/FANCA/BIRC5/ZWINT/NUP88/MAPRE1/ANLN/UBE2C/SACK1D/PBK/DTYMK/SHCBP1/CBFB/NDC1/ZWILCH/NUF2/TUBA4A/TRIP13/CDCA8/CHEK2/PPP5C/ILF2/TUBG1/LMNB2/KIF22/PSMC3/PSMD2/JPT1/CKAP2","0.8012155746177786"
"CSR_EARLY_UP.V1_UP","CSR_EARLY_UP.V1_UP","141","-0.4925597085554720","-2.204990524658111","0.0000000011410332106528186","0.00000010782763840669136","0.00000006185601089328438","2011","tags=36%, list=16%, signal=31%","PLCH1/SEC24A/CHUK/ATG101/TDG/UBE2N/IRAK1/ID3/C8orf76/SPRY2/EIF4A3/POM121/TLNRD1/MYO9B/PHF20L1/TOP1/CCDC59/PXN/ELOA/PTPN1/CSRNP2/MAPRE1/DNTTIP2/YWHAG/EIF4A1/USP12/DOT1L/RNPS1/CBFB/BCAR1/BRPF1/FRMD6/PTPN12/SLC37A4/SMARCA4/REST/ADRM1/ILF2/SREK1IP1/HBEGF/AMMECR1L/KPNA4/TENT4A/ZBTB2/LRRC8A/DNAJA1/SPRY4/TNFRSF12A/SMTN/YOD1/KLF10","0.7881868108002371"
"KRAS.300_UP.V1_DN","KRAS.300_UP.V1_DN","67","0.5114912417347930","2.187921812761442","0.0000019204849100025260365","0.00002792089599926749405","0.00001601699965427208047","2400","tags=45%, list=19%, signal=37%","MAP2K6/CEACAM5/THRB/MAML3/OAS1/HOXB8/SYNPO/TAGLN/SLC9A7/AKR1B10/VILL/TNNI3/RASAL1/PROC/PPFIA3/MUC5AC/CA5B/P2RX1/COBL/SLC30A4/APBB3/TNFSF10/RUNDC3B/SPTBN2/TUBAL3/GRM2/MXRA8/PLBD1/CGREF1/SIDT1","0.6272567397185284"
"IL15_UP.V1_DN","IL15_UP.V1_DN","97","0.4766280411278110","2.184950590195796","0.0000001458656968936756897","0.00000393837381612924383","0.00000225927320000730809","3292","tags=48%, list=25%, signal=36%","MAP2K6/DEPTOR/PROM1/PDCD4/ATP10B/GPX2/MTARC1/APOBEC1/KLHL35/CD72/TSC22D3/RIN2/TOM1/TNS3/SNRPN/ENTPD5/LGALS4/KCNC4/ASPHD1/GOLPH3L/SIGLEC15/ZNF571/VWA7/WNT4/TXNIP/RAB6B/CFAP44/TCEAL4/KCND1/TBC1D2/KCNIP2/PBXIP1/FUT2/TNFAIP2/LGR4/DOCK3/MYH7B/PRSS16/TNFRSF11A/SEC14L2/GNAT2/BCL2L10/RHOBTB1/LRP2BP/TMEM35A/VWF/PIK3IP1","0.6901324587967956"
"KRAS.600.LUNG.BREAST_UP.V1_DN","KRAS.600.LUNG.BREAST_UP.V1_DN","136","0.4434997874971602","2.149909865509573","0.0000000286973674816700699","0.00000135595061350891086","0.00000077784969752947834","3251","tags=51%, list=25%, signal=38%","ALOX12B/MAP2K6/MAML3/KRT20/PTPRJ/PROM1/VAV3/KLF8/NEIL1/PAQR6/MTHFR/AKR1B10/GALNT8/CREB3L1/PLAC8/TNNI3/PROC/SLC25A23/PPFIA3/LGALS9/COL5A2/GP1BA/CA5B/P2RX1/COBL/MMP28/MAST3/FRAS1/ENTPD5/PARP3/ENTREP1/HEPH/TNFSF10/PBX1/SELENBP1/RUNDC3B/PLAAT4/ALDH5A1/SPTBN2/BTN3A2/THBS3/MYOM2/FSCN2/VPS50/PGGHG/ADAMTS20/MXRA8/KCNIP2/PLBD1/ZSCAN2/SIDT1/MEGF8/TBKBP1/WHRN/IGFBP2/RAG1/TM4SF4/SCARF1/DENND2D/RARRES2/GBP2/THNSL2/TYRP1/ZNF343/TTLL1/DRC9/NPY4R/CPB1/IFT140","0.7337619883564803"
"PDGF_ERK_DN.V1_DN","PDGF_ERK_DN.V1_DN","127","-0.4760351989856511","-2.097786681639093","0.0000000989183949138927378","0.00000311592943978762106","0.00000178747275019841310","2647","tags=39%, list=20%, signal=32%","ARF6/SNAPC4/RNF139/MON1B/ZNF202/TMEM115/TBX2/TMEM11/MORC3/SAC3D1/TMED5/THAP11/ZBTB5/BCL7B/KDM2A/SPRY2/DTX2/ANKRD40/MGAT1/DIP2A/MAFF/BCL10/SLC25A44/HIC2/MAD2L1BP/NCAPH2/PPP1R10/PRCC/PPP6R1/MAFG/LTBP1/EFNB2/TGIF1/LRRC40/BRPF1/MBD3/SLC3A2/FBXL14/DUSP6/CIC/DNAJB1/CCNF/CKS2/TRAIP/ERF/CNTRL/JUNB/KLF10/CDK2AP2/EGR1","0.7049757151672383"
"GCNP_SHH_UP_LATE.V1_UP","GCNP_SHH_UP_LATE.V1_UP","152","-0.4628554916858528","-2.079714937268631","0.0000000400064998757896079","0.00000151224569530484711","0.00000086750936572764846","1915","tags=38%, list=15%, signal=32%","POLA2/XPO1/EIF3A/RRM2/RRM1/CDK1/MRPL18/LARP7/E2F8/FBXO11/ASB3/TOP2A/STRN3/DIDO1/MOB1A/TK1/NXF1/PSME4/DNM1L/CYP4B1/IDH2/AURKB/AFG2A/MATR3/NUSAP1/RYK/SMC4/SLC23A2/SMC2/DLGAP5/KIFC1/DDX3X/LIG1/PIK3CA/KIF2C/CDC25C/FRMD6/SIX4/TARDBP/TRIP13/CLIC4/SGO1/DDX39A/PRC1/C1orf174/HNF1A/PHTF2/MIS18BP1/AURKA/INCENP/ZFX/CKS2/FANCM/NECTIN2/TEAD3/LBR/PCNT","0.7195128263389107"
"KRAS.BREAST_UP.V1_DN","KRAS.BREAST_UP.V1_DN","67","0.4844768704741790","2.072366887639617","0.0000144321040323286230297","0.00016045103894765351885","0.00009204375946314851070","2815","tags=51%, list=22%, signal=40%","ALOX12B/MAML3/SLC9A7/KLF8/PAQR6/MTHFR/CLSTN3/TNNI3/POLL/COL5A2/CA5B/P2RX1/MAST3/FRAS1/ENTPD5/PBX1/SELENBP1/RUNDC3B/ASPHD1/XYLB/SPTBN2/TFF2/MYOM2/CCDC57/SMPDL3B/PGGHG/ADAMTS20/PLBD1/TSPAN12/SIDT1/MEGF8/TM4SF4/DENND2D/CDK18","0.5933254763964051"
"VEGF_A_UP.V1_DN","VEGF_A_UP.V1_DN","165","-0.4503413527793662","-2.029369140304081","0.0000000273515105122644747","0.00000135595061350891086","0.00000077784969752947834","2498","tags=40%, list=19%, signal=33%","H2BC15/RPGR/CTNNAL1/SEL1L/SCAF11/NBN/MAP3K7/RASA2/AMD1/NUDT21/UGP2/RP2/MPHOSPH6/TFAM/ASPH/RRM2/ZC3H15/DHX29/PPIG/EXO1/CDC45/MFAP3/CSE1L/CCNH/BCL10/BIRC5/MAFK/PNN/LMNB1/MAPK6/THOC2/KIF23/TTK/CDKN3/SMC4/BUB1/NDC80/NEK7/USP13/DLGAP5/VRK1/CENPA/PLK4/CCNB2/KIF11/TRMU/MAD2L1/DBF4/CCNB1/BUB1B/HMMR/TMPO/CENPE/SPAG5/RNF6/NUP50/YES1/BCLAF1/XRCC4/KIF22/CEP131/CBL/STIP1/CKS2/DKK1/CDC27","0.7337619883564803"
"KRAS.600_UP.V1_DN","KRAS.600_UP.V1_DN","126","0.4212929420294465","2.022940571917803","0.0000004424444698766736957","0.00000929133386741014819","0.00000533003279500554411","3097","tags=44%, list=24%, signal=34%","MAP2K6/CEACAM5/THRB/KLK7/MAML3/OAS1/HOXB8/VAV3/SLC22A11/SYNPO/DLK2/TAGLN/SLC9A7/KLF8/BLNK/AKR1B10/VILL/TNNI3/RASAL1/PROC/PPFIA3/LGALS9/MUC5AC/CA5B/P2RX1/COBL/LRRC31/SLC30A4/MAST3/FRAS1/APBB3/PTPRH/TNFSF10/RUNDC3B/SPTBN2/ARHGEF38/TUBAL3/MAPRE3/MYOM2/SMPDL3B/ENPP1/GRM2/MXRA8/PLBD1/CGREF1/SIDT1/WHRN/PCDHGB6/TM4SF4/ATP2A3/THNSL2/SLC29A3/SPATA6/TTLL1/NPC1L1/CYP2C19","0.6749628600110250"
"KRAS.LUNG.BREAST_UP.V1_DN","KRAS.LUNG.BREAST_UP.V1_DN","65","0.4772080921629564","2.019457151211915","0.0000468313206480717330628","0.00042661743438962557292","0.00024473180585982427706","2997","tags=54%, list=23%, signal=42%","ALOX12B/MAP2K6/VAV3/PAQR6/MTHFR/AKR1B10/TNNI3/PROC/LGALS9/COL5A2/P2RX1/COBL/MMP28/MAST3/FRAS1/PARP3/TNFSF10/PBX1/RUNDC3B/ALDH5A1/SPTBN2/VPS50/PGGHG/ADAMTS20/MXRA8/PLBD1/SIDT1/MEGF8/IGFBP2/RAG1/TM4SF4/SCARF1/RARRES2/THNSL2/TTLL1","0.5573322387586460"
"CORDENONSI_YAP_CONSERVED_SIGNATURE","CORDENONSI_YAP_CONSERVED_SIGNATURE","45","-0.5520461259200772","-2.015484863635655","0.0001208342398177795421876","0.00087837197406001284779","0.00050388367211462730018","2104","tags=47%, list=16%, signal=39%","PDLIM2/DUT/ETV5/TOP2A/TK1/CENPF/BIRC5/CDKN2C/FLNA/SHCBP1/THBS1/STMN1/MDFIC/CDC20/HMMR/PHGDH/GADD45B/ECT2/CCN1/CCN2/AMOTL2","0.5384340963099162"
"PRC2_EED_DN.V1_DN","PRC2_EED_DN.V1_DN","168","-0.4370099341210658","-1.988425649143307","0.0000003956799225162393589","0.00000929133386741014819","0.00000533003279500554411","1703","tags=30%, list=13%, signal=26%","FBXL6/POLD1/CDC45/XRCC3/TBL3/BTBD2/FOSL2/TEDC2/SURF2/EHMT2/PC/RAD54L/SLC12A4/ASF1B/SYMPK/MYBL2/IDH2/GLE1/BCKDK/FRS2/LIPE/FADS2/NUP188/CASKIN2/KIF23/ENO2/FIRRM/CLPB/KIF4A/RECQL4/ZWILCH/H1-10/PHKG2/PLK1/TACC3/BUB1B/TNK2/CDCA8/MISP/THRAP3/TNS4/CEP131/ARHGAP19/INCENP/TGFBR1/RASSF1/HP1BP3/RANGAP1/DBF4B/ODF2","0.6749628600110250"
"LEF1_UP.V1_DN","LEF1_UP.V1_DN","168","0.3900225519717464","1.944636629859733","0.0000008063849886198326516","0.00001524067628491483665","0.00000874291092924660847","2603","tags=40%, list=20%, signal=32%","AKR1C3/TSPAN8/OAS1/DPP4/KRT20/SLC1A1/TSPAN1/MVP/MLLT3/SLC6A20/SLC67A1/TMED3/CDH17/DIXDC1/ACSL5/IL33/MTARC1/MRNIP/DMXL2/CTSH/S100A14/PLAC8/MFGE8/VILL/C1orf115/TFF1/AP1M2/TNS3/SORL1/MEF2C/SEC31B/GDPD3/PRR15L/BTN3A3/BDH2/RAB25/PLSCR4/SELENBP1/IL18/RETREG1/ALDH5A1/TMEM144/DYNC2LI1/ERN2/BDKRB2/SMPDL3A/TMPRSS3/KIAA0319L/KCNV1/USP18/CCL20/CAT/SLC44A4/MANBA/SLC24A1/PROS1/PLLP/CYP2J2/MARCHF2/FPGT/HNF1B/HOXB13/FGFBP1/TNFSF15/TMEM53/MANSC1/RAB27B","0.6594443980379349"
"E2F1_UP.V1_UP","E2F1_UP.V1_UP","171","-0.4181677955053114","-1.920331037021164","0.0000013053376527072502964","0.00002242807421469730409","0.00001286600748601404845","2885","tags=42%, list=22%, signal=33%","THOP1/MELTF/VPS37B/TINF2/USP39/NHERF1/SSX2IP/CAD/KPNA1/NUP43/CLN6/KPNA3/SIRPA/MCM10/RRP1B/CDV3/PBX3/FEN1/TBP/SRSF4/UBN1/PTPRU/ELAVL1/PRADC1/POLA2/TFAM/LARP4B/ERMP1/TYMS/USP10/GRWD1/RRM1/DNA2/BRCA2/PRIM2/AGO2/DNAJC2/PARP1/E2F8/ADIPOR2/EZH2/TOP2A/USF2/PIGA/TK1/GPR19/UBE2T/TYRO3/FMNL3/AURKB/LMNB1/BCL2/BUB1/SMC2/MAP3K11/DLGAP5/KIFC1/EFNB2/PLK4/TAF6/NCAPH/DBF4/STIL/SGO1/CAPRIN2/PRC1/RBM15/HMGB3/PKP4/FANCM/HDGFL2/WBP11","0.6435518361507222"
