"Dataset","Analysis_Name","Scope_Group_Column","Scope_Group_Value","Target_Gene","Feature_ID","GeneID","Symbol","Ensembl","Entrez","Biotype","Expression_Mean_Log2_TPM_Plus_1","Expression_SD_Log2_TPM_Plus_1","Correlation","Abs_Correlation","P.Value","adj.P.Val","Samples_Used","Correlation_Method"
"GSE282081","2D_J2","liver_niche_model","2D_J2","ATF3","ENSG00000175899","ENSG00000175899","A2M","ENSG00000175899","2","protein_coding","0.5730966664386739629","0.12584101782951129245","1","1","0.0000000284591215417198","0.000000085682677044091","3","spearman"
"GSE282081","2D_J2","liver_niche_model","2D_J2","ATF3","ENSG00000118017","ENSG00000118017","A4GNT","ENSG00000118017","51146","protein_coding","0.1386638683174253872","0.15888114104487885414","-1","1","0.0000000284591215417198","0.000000085682677044091","3","spearman"
"GSE282081","2D_J2","liver_niche_model","2D_J2","ATF3","ENSG00000081760","ENSG00000081760","AACS","ENSG00000081760","65985","protein_coding","3.8401476334366599907","0.04699446262654882744","1","1","0.0000000284591215417198","0.000000085682677044091","3","spearman"
"GSE282081","2D_J2","liver_niche_model","2D_J2","ATF3","ENSG00000115977","ENSG00000115977","AAK1","ENSG00000115977","22848","protein_coding","2.1644938861035942779","0.08549670366639028352","1","1","0.0000000284591215417198","0.000000085682677044091","3","spearman"
"GSE282081","2D_J2","liver_niche_model","2D_J2","ATF3","ENSG00000129673","ENSG00000129673","AANAT","ENSG00000129673","15","protein_coding","1.1438268132653670595","0.07279929421561270875","1","1","0.0000000284591215417198","0.000000085682677044091","3","spearman"
"GSE282081","2D_J2","liver_niche_model","2D_J2","ATF3","ENSG00000266967","ENSG00000266967","AARSD1","ENSG00000266967","80755","protein_coding","1.5666180972538075178","0.21980145139304363422","-1","1","0.0000000284591215417198","0.000000085682677044091","3","spearman"
"GSE282081","2D_J2","liver_niche_model","2D_J2","ATF3","ENSG00000275700","ENSG00000275700","AATF","ENSG00000275700","26574","protein_coding","4.7490346736595308030","0.03114768366955283224","-1","1","0.0000000284591215417198","0.000000085682677044091","3","spearman"
"GSE282081","2D_J2","liver_niche_model","2D_J2","ATF3","ENSG00000183044","ENSG00000183044","ABAT","ENSG00000183044","18","protein_coding","2.2315025217019108794","0.08659114438549722625","1","1","0.0000000284591215417198","0.000000085682677044091","3","spearman"
"GSE282081","2D_J2","liver_niche_model","2D_J2","ATF3","ENSG00000107331","ENSG00000107331","ABCA2","ENSG00000107331","20","protein_coding","6.2922423134277165602","0.10549224687350501617","-1","1","0.0000000284591215417198","0.000000085682677044091","3","spearman"
"GSE282081","2D_J2","liver_niche_model","2D_J2","ATF3","ENSG00000167972","ENSG00000167972","ABCA3","ENSG00000167972","21","protein_coding","3.8190640182289405935","0.10351736517190306130","-1","1","0.0000000284591215417198","0.000000085682677044091","3","spearman"
