"Input_Type","TF_Analysis_Name","Intersection_Name","Required_Methods","Number_Of_Methods","Intersected_TF_Count","Reported_Top_N","Result_File","Summary_File"
"INTERSECT","HT55_SW948","ALL_6_METHODS","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","133","10","results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/intersections/ALL_6_METHODS/candidates/top10_tf_candidates.csv","results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/intersections/ALL_6_METHODS/summary/summary.csv"
"INTERSECT","HT55_SW948","WITHOUT_CHEA3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","5","133","10","results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/intersections/WITHOUT_CHEA3/candidates/top10_tf_candidates.csv","results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/intersections/WITHOUT_CHEA3/summary/summary.csv"
"INTERSECT","HT55_SW948","DOROTHEA_CHEA3_VIPER","DoRothEA;ChEA3;VIPER","3","264","10","results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/intersections/DOROTHEA_CHEA3_VIPER/candidates/top10_tf_candidates.csv","results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/intersections/DOROTHEA_CHEA3_VIPER/summary/summary.csv"
"INTERSECT","HT55_SW948","ENRICHR_TRRUST_COLLECTRI","ENRICHR;TRRUST;CollecTRI","3","183","10","results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/intersections/ENRICHR_TRRUST_COLLECTRI/candidates/top10_tf_candidates.csv","results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/intersections/ENRICHR_TRRUST_COLLECTRI/summary/summary.csv"
"INTERSECT","HT55_SW948","ACTIVITY_METHODS_VIPER_COLLECTRI","VIPER;CollecTRI","2","238","10","results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/intersections/ACTIVITY_METHODS_VIPER_COLLECTRI/candidates/top10_tf_candidates.csv","results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/intersections/ACTIVITY_METHODS_VIPER_COLLECTRI/summary/summary.csv"
"INTERSECT","HT55_SW948","ORA_METHODS_DOROTHEA_TRRUST","DoRothEA;TRRUST","2","174","10","results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/intersections/ORA_METHODS_DOROTHEA_TRRUST/candidates/top10_tf_candidates.csv","results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/intersections/ORA_METHODS_DOROTHEA_TRRUST/summary/summary.csv"
"INTERSECT","HT55_SW948","API_METHODS_CHEA3_ENRICHR","ChEA3;ENRICHR","2","255","10","results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/intersections/API_METHODS_CHEA3_ENRICHR/candidates/top10_tf_candidates.csv","results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/intersections/API_METHODS_CHEA3_ENRICHR/summary/summary.csv"
"INTERSECT","HT55_SW948","SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI","DoRothEA;VIPER;CollecTRI","3","238","10","results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/intersections/SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI/candidates/top10_tf_candidates.csv","results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/intersections/SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI/summary/summary.csv"
"INTERSECT","HT55_SW948","LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST","DoRothEA;ChEA3;ENRICHR;TRRUST","4","137","10","results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/intersections/LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST/candidates/top10_tf_candidates.csv","results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/intersections/LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST/summary/summary.csv"
"INTERSECT","HT55_SW948","CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST","ChEA3;ENRICHR;TRRUST","3","163","10","results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/intersections/CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST/candidates/top10_tf_candidates.csv","results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/intersections/CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST/summary/summary.csv"
"INTERSECT","HT55_SW948","BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI","ChEA3;ENRICHR;CollecTRI","3","226","10","results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/intersections/BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI/candidates/top10_tf_candidates.csv","results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/intersections/BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI/summary/summary.csv"
"INTERSECT","HT55_SW948","CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI","DoRothEA;TRRUST;CollecTRI","3","172","10","results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/intersections/CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI/candidates/top10_tf_candidates.csv","results/ngs/GSE114012/TF_summary/intersect/HT55_SW948/intersections/CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI/summary/summary.csv"
