"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","TRRUST"
"1","NR1H3","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.666666666666666","2","5","ARCHS4--Coexpression(rank=7); Literature--ChIP-seq(rank=17); Enrichr--Queries(rank=77); GTEx--Coexpression(rank=80); ReMap--ChIP-seq(rank=208)","16","rank=16; score=0.0043","rank=5; score=404.35; p=8.3138e-05; adjP=0.0054871","rank=2; score=3.5935; p=0.000255"
"2","JUN","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.333333333333334","4","6","GTEx--Coexpression(rank=2); ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=11); Literature--ChIP-seq(rank=24); ARCHS4--Coexpression(rank=27); Enrichr--Queries(rank=38)","4","rank=4; score=0.001245","rank=16; score=48.842; p=0.0010006; adjP=0.022012","rank=5; score=2.9997; p=0.0010006"
"3","ATF3","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.333333333333332","1","6","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=5); Literature--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=48); ReMap--ChIP-seq(rank=48)","1","rank=1; score=0.0006143","rank=7; score=90.501; p=2.1361e-06; adjP=0.00076046","rank=41; score=1.1047; p=0.07858"
"4","CEBPB","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.666666666666668","4","6","ENCODE--ChIP-seq(rank=4); Enrichr--Queries(rank=14); Literature--ChIP-seq(rank=107); ReMap--ChIP-seq(rank=129); ARCHS4--Coexpression(rank=442); GTEx--Coexpression(rank=509)","43","rank=43; score=0.009972","rank=4; score=51.733; p=0.00085858; adjP=0.074697","rank=24; score=1.4243; p=0.037642"
"5","RELA","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.333333333333332","9","6","Literature--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=104); Enrichr--Queries(rank=664); GTEx--Coexpression(rank=1134); ARCHS4--Coexpression(rank=1295)","52","rank=52; score=0.0122","rank=12; score=42.428; p=1.0863e-05; adjP=0.0025782","rank=9; score=2.3514; p=0.0044525"
"6","ATF4","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","32.000000000000000","1","4","ReMap--ChIP-seq(rank=7); GTEx--Coexpression(rank=389); Enrichr--Queries(rank=465); ARCHS4--Coexpression(rank=800)","94","rank=94; score=0.02357","rank=1; score=755.36; p=2.1832e-08; adjP=2.8818e-06","rank=1; score=7.6608; p=2.1835e-08"
"7","FOSL1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.666666666666664","19","5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=4); Enrichr--Queries(rank=49); ARCHS4--Coexpression(rank=62); GTEx--Coexpression(rank=223)","56","rank=56; score=0.01347","rank=19; score=109.89; p=0.00051499; adjP=0.025018","rank=26; score=1.3469; p=0.044984"
"8","EGR1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.333333333333336","20","6","Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=19); ENCODE--ChIP-seq(rank=62); ARCHS4--Coexpression(rank=65); GTEx--Coexpression(rank=70); ReMap--ChIP-seq(rank=113)","20","rank=20; score=0.004986","rank=46; score=16.27; p=0.00037559; adjP=0.020571","rank=40; score=1.1288; p=0.074338"
"9","WT1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.333333333333336","20","4","Literature--ChIP-seq(rank=3); GTEx--Coexpression(rank=92); Enrichr--Queries(rank=264); ARCHS4--Coexpression(rank=720)","73","rank=73; score=0.01829","rank=20; score=91.302; p=2.9704e-05; adjP=0.0042298","rank=22; score=1.465; p=0.034276"
"10","FOSL2","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.666666666666671","6","5","ENCODE--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=8); Enrichr--Queries(rank=108); ARCHS4--Coexpression(rank=356); GTEx--Coexpression(rank=934)","108","rank=108; score=0.02694","rank=11; score=182.21; p=0.0025897; adjP=0.038359","rank=6; score=2.5867; p=0.0025898"
