"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST","CollecTRI"
"1","E2F4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.333333333333333","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=61); ARCHS4--Coexpression(rank=178); GTEx--Coexpression(rank=540)","19","rank=1; score=60.023; p=9.4804e-61","rank=2; score=9.8379; p=1.4524e-10","rank=1; score=14.003; p=1.4862e-44; direction=Repressed"
"2","E2F1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.666666666666667","1","6","Literature--ChIP-seq(rank=3); Enrichr--Queries(rank=6); ENCODE--ChIP-seq(rank=7); GTEx--Coexpression(rank=7); ReMap--ChIP-seq(rank=8); ARCHS4--Coexpression(rank=11)","12","rank=2; score=20.597; p=2.5274e-21","rank=1; score=17.569; p=2.6986e-18","rank=2; score=5.5779; p=2.4347e-08; direction=Repressed"
"3","E2F3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.333333333333333","3","3","ARCHS4--Coexpression(rank=18); Enrichr--Queries(rank=29); GTEx--Coexpression(rank=839)","36","rank=9; score=4.7625; p=1.7279e-05","rank=7; score=4.7625; p=1.7279e-05","rank=3; score=4.9645; p=6.8867e-07; direction=Repressed"
"4","MYC","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.333333333333334","8","6","Literature--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=31); Enrichr--Queries(rank=111); ARCHS4--Coexpression(rank=118); GTEx--Coexpression(rank=271)","111","rank=11; score=3.4535; p=0.00035194","rank=12; score=2.931; p=0.0011721","rank=8; score=3.3817; p=0.00072036; direction=Repressed"
"5","TFDP1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.000000000000000","3","4","GTEx--Coexpression(rank=4); ReMap--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=16); Enrichr--Queries(rank=16)","9","rank=3; score=11.341; p=4.5591e-12","rank=4; score=5.6195; p=2.4015e-06","rank=35; score=2.1416; p=0.032228; direction=Repressed"
"6","FOXM1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.000000000000000","5","6","Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=5)","2","rank=5; score=8.5166; p=3.0434e-09","rank=17; score=2.0892; p=0.0081425","rank=20; score=2.5136; p=0.01195; direction=Repressed"
"7","FOXO3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.000000000000000","5","4","Literature--ChIP-seq(rank=19); ARCHS4--Coexpression(rank=417); Enrichr--Queries(rank=627); GTEx--Coexpression(rank=743)","423","rank=22; score=1.4363; p=0.036617","rank=36; score=1.2588; p=0.055109","rank=5; score=3.6661; p=0.00024632; direction=Activated"
"8","ARID3A","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.000000000000000","8","5","ENCODE--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=129); GTEx--Coexpression(rank=502); Enrichr--Queries(rank=629); ARCHS4--Coexpression(rank=1186)","1001","rank=69; score=0.45847; p=0.34796","rank=8; score=4.102; p=7.9074e-05","rank=22; score=2.5024; p=0.012335; direction=Repressed"
"9","YY1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.000000000000000","18","6","ReMap--ChIP-seq(rank=36); Literature--ChIP-seq(rank=63); ARCHS4--Coexpression(rank=66); ENCODE--ChIP-seq(rank=70); Enrichr--Queries(rank=187); GTEx--Coexpression(rank=934)","149","rank=18; score=1.586; p=0.025942","rank=29; score=1.4694; p=0.03393","rank=67; score=1.759; p=0.078578; direction=Repressed"
"10","MYBL2","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.333333333333336","13","6","Enrichr--Queries(rank=3); Literature--ChIP-seq(rank=4); ARCHS4--Coexpression(rank=6); GTEx--Coexpression(rank=10); ReMap--ChIP-seq(rank=10); ENCODE--ChIP-seq(rank=20)","7","rank=13; score=2.0391; p=0.0091387","rank=90; score=0.48051; p=0.33074","rank=15; score=2.6985; p=0.006965; direction=Repressed"
