"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","TRRUST"
"1","E2F1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.00000000000000","1","6","GTEx--Coexpression(rank=2); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=14); ARCHS4--Coexpression(rank=15); ENCODE--ChIP-seq(rank=21)","4","rank=4; score=0.001245","rank=4; score=229.78; p=7.0575e-21; adjP=1.0092e-18","rank=1; score=9.722; p=1.8968e-10"
"2","E2F4","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.00000000000000","1","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=3); Enrichr--Queries(rank=76); ARCHS4--Coexpression(rank=209); GTEx--Coexpression(rank=1015)","33","rank=33; score=0.0101","rank=1; score=5524.7; p=2.123e-95; adjP=2.1018e-93","rank=2; score=7.9716; p=1.0675e-08"
"3","TP53","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.00000000000000","4","5","ARCHS4--Coexpression(rank=22); Literature--ChIP-seq(rank=84); GTEx--Coexpression(rank=96); Enrichr--Queries(rank=105); ReMap--ChIP-seq(rank=125)","45","rank=45; score=0.01351","rank=8; score=85.44; p=1.4011e-06; adjP=5.2893e-05","rank=4; score=5.8535; p=1.4013e-06"
"4","TFDP1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.00000000000000","10","4","GTEx--Coexpression(rank=4); ReMap--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=11); Enrichr--Queries(rank=19)","10","rank=10; score=0.002489","rank=41; score=96.769; p=0.006863; adjP=0.064769","rank=12; score=2.1635; p=0.0068631"
"5","E2F3","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.66666666666666","3","3","ARCHS4--Coexpression(rank=27); Enrichr--Queries(rank=28); GTEx--Coexpression(rank=1226)","56","rank=56; score=0.01658","rank=6; score=725.08; p=3.9105e-07; adjP=1.9683e-05","rank=3; score=6.4077; p=3.9109e-07"
"6","CTCF","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.66666666666667","19","6","ARCHS4--Coexpression(rank=10); ReMap--ChIP-seq(rank=21); ENCODE--ChIP-seq(rank=43); Literature--ChIP-seq(rank=96); Enrichr--Queries(rank=115); GTEx--Coexpression(rank=532)","19","rank=19; score=0.006143","rank=20; score=49.142; p=0.0010166; adjP=0.020333","rank=26; score=1.2507; p=0.056143"
"7","FOXM1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.00000000000000","2","6","ENCODE--ChIP-seq(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=5)","2","rank=2; score=0.0006223","rank=3; score=18370; p=7.7682e-103; adjP=5.5543e-100","rank=64; score=0.70608; p=0.19675"
"8","NFYB","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.33333333333334","7","5","ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=31); Enrichr--Queries(rank=74); GTEx--Coexpression(rank=552)","65","rank=65; score=0.01904","rank=7; score=295.47; p=1.1294e-29; adjP=3.0036e-28","rank=58; score=0.78231; p=0.16508"
"9","MYC","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","55.66666666666667","2","6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=47); Enrichr--Queries(rank=85); ARCHS4--Coexpression(rank=116); GTEx--Coexpression(rank=471)","156","rank=156; score=0.04268","rank=2; score=39.407; p=5.7306e-08; adjP=3.1518e-06","rank=9; score=2.7416; p=0.0018132"
"10","NFYA","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","56.00000000000000","10","5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=10); GTEx--Coexpression(rank=88); Enrichr--Queries(rank=187); ARCHS4--Coexpression(rank=224)","91","rank=91; score=0.02542","rank=10; score=337.59; p=1.2136e-29; adjP=3.0036e-28","rank=67; score=0.64353; p=0.22723"
