"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"ASXL2_TARGET_GENES","ASXL2_TARGET_GENES","31","-0.7736620647749179","-2.148944200607686","0.0000064832611124844112","0.00039029231897156155","0.00034617458156849017972","915","tags=35%, list=7%, signal=33%","GIT1/DUT/FAM111A/HMGN2/CDKN2D/MT-CYB/RHNO1/MXD3/NCAPG/FOXM1/HMGB2","0.6105268783859310"
"PSMB5_TARGET_GENES","PSMB5_TARGET_GENES","222","-0.5815026743701959","-2.146006409928201","0.0000000001000000000000","0.00000003010000000000","0.00000002669756589796171","1575","tags=33%, list=12%, signal=30%","H2AC16/CSKMT/H2BC7/EEF2/H3C10/THBS1/H2AC13/SLC1A5/ZNFX1/WSB1/SDC4/TRAF7/TAF4/PPP1R10/CBX3/NXF1/CDC25B/UBC/KBTBD2/H1-2/SLC3A2/CCN1/CALR/HNRNPH1/GADD45A/DDX3X/CALM2/DDX5/LMNA/WDR1/NUFIP2/SRSF3/IER5/FUS/EIF1/FLNA/ID2/KHDC4/DKK1/PPP1R15B/ZFP36/ACTG1/ACTB/CCN2/JUNB/PLK2/H1-4/PAF1/IER3/JPT1/ATF4/RCC1/MCL1/MPHOSPH9/RBMX/HSP90AA1/H2AX/DNAJA1/H2AZ1/ASF1B/PPP1R15A/POLR2A/H3-3B/STMN1/CKS2/HSPA8/UBE2S/CDC25C/TUBA1B/TUBA1C/RRM2/ARL6IP1/ANLN/TUBB4B",NA
"CHAMP1_TARGET_GENES","CHAMP1_TARGET_GENES","135","-0.5743525197146964","-2.027154376229115","0.0000007335922746332719","0.00007360375822153827","0.00006528376031419133097","1606","tags=23%, list=13%, signal=20%","PPIG/RBM17/TAFA2/COMMD2/ZC3H13/GPR19/CENPC/FAM98B/MAPK6/BRPF1/ZNF148/SCAF4/CDAN1/ARID3A/CALM2/C2orf69/KCTD9/PCLAF/GPBP1/GSTCD/KDM3B/DIAPH1/CDCA2/MIS18BP1/CKAP5/SGO2/CCNA2/CENPE/NUF2/BUB1/CENPF","0.6594443980379349"
"ZMYND11_TARGET_GENES","ZMYND11_TARGET_GENES","36","-0.6854039648471058","-1.986876651878623","0.0002638891145359006821","0.01134723192504373014","0.01006456717868139082162","1530","tags=47%, list=12%, signal=42%","EEF1D/NFAT5/VANGL2/SDK1/JMJD8/KAT6A/ARHGDIA/TCF3/NFYB/MBD3/MT-ND4/MT-CYB/MIDN/ACTB/PTBP1/HNRNPA0/CDK1","0.4984931087665903"
"DROSHA_TARGET_GENES","DROSHA_TARGET_GENES","42","-0.6217482845040011","-1.830744930980159","0.0008789491806072260776","0.02209595733447476673","0.01959828162842825252654","1172","tags=26%, list=9%, signal=24%","NCKAP1/TAF4/MT-CO3/UBALD1/MRPS2/MT-ATP6/MT-ND1/ZC3H12A/KDM3B/EGR1/KNSTRN","0.4772708153628621"
"RBL1_TARGET_GENES","RBL1_TARGET_GENES","36","-0.6306928403602386","-1.828277838016742","0.0022428346800435396829","0.03971136698194738246","0.03522248627570368634254","990","tags=25%, list=8%, signal=23%","SMARCC2/PDS5B/USP12/RTTN/CTCF/PLEKHG2/PARP2/PBK/KNL1","0.4317076958033464"
"HJURP_TARGET_GENES","HJURP_TARGET_GENES","36","-0.6229308581223876","-1.805777090907520","0.0031654059448359759925","0.05293262163309048196","0.04694924100336567152070","2523","tags=50%, list=20%, signal=40%","IFRD1/MT-ND4L/SPTAN1/CCT3/SDHA/VPS37B/CCDC127/PRPSAP1/MED22/GADD45B/MT-ND5/MT-ND4/MT-CYB/PARP2/ILF2/PPP1R15A/H3-3B/TUBB4B","0.4317076958033464"
"SIPA1_TARGET_GENES","SIPA1_TARGET_GENES","101","-0.5231856642894140","-1.797604858123332","0.0007633202932319783614","0.02209595733447476673","0.01959828162842825252654","1374","tags=22%, list=11%, signal=20%","TOR2A/ZNF776/MNS1/ZNF850/PRPF38A/BTN2A1/PI4KB/TK1/TGFBR1/DHX30/MT-ND1/TTYH3/PARP2/CLK1/ILF2/CCNF/PPP1R15A/BRD8/CDC25C/KIF20A/HMMR/TPX2","0.4772708153628621"
"GTF2E2_TARGET_GENES","GTF2E2_TARGET_GENES","283","-0.4763440683962268","-1.782665819145252","0.0000021230752602427729","0.00015976141333326867","0.00014170235416665908691","2521","tags=34%, list=20%, signal=28%","PTEN/PIH1D1/SRSF2/ANKRD13C/TSC1/H2BC26/RAB5A/INTS6/ZC3H6/MRPL35/ZSCAN12/ERI2/FERMT3/ZNF93/AMD1/ING3/DHX29/FAM53C/ANKRD40/MPDU1/ANAPC5/HEXIM1/EIF3A/H2BC17/KAT5/CSNK1A1/TOB1/EIF4A1/MAF1/PDLIM7/PTMA/ZC3HC1/ASH2L/SAV1/STK17B/CSKMT/CSNK1G3/MARCHF7/H2BC7/H3C10/NFAT5/COG4/RHOBTB3/H2AC13/GDF15/DDX54/CLASRP/TMEM128/TNPO3/GTPBP2/PPP1R10/ADNP/GADD45B/H4C5/DDIT3/H1-2/SLC3A2/PHLDA1/ATAD2/KLF6/HNRNPH1/HNRNPH3/PPP4C/PCLAF/TUBGCP3/NRDC/RBM12/SRSF3/IER5/FUS/DDX6/REXO5/ARID1A/SNRPB/EME1/LDLR/MAML1/ACTG1/AKIRIN2/ZWILCH/JUNB/GTF3C5/H1-4/MBD6/PARP2/RCC1/MCL1/H2AX/PPP1R15A/UBE2S/SFPQ/EGR1/ANP32E/CDC25C/TUBA1B/TUBA1C/TUBB4B","0.6272567397185284"
"MSX2_TARGET_GENES","MSX2_TARGET_GENES","13","-0.7534367141049226","-1.771378381096624","0.0072089873520510142427","0.09434370404205892624","0.08367931082128453323943","493","tags=23%, list=4%, signal=22%","ZNF335/TMEM19/ARL6IP1","0.4070179189239539"
"DLX2_TARGET_GENES","DLX2_TARGET_GENES","223","0.3766237447486870","1.771268034790164","0.0000005259622165931093","0.00007360375822153827","0.00006528376031419133097","2066","tags=31%, list=16%, signal=27%","TRIM31/OAS1/TSPAN8/SYTL5/COL17A1/BCL2L15/CDH17/REG4/DMXL2/SLCO2B1/LAMA3/PDE4D/RPS27A/RPL35A/NXPE1/GCNT3/VILL/HPGD/LIMA1/BCL2L14/CLCN3/AKAP13/HMOX1/MLLT3/JMY/MYOF/S100A16/PLAC8/LRRC66/XPNPEP1/NR5A2/CLRN3/TMPRSS4/PIP5K1B/AKAP9/NAALADL2/RNF125/UTRN/DCUN1D4/UQCRH/MYO10/SPATS2L/MTMR11/C1orf21/ICA1/SH2D5/PEX13/PRR5L/CDC14B/H2BC5/PJA2/HOXA3/PIERCE2/POMP/FERMT1/SRI/HNMT/ADD3/GPR160/CFDP1/A1CF/CASP8/VMA22/MEF2C/CIB1/NME1/SPINK5/SNAP23/SMIM31/CCDC192","0.6594443980379349"
"EGFR_TARGET_GENES","EGFR_TARGET_GENES","22","-0.6774894214249181","-1.759212891336408","0.0058740027708013356489","0.08419403971481914661","0.07467694098013252790302","1537","tags=45%, list=12%, signal=40%","CSKMT/ZNFX1/NR4A1/DUSP5/ACTG1/ACTB/JUNB/SCRIB/SEMA4B/ILF2","0.4070179189239539"
"MCM3_TARGET_GENES","MCM3_TARGET_GENES","184","-0.4755787260181782","-1.749077570080555","0.0001537532623801769825","0.00771328866273887810","0.00684139642403561957368","1310","tags=19%, list=10%, signal=17%","IPO8/PRPSAP1/DAZAP1/NOP53/CPEB4/HACD2/PTPA/TMEM39A/SZRD1/C1orf174/PRR14/CCN1/GCC1/DAXX/SH3BP5L/CRAT/GNAS/CABIN1/OXSR1/EIF4G2/PTBP1/CDC45/CENPL/DYNC2I2/HCFC1/CLK1/DARS2/NSD2/HNRNPUL1/RRM1/CDK5RAP2/TUBA1C/KIF15/KNSTRN/KNL1","0.5188480777437918"
"ZNF622_TARGET_GENES","ZNF622_TARGET_GENES","60","-0.5595694083829208","-1.726939997973406","0.0020590514473325292021","0.03873590535294320347","0.03435728856403351405557","2580","tags=38%, list=20%, signal=31%","ANP32A/MPRIP/WDTC1/CCT3/TMCC2/OXR1/RBM27/POGZ/EHBP1/RPS6KA5/CREBRF/BCAS3/RRAGC/DDA1/BAZ1B/CHD8/ACTL6A/PPP2R5E/CALR/CEP152/KPNB1/NUCKS1/CENPF","0.4317076958033464"
"ZNF626_TARGET_GENES","ZNF626_TARGET_GENES","11","-0.7659560538887965","-1.714663890664973","0.0061732567978662203703","0.08446137709807874372","0.07491405916639704010151","1597","tags=45%, list=13%, signal=40%","ASF1A/DAZAP1/NUP85/NUFIP2/RACGAP1","0.4070179189239539"
