"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE50760","ATF3_correlation","Liver_metastasis","C6","1","ESC_V6.5_UP_EARLY.V1_DN","ESC_V6.5_UP_EARLY.V1_DN","1.820795033946213","0.00000000009999999999999999","0.00000001890000000000000","0.00000001274684563855046","96","162","0.5925925925925926","0.01030927835051546","0","0","0.00000000000000000","0.00000000000000000","0.000000000000000000","1.0000000000000000000","0.0000000000000000000","Keep","itself","",TRUE,"JUNB/CPE/SOCS3/EMP1/CCN1/BHLHE40/HBEGF/S100A6/ZFP36L1/TNFRSF12A/INHBB/BCL3/HTRA1/ANXA3/KLK10/TGFB1I1/SERPINE1/C3orf70/APP/S100A4/CACNA1E/CMTM7/TGM1/GJB3/FHL2/TUBB6/PMP22/HES7/CSRP1/KLF4/GSN/TM4SF1/GBX2/CCN2/AEBP1/PBX1/ANXA5/CDC42EP1/KLK11/DSP/ABCA7/MGP/LOXL1/ANXA1/ANXA2/COL11A1/GYS1/CAVIN1/CCDC80/BMP4/LOX/MAPK13/LAMC2/COL16A1/SLC8A3/CADPS/TFEB/TAGLN/PLAU/BGN/COL3A1/RASSF8/YES1/CIZ1/COL1A2/INHBA/IGFBP7/GAP43/TIMP2/SFN/ABCA2/GSTP1/B4GALT7/CALML4/MRAS/UTS2/COL1A1/PCOLCE/CAV1/COL4A1/COL4A2/PRCC/TTYH2/FZD5/CD44/WSB1/ALX3/FGF17/AHNAK/PARVA/SPINK1/BAG5/FBXO28/FBLN2/AXL/FAP","JUNB/CPE/SOCS3/EMP1/CCN1/BHLHE40/HBEGF/S100A6/ZFP36L1/TNFRSF12A/INHBB/BCL3/HTRA1/ANXA3/KLK10/TGFB1I1/SERPINE1/C3orf70/APP/CLMB/S100A4/CACNA1E/CMTM7/TGM1/GJB3/FHL2/TUBB6/PMP22/HES7/CSRP1/KLF4/GSN/TM4SF1/GBX2/CCN2/AEBP1/PBX1/ANXA5/CDC42EP1/KLK11/DSP/ABCA7/MGP/LOXL1/ANXA1/ANXA2/COL11A1/GYS1/CAVIN1/CCDC80/BMP4/LOX/MAPK13/LAMC2/COL16A1/SLC8A3/CADPS/TFEB/TAGLN/PLAU/BGN/COL3A1/RASSF8/YES1/CIZ1/COL1A2/INHBA/IGFBP7/GAP43/TIMP2/SFN/ABCA2/GSTP1/B4GALT7/CALML4/MRAS/UTS2/COL1A1/PCOLCE/CAV1/COL4A1/COL4A2/PRCC/TTYH2/FZD5/CD44/WSB1/ALX3/FGF17/AHNAK/PARVA/SPINK1/BAG5/FBXO28/FBLN2/AXL/FAP"
"GSE50760","ATF3_correlation","Liver_metastasis","C6","2","STK33_UP","STK33_UP","1.609541436428846","0.00000000026237464685058677","0.00000002479440412738045","0.00000001672224561436810","104","286","0.3636363636363636","0.00000000000000000","8","7","0.06730769230769230","0.02797202797202797","0.018181818181818181","0.0041000721957108570","0.0931304068417882769","Exclude","ESC_V6.5_UP_EARLY.V1_DN","ESC_V6.5_UP_EARLY.V1_DN",FALSE,"CDKN1A/ZFP36/PPP1R15A/JUNB/ADM/TRIB1/MAFF/MMP1/FOS/DUSP1/RGS2/EMP1/CSRNP1/JUN/OTUD1/IL1B/SULF2/EGR3/SGK1/BTG2/HBEGF/ZFP36L1/EGR2/BBS12/HINT3/MIDN/SCG2/IL1A/BCL3/RHOB/PHLDA1/GDF15/SPRED1/TGIF1/CNIH3/FOXQ1/PELI1/RGS1/BTG3/CCN3/ARRDC3/COQ10B/STC1/NME7/WBP2/KLF6/GJA1/TREM1/EGR1/UPP1/RHOC/SQSTM1/ACVR1/TMEM71/C5AR1/CXCL1/RND3/PPBP/FABP4/LPAR6/CXCL3/NAMPT/BCL2A1/RNF19A/DNAAF4/MORN2/ANXA1/NKIRAS1/ICAM1/AMN1/GPATCH2/DUSP5/CMTM3/BTN2A1/GALNT4/SOCS6/RNF121/CCL4/TWF1/NCEH1/CCDC71L/RIT1/CREB5/VSIG4/PLAU/APPL2/DNAJC15/VSIR/MTMR9/OSTM1/CYTH2/WNT5A/SLC7A11/DUSP8/USP53/CD9/DYNC2LI1/GNPDA2/BMF/NCF2/CYBRD1/THBD/CXCL2/RIN2","CDKN1A/ZFP36/PPP1R15A/JUNB/ADM/TRIB1/MAFF/MMP1/FOS/DUSP1/RGS2/EMP1/CSRNP1/JUN/OTUD1/IL1B/SULF2/EGR3/SGK1/BTG2/HBEGF/ZFP36L1/EGR2/BBS12/HINT3/MIDN/SCG2/IL1A/BCL3/RHOB/PHLDA1/GDF15/SPRED1/TGIF1/CNIH3/FOXQ1/PELI1/RGS1/BTG3/CCN3/ARRDC3/COQ10B/STC1/NME7/WBP2/KLF6/GJA1/TREM1/EGR1/UPP1/RHOC/SQSTM1/ACVR1/TMEM71/C5AR1/CXCL1/RND3/PPBP/FABP4/LPAR6/CXCL3/NAMPT/BCL2A1/RNF19A/DNAAF4/MORN2/ANXA1/NKIRAS1/ICAM1/AMN1/GPATCH2/DUSP5/CMTM3/BTN2A1/GALNT4/SOCS6/RNF121/CCL4/TWF1/NCEH1/CCDC71L/RIT1/CREB5/VSIG4/PLAU/APPL2/DNAJC15/VSIR/MTMR9/OSTM1/CYTH2/WNT5A/SLC7A11/DUSP8/USP53/CD9/DYNC2LI1/GNPDA2/BMF/NCF2/CYBRD1/THBD/CXCL2/RIN2"
"GSE50760","ATF3_correlation","Liver_metastasis","C6","3","AKT_UP_MTOR_DN.V1_UP","AKT_UP_MTOR_DN.V1_UP","1.721781770174461","0.00000000099062282688629306","0.00000005787192409984036","0.00000003903092504267584","82","178","0.4606741573033708","0.00000000000000000","7","6","0.07317073170731707","0.03932584269662921","0.021021021021021023","0.0375348851880867238","0.1434942843396974921","Exclude","ESC_V6.5_UP_EARLY.V1_DN","ESC_V6.5_UP_EARLY.V1_DN",FALSE,"ATF3/JUNB/CPE/DUSP1/SPRR2A/ALDOC/MPZL2/SYT8/A4GALT/HBEGF/SUSD4/TMCC3/CXCL5/NFIL3/GDPD2/TNFRSF12A/CDKN2B/TGIF1/PLSCR1/ADORA2B/KLF10/PYGL/FLT1/GPX8/CD55/KLF6/TACSTD2/LYPD1/NEU1/EDN1/CXCL1/NIN/RASD1/PLK2/ELL/SPHK1/PFDN2/EFNB2/PTPRJ/BACE2/ABCA7/KCTD9/ING2/HLA-DQB1/TMPRSS4/KRT23/CRLF1/LSS/PLAT/MYCN/PDZD11/ADGRG1/MVP/LAMC2/RNF41/SOCS6/SPINK4/TTLL1/GIPC1/KCNK5/UBE2R2/RBM4/SH3BGRL2/GGA1/ZNF746/S100A8/DUSP8/METRNL/FKBP8/DUSP10/SLC6A6/VAT1/VILL/MPP2/SAA1/TESC/ARRDC4/SAA2/PDE10A/RIMKLB/MYO5B/PRSS37","ATF3/JUNB/CPE/DUSP1/SPRR2A/ALDOC/MPZL2/SYT8/A4GALT/HBEGF/SUSD4/TMCC3/CXCL5/NFIL3/GDPD2/TNFRSF12A/CDKN2B/TGIF1/PLSCR1/ADORA2B/KLF10/PYGL/FLT1/GPX8/CD55/KLF6/TACSTD2/LYPD1/NEU1/EDN1/CXCL1/NIN/RASD1/PLK2/ELL/SPHK1/PFDN2/EFNB2/PTPRJ/BACE2/ABCA7/KCTD9/ING2/HLA-DQB1/TMPRSS4/KRT23/CRLF1/LSS/PLAT/MYCN/PDZD11/ADGRG1/MVP/LAMC2/RNF41/SOCS6/SPINK4/TTLL1/GIPC1/KCNK5/UBE2R2/RBM4/SH3BGRL2/GGA1/ZNF746/S100A8/DUSP8/METRNL/FKBP8/DUSP10/SLC6A6/VAT1/VILL/MPP2/SAA1/TESC/ARRDC4/SAA2/PDE10A/RIMKLB/MYO5B/PRSS37"
"GSE50760","ATF3_correlation","Liver_metastasis","C6","4","BMI1_DN.V1_UP","BMI1_DN.V1_UP","1.796082781721635","0.00000000133270326335011705","0.00000005787192409984036","0.00000003903092504267584","78","147","0.5306122448979592","0.00000000000000000","8","6","0.07692307692307693","0.05442176870748299","0.026578073089700997","0.1814376107464056032","0.2945859168334254430","Keep","ESC_V6.5_UP_EARLY.V1_DN","ESC_V6.5_UP_EARLY.V1_DN",FALSE,"ACKR3/GPRC5A/MICA/MFGE8/EPHA2/HBEGF/VLDLR/ADGRE5/CCL20/COL13A1/TIMP3/JAG1/ANXA3/TNFSF9/FJX1/MFAP5/KCNC4/TCIM/KRT17/CCN3/CRISPLD2/MMP3/SLC2A1/LRP5/GREM1/HAS2/ITGA3/EDN1/LAMB3/CXCL1/GAL/LIF/BDKRB2/FGFR1/COL7A1/STX1A/SLC29A1/TMEM51/SRPX2/F3/CSPG4/PMEPA1/CCND1/PLAT/BMP4/COL16A1/DKK1/HAPLN1/TAGLN/CHST3/CDCP1/SLCO4A1/VEGFC/ITGA5/SLC1A5/POMT2/CSF1/INHBA/ACTA2/MMP7/TNFAIP6/CHST11/TRIO/FLNB/B4GALNT1/ITGB8/ATF6/C3AR1/LTBP4/BST1/STC2/SLC19A1/NRP2/SIRPA/LRRC15/FKRP/PIEZO1/MARCHF3","ACKR3/GPRC5A/MICA/MFGE8/EPHA2/HBEGF/VLDLR/ADGRE5/CCL20/COL13A1/TIMP3/JAG1/ANXA3/TNFSF9/FJX1/MFAP5/KCNC4/TCIM/KRT17/CCN3/CRISPLD2/MMP3/SLC2A1/LRP5/GREM1/HAS2/ITGA3/EDN1/LAMB3/CXCL1/GAL/LIF/BDKRB2/FGFR1/COL7A1/STX1A/SLC29A1/TMEM51/SRPX2/F3/CSPG4/PMEPA1/CCND1/PLAT/BMP4/COL16A1/DKK1/HAPLN1/TAGLN/CHST3/CDCP1/SLCO4A1/VEGFC/ITGA5/SLC1A5/POMT2/CSF1/INHBA/ACTA2/MMP7/TNFAIP6/CHST11/TRIO/FLNB/B4GALNT1/ITGB8/ATF6/C3AR1/LTBP4/BST1/STC2/SLC19A1/NRP2/SIRPA/LRRC15/FKRP/PIEZO1/MARCHF3"
"GSE50760","ATF3_correlation","Liver_metastasis","C6","5","P53_DN.V1_UP","P53_DN.V1_UP","1.695735580510354","0.00000000153100328306455995","0.00000005787192409984036","0.00000003903092504267584","93","194","0.4793814432989691","0.01063829787234043","16","13","0.13978494623655913","0.08247422680412371","0.047058823529411764","0.0050618065205458081","0.0490461402127593468","Keep","ESC_V6.5_UP_EARLY.V1_DN","ESC_V6.5_UP_EARLY.V1_DN",TRUE,"ADM/CPE/MAFF/MMP1/CCN1/ZNF165/COL13A1/SDC4/VASP/TGFBI/SOX9/EDIL3/SCG2/INHBB/KRT19/ITGB4/TPBG/KLK10/SERPINB5/MISP/ARL4A/CD24/CEMIP/ADORA2B/CALB1/PPARD/INPP1/HDAC9/SCRN1/TACSTD2/RBP1/MEIS2/FHL2/SPINT2/IGFBP6/REEP2/CNN3/ANKRD1/MYOF/RNF11/IL18/LSR/CDH13/G0S2/EFNB2/PPARG/DSP/KRT15/S100P/EPCAM/LOXL1/F3/YAP1/RAMP1/ANXA1/CDK2AP1/CLIP3/BMP4/MARCKS/LTBP1/UCHL1/UGT8/KLF5/LAMB2/DKK1/COL17A1/HAPLN1/RRAS2/PRSS3/PLAU/COL3A1/CDH11/SMAGP/YES1/ELF4/COL1A2/DSC2/CD9/APBB2/BCL10/UQCRH/CXADR/FYN/SULF1/GRIK2/SMAD6/SCNN1A/CTNNBIP1/CAND2/PPL/LZTS3/PTPRH/CRIM1","ADM/CPE/MAFF/MMP1/CCN1/ZNF165/COL13A1/SDC4/VASP/TGFBI/SOX9/EDIL3/SCG2/INHBB/KRT19/ITGB4/TPBG/KLK10/SERPINB5/MISP/ARL4A/CD24/CEMIP/ADORA2B/CALB1/PPARD/INPP1/HDAC9/SCRN1/TACSTD2/RBP1/MEIS2/FHL2/SPINT2/IGFBP6/REEP2/CNN3/ANKRD1/MYOF/RNF11/IL18/LSR/CDH13/G0S2/EFNB2/PPARG/DSP/KRT15/S100P/EPCAM/LOXL1/F3/YAP1/RAMP1/ANXA1/CDK2AP1/CLIP3/BMP4/MARCKS/LTBP1/UCHL1/UGT8/KLF5/LAMB2/DKK1/COL17A1/HAPLN1/RRAS2/PRSS3/PLAU/COL3A1/CDH11/SMAGP/YES1/ELF4/COL1A2/DSC2/CD9/APBB2/BCL10/UQCRH/CXADR/FYN/SULF1/GRIK2/SMAD6/SCNN1A/CTNNBIP1/CAND2/PPL/CDC50B/LZTS3/PTPRH/CRIM1"
"GSE50760","ATF3_correlation","Liver_metastasis","C6","6","EGFR_UP.V1_UP","EGFR_UP.V1_UP","1.642425899033156","0.00000004132330383398236602","0.00000130168407077044485","0.00000087790295874448947","81","192","0.4218750000000000","0.00000000000000000","10","7","0.08641975308641975","0.05208333333333334","0.029069767441860465","0.0675472094352449065","0.3586084471287049880","Keep","ESC_V6.5_UP_EARLY.V1_DN","ESC_V6.5_UP_EARLY.V1_DN",FALSE,"ATF3/JUNB/ADM/MMP1/SOCS2/CCN1/MPZL2/IL4R/HBEGF/NFIL3/DUSP4/KCNS3/BCL3/RGS16/PHLDA1/PMAIP1/TNFRSF11B/EGLN3/TCIM/AKAP12/CEMIP/SAT1/GABBR2/CRISPLD2/CCL2/GJA1/ERO1A/TNFRSF21/CSGALNACT1/ITGA3/EDN1/WIPI1/GAL/LIF/KLF4/ARNT2/SDCBP/CYP1B1/CCN2/SLC9A6/CADPS2/LPAR6/SMCO4/TUBB2A/BACE2/ETHE1/S100P/S100A9/RNF19A/PDE4B/CEBPD/SUSD6/ICAM1/DUSP6/DUSP5/HOMER1/PDLIM7/ETS2/MMP10/TMEM121/RAB27A/EXT1/WNT5A/LOXL2/TAF1A/SOWAHC/S100A8/SLC7A11/ETV5/SNAPC1/EPAS1/INHBA/PGM3/CXADR/GCNT1/SEC23A/MBNL2/ACTG2/SNX16/COL5A2/MAP2K4","ATF3/JUNB/ADM/MMP1/SOCS2/CCN1/MPZL2/IL4R/HBEGF/NFIL3/DUSP4/KCNS3/BCL3/RGS16/PHLDA1/PMAIP1/TNFRSF11B/EGLN3/TCIM/AKAP12/CEMIP/SAT1/GABBR2/CRISPLD2/CCL2/GJA1/ERO1A/TNFRSF21/CSGALNACT1/ITGA3/EDN1/WIPI1/GAL/LIF/KLF4/ARNT2/SDCBP/CYP1B1/CCN2/SLC9A6/CADPS2/LPAR6/SMCO4/TUBB2A/BACE2/ETHE1/S100P/S100A9/RNF19A/PDE4B/CEBPD/SUSD6/ICAM1/DUSP6/DUSP5/HOMER1/PDLIM7/ETS2/MMP10/TMEM121/RAB27A/EXT1/WNT5A/LOXL2/TAF1A/SOWAHC/S100A8/SLC7A11/ETV5/SNAPC1/EPAS1/INHBA/PGM3/CXADR/GCNT1/SEC23A/MBNL2/ACTG2/SNX16/COL5A2/MAP2K4"
"GSE50760","ATF3_correlation","Liver_metastasis","C6","7","KRAS.BREAST_UP.V1_UP","KRAS.BREAST_UP.V1_UP","1.729702159785413","0.00000005387736268405495692","0.00000139454184717767683","0.00000094052961177105132","56","140","0.4000000000000000","0.00000000000000000","4","3","0.05357142857142857","0.02857142857142857","0.014134275618374558","0.1758537314864070944","0.3575241244348470460","Keep","BMI1_DN.V1_UP","BMI1_DN.V1_UP",FALSE,"PPP1R15A/NFE2/CTNNA2/KCNK15/IL1B/CEACAM1/ADGRD2/CRCT1/AKAP12/GPR37L1/CALB1/KLK6/MMP9/STC1/SCEL/ALPP/CLSTN2/TNFAIP3/HAS2/DNAJA4/CEACAM3/ETV2/CDSN/LIF/ESM1/NALF2/KRT34/PPBP/S100A5/CYB5R2/CXCL3/PRRX1/STX1A/PRDM1/TMPRSS4/MYCN/KIF5A/GABRA3/DEFB4A/KCNA10/IL1RL1/BMP6/SPRR2B/EFNA5/MMP10/NPAS1/IL1RAPL1/DHRS9/KRT33B/TAGLN3/CXCL2/CASS4/SPON2/KLK12/ANO2/GULP1","PPP1R15A/NFE2/CTNNA2/KCNK15/IL1B/CEACAM1/ADGRD2/CRCT1/AKAP12/GPR37L1/CALB1/KLK6/MMP9/STC1/SCEL/ALPP/CLSTN2/TNFAIP3/HAS2/DNAJA4/CEACAM3/ETV2/CDSN/LIF/ESM1/NALF2/KRT34/PPBP/S100A5/CYB5R2/CXCL3/PRRX1/STX1A/PRDM1/TMPRSS4/MYCN/KIF5A/GABRA3/DEFB4A/KCNA10/IL1RL1/BMP6/SPRR2B/EFNA5/MMP10/NPAS1/IL1RAPL1/DHRS9/KRT33B/TAGLN3/CXCL2/CASS4/SPON2/KLK12/ANO2/GULP1"
"GSE50760","ATF3_correlation","Liver_metastasis","C6","8","BMI1_DN_MEL18_DN.V1_UP","BMI1_DN_MEL18_DN.V1_UP","1.702752633840279","0.00000006306557948770563476","0.00000139454184717767683","0.00000094052961177105132","75","145","0.5172413793103449","0.00000000000000000","84","49","0.65333333333333332","0.57931034482758625","0.403846153846153855","0.0443736742878581072","0.0947286369218711816","Exclude","BMI1_DN.V1_UP","BMI1_DN.V1_UP",FALSE,"ATF3/ADM/MICA/PLAUR/HBEGF/VLDLR/ADGRE5/COL13A1/IL1A/TIMP3/JAG1/ANXA3/TNFSF9/FJX1/PIM1/TCIM/ARL4A/FOSL1/CRISPLD2/ZC3H12A/ADM2/TUFT1/GREM1/HAS2/ITGA3/CXCL8/EDN1/LAMB3/CXCL1/VEGFA/GAL/LIF/KCNN4/MICALL1/CDH13/TRIB3/COL7A1/KLF7/STX1A/TMEM51/F3/CSPG4/PMEPA1/CCND1/PLAT/SIK1/ARL4C/COL16A1/WNT5B/HAPLN1/TAGLN/CHST3/VEGFC/SLC7A11/ITGA5/CSF1/INHBA/APBB2/DUSP10/GAB2/MMP7/TNFAIP6/CHST11/TRIO/ITGB8/C3AR1/BST1/STC2/SLC19A1/ZNF639/PLEKHO1/NRP2/LRRC15/PIEZO1/MARCHF3","ATF3/ADM/MICA/PLAUR/HBEGF/VLDLR/ADGRE5/COL13A1/IL1A/TIMP3/JAG1/ANXA3/TNFSF9/FJX1/PIM1/TCIM/ARL4A/FOSL1/CRISPLD2/ZC3H12A/ADM2/TUFT1/GREM1/HAS2/ITGA3/CXCL8/EDN1/LAMB3/CXCL1/VEGFA/GAL/LIF/KCNN4/MICALL1/CDH13/TRIB3/COL7A1/KLF7/STX1A/TMEM51/F3/CSPG4/PMEPA1/CCND1/PLAT/SIK1/ARL4C/COL16A1/WNT5B/HAPLN1/TAGLN/CHST3/VEGFC/SLC7A11/ITGA5/CSF1/INHBA/APBB2/DUSP10/GAB2/MMP7/TNFAIP6/CHST11/TRIO/ITGB8/C3AR1/BST1/STC2/SLC19A1/ZNF639/PLEKHO1/NRP2/LRRC15/PIEZO1/MARCHF3"
"GSE50760","ATF3_correlation","Liver_metastasis","C6","9","MEK_UP.V1_UP","MEK_UP.V1_UP","1.604826511912612","0.00000006640675462750841225","0.00000139454184717767683","0.00000094052961177105132","80","195","0.4102564102564102","0.00000000000000000","13","10","0.12500000000000000","0.06666666666666667","0.034574468085106384","0.0076707452885038593","0.0289422397311861410","Keep","P53_DN.V1_UP","P53_DN.V1_UP",TRUE,"ADM/L1CAM/EPHA2/MPZL2/IL4R/S100A6/DUSP4/ST3GAL4/VASP/TGFBI/NEDD9/BCL3/GDF15/TNFRSF11B/EGLN3/ITGB4/TGFB1I1/AGAP1/CEMIP/FOSL1/GABBR2/MICAL2/CXCR4/PCDH1/LRP5/ERO1A/TNFRSF21/CSGALNACT1/STRN4/PKIA/EDN1/GAL/KLF4/SDCBP/CUEDC1/CYP1B1/ABCG1/CEACAM5/KCNN4/ST6GALNAC2/SLC9A6/MXRA7/ENO2/CLDN4/PTPRU/PEG10/UPK2/CADPS2/PPARG/TUBB2A/BACE2/S100P/PTGER4/LOXL1/TMPRSS4/CRLF1/ARL4C/PDLIM7/LGALSL/PLAU/SIX2/SGCE/ULBP2/SCAMP4/CAMK2N1/SLC7A11/ETV5/SORL1/EFHD2/PTOV1/LAMC1/EPAS1/PACS1/CXADR/SLC6A6/VWA1/INAVA/CHST11/GCNT1/TTC9","ADM/L1CAM/EPHA2/MPZL2/IL4R/S100A6/DUSP4/ST3GAL4/VASP/TGFBI/NEDD9/BCL3/GDF15/TNFRSF11B/EGLN3/ITGB4/TGFB1I1/AGAP1/CEMIP/FOSL1/GABBR2/MICAL2/CXCR4/PCDH1/LRP5/ERO1A/TNFRSF21/CSGALNACT1/STRN4/PKIA/EDN1/GAL/KLF4/SDCBP/CUEDC1/CYP1B1/ABCG1/CEACAM5/KCNN4/ST6GALNAC2/SLC9A6/MXRA7/ENO2/CLDN4/PTPRU/PEG10/UPK2/CADPS2/PPARG/TUBB2A/BACE2/S100P/PTGER4/LOXL1/TMPRSS4/CRLF1/ARL4C/PDLIM7/LGALSL/PLAU/SIX2/SGCE/ULBP2/SCAMP4/CAMK2N1/SLC7A11/ETV5/SORL1/EFHD2/PTOV1/LAMC1/EPAS1/PACS1/CXADR/SLC6A6/VWA1/INAVA/CHST11/GCNT1/TTC9"
"GSE50760","ATF3_correlation","Liver_metastasis","C6","10","TGFB_UP.V1_UP","TGFB_UP.V1_UP","1.630302595100833","0.00000008394795439823691785","0.00000158661633812667818","0.00000107007161638639937","74","189","0.3915343915343915","0.00000000000000000","11","9","0.12162162162162163","0.05820105820105820","0.032352941176470591","0.0039631219229648218","0.1012014946962122852","Exclude","ESC_V6.5_UP_EARLY.V1_DN","ESC_V6.5_UP_EARLY.V1_DN",FALSE,"ATF3/JUNB/TRIB1/GADD45B/RGCC/JUN/MPZL2/SGK1/SMOX/BHLHE40/DACT1/LRP12/ZFP36L1/WNT4/CDKN2B/RHOB/ID3/MISP/AKAP12/PFKFB3/FOXD1/PPARD/KLF10/CRYAB/STC1/LARP6/TBPL1/PKIA/LYPD1/LIPG/SNAI1/PPP1R13L/EDN1/PMP22/PLEKHA1/SPSB1/LIF/KLF4/ABCG1/CCN2/KCNN4/WNT7A/FZR1/SPHK1/LMCD1/NCOR2/KLF7/MRTFA/BMPR2/PMEPA1/EPHA4/YIPF5/SMURF2/SKIL/PPP2R2B/COL16A1/IL1RL1/SOCS6/PDLIM4/TFEB/TAGLN/UBL3/ETS2/CHST3/ABTB2/FOXF2/LTBP2/IL19/CSNK1E/ITGA5/TMC7/TULP4/KDM6B/RCOR1","ATF3/JUNB/TRIB1/GADD45B/RGCC/JUN/MPZL2/SGK1/SMOX/BHLHE40/DACT1/LRP12/ZFP36L1/WNT4/CDKN2B/RHOB/ID3/MISP/AKAP12/PFKFB3/FOXD1/PPARD/KLF10/CRYAB/STC1/LARP6/TBPL1/PKIA/LYPD1/LIPG/SNAI1/PPP1R13L/EDN1/PMP22/PLEKHA1/SPSB1/LIF/KLF4/ABCG1/CCN2/KCNN4/WNT7A/FZR1/SPHK1/LMCD1/NCOR2/KLF7/MRTFA/BMPR2/PMEPA1/EPHA4/YIPF5/SMURF2/SKIL/PPP2R2B/COL16A1/IL1RL1/SOCS6/PDLIM4/TFEB/TAGLN/UBL3/ETS2/CHST3/ABTB2/FOXF2/LTBP2/IL19/CSNK1E/ITGA5/TMC7/TULP4/KDM6B/RCOR1"
"GSE50760","ATF3_correlation","Liver_metastasis","C6","11","ERBB2_UP.V1_UP","ERBB2_UP.V1_UP","1.627960087012364","0.00000009301438696491855809","0.00000159815628512451017","0.00000107785457527837903","81","190","0.4263157894736842","0.00000000000000000","10","8","0.09876543209876543","0.05263157894736842","0.026737967914438502","0.0165403281385849699","0.0376901688439622712","Keep","P53_DN.V1_UP","P53_DN.V1_UP",TRUE,"PNRC1/BNIP3L/ALDOC/MPZL2/S100A6/DUSP4/VASP/SOX9/ACHE/BCL3/GDF15/TNFRSF11B/EGLN3/ITGB4/CEMIP/FGFR4/SAT1/GABBR2/MVD/CXCR4/PLEKHB1/FAM174B/PCDH1/LRP5/CA8/HEY1/B3GALT4/TNFRSF21/ZNF365/CSGALNACT1/CXCL8/EDN1/WIPI1/NDRG1/ARNT2/SDCBP/CYP1B1/ABCG1/CEACAM5/KCNN4/ST6GALNAC2/SLC9A6/MXRA7/ENO2/PTPRU/RRAGD/UPK2/CADPS2/PLPP2/BACE2/S100P/PTGER4/MAPRE3/LOXL1/ANXA6/CRLF1/PDE4B/DUSP6/LAMB2/GNAI2/APLP1/RPRM/FGF13/ATP6V0A4/CNOT8/ULBP2/SCAMP4/CAMK2N1/ETV5/PTOV1/EPAS1/PACS1/SPAG4/CXADR/SLC6A6/VWA1/CHST11/NOTCH3/TTC9/GDPD3/TCEA2","PNRC1/BNIP3L/ALDOC/MPZL2/S100A6/DUSP4/VASP/SOX9/ACHE/BCL3/GDF15/TNFRSF11B/EGLN3/ITGB4/CEMIP/FGFR4/SAT1/GABBR2/MVD/CXCR4/PLEKHB1/FAM174B/PCDH1/LRP5/CA8/HEY1/B3GALT4/TNFRSF21/ZNF365/CSGALNACT1/CXCL8/EDN1/WIPI1/NDRG1/ARNT2/SDCBP/CYP1B1/ABCG1/CEACAM5/KCNN4/ST6GALNAC2/SLC9A6/MXRA7/ENO2/PTPRU/RRAGD/UPK2/CADPS2/PLPP2/BACE2/S100P/PTGER4/MAPRE3/LOXL1/ANXA6/CRLF1/PDE4B/DUSP6/LAMB2/GNAI2/APLP1/RPRM/FGF13/ATP6V0A4/CNOT8/ULBP2/SCAMP4/CAMK2N1/ETV5/PTOV1/EPAS1/PACS1/SPAG4/CXADR/SLC6A6/VWA1/CHST11/NOTCH3/TTC9/GDPD3/TCEA2"
