"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE282081","Main_DE","2D_J2_hepatocyte_vs_2D_none","IMMUNESIGDB","1","GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP","GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP","-2.619177443269508","0.00000000009999999999999999","0.0000001752914078396238","0.00000004061085779540506","87","180","0.48333333333333334","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.0000000000000000000","0.00000000000000000000","Keep","itself","",TRUE,"ATAD2/SMC1A/SP1/PWWP3B/KHSRP/SOS1/BRCA1/ATM/THRB/FCHSD2/TUT4/ZEB1/BAZ1B/WRN/FRYL/CREBBP/USP37/GXYLT1/CNOT6L/PCM1/RIC1/PITPNC1/PRPF8/UBE4B/BLTP3B/GTF3C1/USP24/PPP1R12B/KIF14/NSD2/WNK1/FNDC3A/BLTP1/ZHX3/TMEM245/PRKCA/NUCKS1/RAD21/SMG1/TTC7B/TULP4/CNNM4/NCOR1/TNKS/ZNF106/NUP205/ULK1/MYO10/MED12L/TLN1/IQGAP2/ZFP36L2/PRRC2C/ATG2B/BIRC6/MACF1/HERC1/PRR14L/SUFU/TNFRSF10B/NBEAL1/CHD7/CKAP5/MED13/ATF7IP/NCAPD2/VPS13C/RFX7/TET2/CEP350/ERC1/ESPL1/RALGAPA2/FASN/BMPR2/USP9X/NFAT5/UTRN/NF1/SBNO1/DOCK11/BAZ2A/TAOK1/CELSR2/KMT2C/CLIC4/KIF21B","ATAD2/SMC1A/SP1/PWWP3B/KHSRP/SOS1/BRCA1/ATM/THRB/FCHSD2/TUT4/ZEB1/BAZ1B/WRN/FRYL/CREBBP/USP37/GXYLT1/CNOT6L/PCM1/RIC1/PITPNC1/PRPF8/UBE4B/BLTP3B/GTF3C1/USP24/PPP1R12B/KIF14/NSD2/WNK1/FNDC3A/BLTP1/ZHX3/TMEM245/PRKCA/NUCKS1/RAD21/SMG1/TTC7B/TULP4/CNNM4/NCOR1/TNKS/ZNF106/NUP205/ULK1/MYO10/MED12L/TLN1/IQGAP2/ZFP36L2/PRRC2C/ATG2B/BIRC6/MACF1/HERC1/PRR14L/SUFU/TNFRSF10B/NBEAL1/CHD7/CKAP5/MED13/ATF7IP/NCAPD2/VPS13C/RFX7/TET2/CEP350/ERC1/ESPL1/RALGAPA2/FASN/BMPR2/USP9X/NFAT5/UTRN/NF1/SBNO1/DOCK11/BAZ2A/TAOK1/CELSR2/KMT2C/CLIC4/KIF21B"
"GSE282081","Main_DE","2D_J2_hepatocyte_vs_2D_none","IMMUNESIGDB","2","GSE6259_33D1_POS_VS_DEC205_POS_SPLENIC_DC_UP","GSE6259_33D1_POS_VS_DEC205_POS_SPLENIC_DC_UP","-2.392202318656870","0.00000000009999999999999999","0.0000001752914078396238","0.00000004061085779540506","79","193","0.40932642487046633","0.00000000000000000","4","3","0.03797468354430380","0.020725388601036270","0.010840108401084011","0.1877061687871307283","0.28568186178601429059","Keep","GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP","GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP",FALSE,"NEURL1B/ZFP36L1/KLC3/UBALD2/NMNAT3/KCNJ11/WDR48/FRAT1/TRIM33/TFCP2L1/AASDH/SLC40A1/IQSEC2/NRXN2/STON2/FAM117A/CNTRL/NLK/AHCTF1/USP47/ST3GAL2/SPRY1/RERE/FAM117B/CHST12/ANKRD36/ZSWIM6/RNF144B/SLC25A36/PIK3CB/FBXL20/BMP2K/TRIQK/TPPP/BTG1/ARHGEF2/NUP98/PPM1A/PPM1K/BCL6/JARID2/SKIL/PRR11/CCNG2/HDAC9/KDM5A/ALMS1/ZMYND8/RNF24/NIPAL3/PDCD4/TMED8/NR1D2/PRKCQ/RASSF5/SATB1/LPIN1/MIS18BP1/ATG2B/JADE2/FRAT2/NCOA2/HECA/HBP1/JMY/ACVR2B/FDFT1/KMT2A/TNRC6B/CDC42EP4/STK4/HES1/CCDC69/KLHL24/SRPK2/TANC1/ZNF609/LRATD2/SLC38A2","NEURL1B/ZFP36L1/KLC3/UBALD2/NMNAT3/KCNJ11/WDR48/FRAT1/TRIM33/TFCP2L1/AASDH/SLC40A1/IQSEC2/NRXN2/STON2/FAM117A/CNTRL/NLK/AHCTF1/USP47/ST3GAL2/SPRY1/RERE/FAM117B/CHST12/ANKRD36/ZSWIM6/RNF144B/SLC25A36/PIK3CB/FBXL20/BMP2K/TRIQK/TPPP/BTG1/ARHGEF2/NUP98/PPM1A/PPM1K/BCL6/JARID2/SKIL/PRR11/CCNG2/HDAC9/KDM5A/ALMS1/ZMYND8/RNF24/NIPAL3/PDCD4/TMED8/NR1D2/PRKCQ/RASSF5/SATB1/LPIN1/MIS18BP1/ATG2B/JADE2/FRAT2/NCOA2/HECA/HBP1/JMY/ACVR2B/FDFT1/KMT2A/TNRC6B/CDC42EP4/STK4/HES1/CCDC69/KLHL24/SRPK2/TANC1/ZNF609/LRATD2/SLC38A2"
"GSE282081","Main_DE","2D_J2_hepatocyte_vs_2D_none","IMMUNESIGDB","3","GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_6H_UP","GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_6H_UP","-2.222158737796999","0.00000000011420505513128239","0.0000001752914078396238","0.00000004061085779540506","48","200","0.23999999999999999","0.00000000000000000","5","3","0.06250000000000000","0.025000000000000001","0.012886597938144329","0.0906187196084834862","0.33199730533778221142","Keep","GSE6259_33D1_POS_VS_DEC205_POS_SPLENIC_DC_UP","GSE6259_33D1_POS_VS_DEC205_POS_SPLENIC_DC_UP",FALSE,"KDM4A/SLC7A1/CLDN12/TTC39A/FNDC3A/NSD3/PRR11/RASGRP1/SIAH2/CARS1/EIF2S2/YPEL5/SLC1A4/CEBPG/LARS1/DDIT3/AFF1/AFF4/INPP4A/PDZD8/JDP2/FRMD4B/ZNF516/PNRC1/JUNB/CEBPB/MGAT4A/SLC6A9/HERPUD1/PYCR1/EIF4EBP1/ATF4/SARS1/ASNS/ATF3/MID1IP1/PSPH/PCK2/AARS1/VEGFA/TRIB3/GPT2/LRATD2/PHGDH/SESN2/SLC38A2/CHAC1/DDIT4","KDM4A/SLC7A1/CLDN12/TTC39A/FNDC3A/NSD3/PRR11/RASGRP1/SIAH2/CARS1/EIF2S2/YPEL5/SLC1A4/CEBPG/LARS1/DDIT3/AFF1/AFF4/INPP4A/PDZD8/JDP2/FRMD4B/ZNF516/PNRC1/JUNB/CEBPB/MGAT4A/SLC6A9/HERPUD1/PYCR1/EIF4EBP1/ATF4/SARS1/ASNS/ATF3/MID1IP1/PSPH/PCK2/AARS1/VEGFA/TRIB3/GPT2/LRATD2/PHGDH/SESN2/SLC38A2/CHAC1/DDIT4"
"GSE282081","Main_DE","2D_J2_hepatocyte_vs_2D_none","IMMUNESIGDB","5","GSE27241_WT_CTRL_VS_DIGOXIN_TREATED_RORGT_KO_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP","GSE27241_WT_CTRL_VS_DIGOXIN_TREATED_RORGT_KO_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP","-2.202073723125611","0.00000000055813299763914758","0.0000005438447928995854","0.00000012599592769215092","51","172","0.29651162790697677","0.00000000000000000","7","3","0.05882352941176471","0.040697674418604654","0.019553072625698324","0.3435163725340844576","0.60282706783983941445","Keep","GSE6259_33D1_POS_VS_DEC205_POS_SPLENIC_DC_UP","GSE6259_33D1_POS_VS_DEC205_POS_SPLENIC_DC_UP",FALSE,"VPS37B/RBL2/EPS15/RAPGEF4/USP37/SLC16A10/PPM1L/GXYLT1/KCNG1/GSN/CYBRD1/AP1S2/BLTP3B/SMAD5/HOMER1/FMNL3/PTPN14/JARID2/RPS6KA1/SPATS2/GCC2/BBC3/RFC1/CDC14B/SLC2A4/PRKCQ/IQGAP2/CRACR2A/CERS6/HMG20A/L3MBTL3/CAMK2D/CHD7/PHLPP1/EEIG2/SH3KBP1/ANKRD27/ADD3/TLE4/ABL2/PER1/HDAC5/GFPT1/AKT3/CHD3/ACSL1/MYH10/RNF213/JMJD1C/EPAS1/LRATD2","VPS37B/RBL2/EPS15/RAPGEF4/USP37/SLC16A10/PPM1L/GXYLT1/KCNG1/GSN/CYBRD1/AP1S2/BLTP3B/SMAD5/HOMER1/FMNL3/PTPN14/JARID2/RPS6KA1/SPATS2/GCC2/BBC3/RFC1/CDC14B/SLC2A4/PRKCQ/IQGAP2/CRACR2A/CERS6/HMG20A/L3MBTL3/CAMK2D/CHD7/PHLPP1/EEIG2/SH3KBP1/ANKRD27/ADD3/TLE4/ABL2/PER1/HDAC5/GFPT1/AKT3/CHD3/ACSL1/MYH10/RNF213/JMJD1C/EPAS1/LRATD2"
"GSE282081","Main_DE","2D_J2_hepatocyte_vs_2D_none","IMMUNESIGDB","6","GSE5542_UNTREATED_VS_IFNG_TREATED_EPITHELIAL_CELLS_6H_DN","GSE5542_UNTREATED_VS_IFNG_TREATED_EPITHELIAL_CELLS_6H_DN","-2.107439012051440","0.00000000074987835768784607","0.0000006089012264425310","0.00000014106795891062332","69","200","0.34499999999999997","0.00000000000000000","3","2","0.02898550724637681","0.014999999999999999","0.007957559681697613","0.2738845743870870764","0.47486870462201563603","Keep","GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP","GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP",FALSE,"PTPN9/ADCY9/FYCO1/NIBAN1/FYN/GGA2/TCIRG1/XPR1/EPS15/GNAS/TBC1D2B/ITGAV/RALGPS1/TMX4/DLG5/PLEKHF1/GRAMD1C/PIP4K2A/PLCD1/CHD9/SMAD5/RDX/ABCA2/KLRG1/ANKS1A/BCL6/HEATR5A/FCHO2/SNX33/CLTC/PIK3AP1/DUSP2/MAP2K2/TBC1D5/BMPR1A/PPP2R5C/CLSTN1/SNX10/DENND1A/AGO4/CMIP/GALM/MICB/TMED8/SNRNP200/LYN/UBE2L6/AKAP13/CYTH3/LPGAT1/NCKAP1/KIAA1671/MYO5A/MAN1A1/GNAO1/SLC23A2/ERMP1/PLEKHA5/PLEKHA2/NFAT5/NF1/BAZ2B/CTNNA1/B4GALT5/ARHGAP35/HIP1/CHST11/APOBEC3G/SLC6A6","PTPN9/ADCY9/FYCO1/NIBAN1/FYN/GGA2/TCIRG1/XPR1/EPS15/GNAS/TBC1D2B/ITGAV/RALGPS1/TMX4/DLG5/PLEKHF1/GRAMD1C/PIP4K2A/PLCD1/CHD9/SMAD5/RDX/ABCA2/KLRG1/ANKS1A/BCL6/HEATR5A/FCHO2/SNX33/CLTC/PIK3AP1/DUSP2/MAP2K2/TBC1D5/BMPR1A/PPP2R5C/CLSTN1/SNX10/DENND1A/AGO4/CMIP/GALM/MICB/TMED8/SNRNP200/LYN/UBE2L6/AKAP13/CYTH3/LPGAT1/NCKAP1/KIAA1671/MYO5A/MAN1A1/GNAO1/SLC23A2/ERMP1/PLEKHA5/PLEKHA2/NFAT5/NF1/BAZ2B/CTNNA1/B4GALT5/ARHGAP35/HIP1/CHST11/APOBEC3G/SLC6A6"
"GSE282081","Main_DE","2D_J2_hepatocyte_vs_2D_none","IMMUNESIGDB","7","GSE12392_WT_VS_IFNB_KO_CD8A_NEG_SPLEEN_DC_DN","GSE12392_WT_VS_IFNB_KO_CD8A_NEG_SPLEEN_DC_DN","-2.131056992311335","0.00000000101733744955638401","0.0000007080668648912434","0.00000016404228315654270","65","200","0.32500000000000001","0.00000000000000000","6","4","0.06153846153846154","0.029999999999999999","0.016042780748663103","0.0888439825868083538","0.31004683396943882867","Keep","GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP","GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP",FALSE,"SLCO5A1/ST3GAL2/MYO1E/VOPP1/TEC/DACT3/SORL1/VAMP4/XIAP/B4GALNT1/PTPN3/MKRN1/ACOT7/IFT140/SLC16A7/CNOT6L/CDKN2B/RAB37/BACH1/OSBPL8/KIAA0930/CHD9/SIMC1/NAPG/PYGL/ESCO1/L1CAM/WNK1/PHTF2/EEF2K/MEGF9/DBP/SLC44A1/ARL6IP5/CMIP/SNX30/NR1D2/RAC2/SPIRE1/WLS/RGS3/ANKH/AKAP13/MAP2K1/ABCB1/GLUD1/PTPN12/PTK2/LTA4H/NDST1/GGH/SSH2/CHD6/NFAT5/STK4/PAG1/SBNO1/MSN/MYCBP2/PTPRJ/JMJD1C/CDK17/ELK3/TBC1D4/SESN2","SLCO5A1/ST3GAL2/MYO1E/VOPP1/TEC/DACT3/SORL1/VAMP4/XIAP/B4GALNT1/PTPN3/MKRN1/ACOT7/IFT140/SLC16A7/CNOT6L/CDKN2B/RAB37/BACH1/OSBPL8/KIAA0930/CHD9/SIMC1/NAPG/PYGL/ESCO1/L1CAM/WNK1/PHTF2/EEF2K/MEGF9/DBP/SLC44A1/ARL6IP5/CMIP/SNX30/NR1D2/RAC2/SPIRE1/WLS/RGS3/ANKH/AKAP13/MAP2K1/ABCB1/GLUD1/PTPN12/PTK2/LTA4H/NDST1/GGH/SSH2/CHD6/NFAT5/STK4/PAG1/SBNO1/MSN/MYCBP2/PTPRJ/JMJD1C/CDK17/ELK3/TBC1D4/SESN2"
"GSE282081","Main_DE","2D_J2_hepatocyte_vs_2D_none","IMMUNESIGDB","8","GSE7460_CTRL_VS_TGFB_TREATED_ACT_TREG_DN","GSE7460_CTRL_VS_TGFB_TREATED_ACT_TREG_DN","-2.147264990237862","0.00000000190751562083165729","0.0000011616770130864795","0.00000026913298583241713","69","199","0.34673366834170855","0.00000000000000000","2","2","0.02898550724637681","0.010050251256281407","0.005128205128205128","0.1190802497335161220","0.16628886010362700643","Keep","GSE6259_33D1_POS_VS_DEC205_POS_SPLENIC_DC_UP","GSE6259_33D1_POS_VS_DEC205_POS_SPLENIC_DC_UP",FALSE,"LDLRAP1/ENDOD1/SLC40A1/USP22/KLHL25/YPEL3/RNF208/GPR63/SESTD1/SLC18B1/SPSB1/BHLHE40/FNDC11/NT5E/FCHSD2/NINJ1/RGS16/NCMAP/CAMK2N1/CCDC134/ZBTB18/PDE2A/GTF2IRD1/CERK/CPD/GTF3C1/BLTP2/SMURF2/FMNL3/HS1BP3/MAP7/AMOT/SRC/SKIL/CRTC3/SLC39A14/MTMR3/MTA3/ABL1/WBP1L/RASGRP3/RAB3D/CTIF/GNG2/CDC14B/PACS1/RPL4/TBC1D16/MEX3A/ANKRD12/NR6A1/STAT3/OAF/SIPA1/TTC3/ROBO1/DIAPH2/IGF2R/LMBR1/RRAGD/AKT3/MTUS1/CHD3/ATP9A/ABCA1/SBK1/CUX1/FURIN/ELK3","LDLRAP1/ENDOD1/SLC40A1/USP22/KLHL25/YPEL3/RNF208/GPR63/SESTD1/SLC18B1/SPSB1/BHLHE40/FNDC11/NT5E/FCHSD2/NINJ1/RGS16/NCMAP/CAMK2N1/CCDC134/ZBTB18/PDE2A/GTF2IRD1/CERK/CPD/GTF3C1/BLTP2/SMURF2/FMNL3/HS1BP3/MAP7/AMOT/SRC/SKIL/CRTC3/SLC39A14/MTMR3/MTA3/ABL1/WBP1L/RASGRP3/RAB3D/CTIF/GNG2/CDC14B/PACS1/RPL4/TBC1D16/MEX3A/ANKRD12/NR6A1/STAT3/OAF/SIPA1/TTC3/ROBO1/DIAPH2/IGF2R/LMBR1/RRAGD/AKT3/MTUS1/CHD3/ATP9A/ABCA1/SBK1/CUX1/FURIN/ELK3"
"GSE282081","Main_DE","2D_J2_hepatocyte_vs_2D_none","IMMUNESIGDB","9","GSE26343_UNSTIM_VS_LPS_STIM_MACROPHAGE_DN","GSE26343_UNSTIM_VS_LPS_STIM_MACROPHAGE_DN","-2.072158145809710","0.00000000846929368909478391","0.0000045847109836966431","0.00000106216869432803375","73","200","0.36499999999999999","0.00000000000000000","5","4","0.05479452054794520","0.025000000000000001","0.012658227848101266","0.0604385232908559999","0.04909515983522710209","Keep","GSE5542_UNTREATED_VS_IFNG_TREATED_EPITHELIAL_CELLS_6H_DN","GSE5542_UNTREATED_VS_IFNG_TREATED_EPITHELIAL_CELLS_6H_DN",TRUE,"OPHN1/COMT/EXOC6/RAPH1/HMGCL/LYL1/ARHGAP9/PARP8/OSBPL11/ZNF467/PLIN2/PCYOX1/FAM117B/DAG1/SGSH/RTN3/EPS15/GPR162/TMEM38B/DARS2/GRB2/MSH6/SLC16A10/MAP3K9/MEF2D/GSN/HFE/TMEM106B/TEF/WASF2/PPM1K/L1CAM/BNIP3L/CYFIP2/CNOT8/SCPEP1/SNX33/PIK3AP1/FAM107B/CCNG2/ZNF503/HDAC9/ZFHX3/BUB1B/SLC44A1/TBC1D9/SEC22C/TNKS/IRF2BPL/BUB1/DHX32/DNAJC12/ITSN1/MAPK14/NOTCH2/RASA3/NFIC/ABCC4/PHLPP1/AHNAK2/HDAC5/STAG2/MPP1/LRP1/SEMA4D/FOS/CTDSP2/BAZ2B/CCDC186/NAV2/LPIN2/KIF21B/EEF1A2","OPHN1/COMT/EXOC6/RAPH1/HMGCL/LYL1/ARHGAP9/PARP8/OSBPL11/ZNF467/PLIN2/PCYOX1/FAM117B/DAG1/SGSH/RTN3/EPS15/GPR162/TMEM38B/DARS2/GRB2/MSH6/SLC16A10/MAP3K9/MEF2D/GSN/HFE/TMEM106B/TEF/WASF2/PPM1K/L1CAM/BNIP3L/CYFIP2/CNOT8/SCPEP1/SNX33/PIK3AP1/FAM107B/CCNG2/ZNF503/HDAC9/ZFHX3/BUB1B/SLC44A1/TBC1D9/SEC22C/TNKS/IRF2BPL/BUB1/DHX32/DNAJC12/ITSN1/MAPK14/NOTCH2/RASA3/NFIC/ABCC4/PHLPP1/AHNAK2/HDAC5/STAG2/MPP1/LRP1/SEMA4D/FOS/CTDSP2/BAZ2B/CCDC186/NAV2/LPIN2/KIF21B/EEF1A2"
"GSE282081","Main_DE","2D_J2_hepatocyte_vs_2D_none","IMMUNESIGDB","10","GSE40068_BCL6_POS_VS_NEG_CXCR5_POS_TFH_DN","GSE40068_BCL6_POS_VS_NEG_CXCR5_POS_TFH_DN","-2.020710048154726","0.00000001682398088171535570","0.0000081966434855717215","0.00000189896770808490374","67","200","0.33500000000000002","0.00000000000000000","10","8","0.11940298507462686","0.050000000000000003","0.026109660574412531","0.0028144869671794712","0.01237594591845346190","Keep","GSE6259_33D1_POS_VS_DEC205_POS_SPLENIC_DC_UP","GSE6259_33D1_POS_VS_DEC205_POS_SPLENIC_DC_UP",TRUE,"ZNF467/MINDY2/RERE/RPL5/NCKAP5L/TRIM56/PBXIP1/WDR41/ZRANB1/SNN/ZBTB18/CREBL2/R3HDM1/MCFD2/ZMYM4/CAMSAP2/IQSEC1/ARHGEF11/CDKN1B/RPS5/ESCO1/PATJ/GATAD2B/ERBIN/SALL2/TCF12/SKIL/BCOR/TOP2B/EEF2K/MGAT5/DYRK2/RAB6B/DBP/RNF24/SERAC1/NR1D2/RAPGEF2/HIVEP2/DDIT3/ZFP36L2/CERS6/ZMYM2/JADE2/ACSL3/PJA2/SPRED2/PNRC1/EIF4B/TTC3/NCOA2/TESC/HBP1/JMY/TCF20/USP32/UTRN/BTG2/ARHGAP35/JMJD1C/KMT2C/DLG3/ABCG1/THRA/KMT2E/SESN3/ADGRL1","ZNF467/MINDY2/RERE/RPL5/NCKAP5L/TRIM56/PBXIP1/WDR41/ZRANB1/SNN/ZBTB18/CREBL2/R3HDM1/MCFD2/ZMYM4/CAMSAP2/IQSEC1/ARHGEF11/CDKN1B/RPS5/ESCO1/PATJ/GATAD2B/ERBIN/SALL2/TCF12/SKIL/BCOR/TOP2B/EEF2K/MGAT5/DYRK2/RAB6B/DBP/RNF24/SERAC1/NR1D2/RAPGEF2/HIVEP2/DDIT3/ZFP36L2/CERS6/ZMYM2/JADE2/ACSL3/PJA2/SPRED2/PNRC1/EIF4B/TTC3/NCOA2/TESC/HBP1/JMY/TCF20/USP32/UTRN/BTG2/ARHGAP35/JMJD1C/KMT2C/DLG3/ABCG1/THRA/KMT2E/SESN3/ADGRL1"
"GSE282081","Main_DE","2D_J2_hepatocyte_vs_2D_none","IMMUNESIGDB","11","GSE23502_WT_VS_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_BM_UP","GSE23502_WT_VS_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_BM_UP","-2.050730515597551","0.00000003169631708299414093","0.0000140385869843952247","0.00000325240732958975113","68","200","0.34000000000000002","0.00000000000000000","5","3","0.04411764705882353","0.025000000000000001","0.013333333333333334","0.2173903635377065491","0.46841915316169768779","Keep","GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP","GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP",FALSE,"GM2A/ATP8A1/PGAP1/GCNT1/PARP8/RRAS2/PLCXD2/ACAP1/CAMKMT/TTK/SORL1/FYCO1/PKP4/TNPO1/TUT4/SCAI/LDLR/ARID1B/CREBL2/SLC46A3/MTMR4/SMC6/GSN/FOXO3/BMP2K/BACH1/RREB1/CSNK1G3/CHD9/ID3/INPP5F/MAP7/PRKACB/RFX5/SEPTIN6/ARID4A/BCOR/TOP2B/DDIAS/DYRK2/RASGRP3/PRKD2/BRWD1/TMED8/ATRX/SLC12A6/PXK/RALGPS2/RFC1/SLC4A7/ZNF292/EPB41L2/TBC1D14/NOTCH2/XPO1/MAP2K1/PELI1/ACSF2/LMO2/PAG1/DOCK11/STK26/KLHL24/INSIG1/F13A1/CADM1/LPIN2/LRATD2","GM2A/ATP8A1/PGAP1/GCNT1/PARP8/RRAS2/PLCXD2/ACAP1/CAMKMT/TTK/SORL1/FYCO1/PKP4/TNPO1/TUT4/SCAI/LDLR/ARID1B/CREBL2/SLC46A3/MTMR4/SMC6/GSN/FOXO3/BMP2K/BACH1/RREB1/CSNK1G3/CHD9/ID3/INPP5F/MAP7/PRKACB/RFX5/SEPTIN6/ARID4A/BCOR/TOP2B/DDIAS/DYRK2/RASGRP3/PRKD2/BRWD1/TMED8/ATRX/SLC12A6/PXK/RALGPS2/RFC1/SLC4A7/ZNF292/EPB41L2/TBC1D14/NOTCH2/XPO1/MAP2K1/PELI1/ACSF2/LMO2/PAG1/DOCK11/STK26/KLHL24/INSIG1/F13A1/CADM1/LPIN2/LRATD2"
"GSE282081","Main_DE","2D_J2_hepatocyte_vs_2D_none","IMMUNESIGDB","13","GSE30962_PRIMARY_VS_SECONDARY_ACUTE_LCMV_INF_CD8_TCELL_DN","GSE30962_PRIMARY_VS_SECONDARY_ACUTE_LCMV_INF_CD8_TCELL_DN","-2.052083185449675","0.00000004262374753121508544","0.0000152007958449442147","0.00000352166353185322523","66","200","0.33000000000000002","0.00000000000000000","6","4","0.06060606060606061","0.029999999999999999","0.016393442622950821","0.0935671832695019468","0.06427896562512940004","Keep","GSE27241_WT_CTRL_VS_DIGOXIN_TREATED_RORGT_KO_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP","GSE27241_WT_CTRL_VS_DIGOXIN_TREATED_RORGT_KO_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP",FALSE,"RCAN1/DAAM1/CACUL1/ARHGEF12/DCAF11/FGF13/SYNE1/DYRK3/LYPD6B/VOPP1/NT5E/MAT2B/STPG1/RAI14/EPS8/UBASH3B/RBL2/YES1/FBXO27/CAMK2N1/TMEM38B/SAT1/PRRC2B/PCMTD1/PPM1L/RNF111/CREBRF/PROS1/RNF128/RBM47/ADGRG5/PRRG4/PHF13/MACROD1/SNTB1/ZDHHC2/DSTN/KIF5C/TMEM151A/BMPR1A/PRUNE1/NR1D2/CDC14B/CALCB/RAP2A/NDRG3/WLS/TMT1A/PRR14L/PLEKHM3/ZNF385A/FRAT2/MYLIP/PANK3/KIF13B/CORO2A/AKT3/DYNC1H1/GGH/ZCCHC24/PTPRJ/RORA/KLHL24/CHST11/KDM7A/SDK1","RCAN1/DAAM1/CACUL1/ARHGEF12/DCAF11/FGF13/SYNE1/DYRK3/LYPD6B/VOPP1/NT5E/MAT2B/STPG1/RAI14/EPS8/UBASH3B/RBL2/YES1/FBXO27/CAMK2N1/TMEM38B/SAT1/PRRC2B/PCMTD1/PPM1L/RNF111/CREBRF/PROS1/RNF128/RBM47/ADGRG5/PRRG4/PHF13/MACROD1/SNTB1/ZDHHC2/DSTN/KIF5C/TMEM151A/BMPR1A/PRUNE1/NR1D2/CDC14B/CALCB/RAP2A/NDRG3/WLS/TMT1A/PRR14L/PLEKHM3/ZNF385A/FRAT2/MYLIP/PANK3/KIF13B/CORO2A/AKT3/DYNC1H1/GGH/ZCCHC24/PTPRJ/RORA/KLHL24/CHST11/KDM7A/SDK1"
