"Analysis_Name","Method","Method_Label","Sorting_Name","Sorting_Rule","Recommended_Primary_Sorting","ATF3_Found","ATF3_Rank","ATF3_Score","ATF3_P_Value","ATF3_Adj_P_Value","ATF3_Rank1","Top_TF","DEG_ATF3_Primary_Significant","DEG_ATF3_FDR_Significant"
"ALL","dorothea","DoRothEA","current_09_p_score","DoRothEA ORA: P value ascending, then score descending.",TRUE,TRUE,39,0.822813379247086,0.150378802026842,NA,FALSE,"JUN",TRUE,FALSE
"ALL","dorothea","DoRothEA","p_value_ascending","Nominal P value ascending.",FALSE,TRUE,39,0.822813379247086,0.150378802026842,NA,FALSE,"JUN",TRUE,FALSE
"ALL","dorothea","DoRothEA","score_descending","ORA score descending, then P value ascending.",FALSE,TRUE,39,0.822813379247086,0.150378802026842,NA,FALSE,"JUN",TRUE,FALSE
"ALL","chea3","ChEA3","current_09_rank","ChEA3 Integrated--topRank: Method_Rank ascending; lower ChEA3 score is better.",TRUE,TRUE,1,0.0006143,NA,NA,TRUE,"ATF3",TRUE,FALSE
"ALL","chea3","ChEA3","score_ascending","ChEA3 Integrated score ascending; lower score is better.",FALSE,TRUE,1,0.0006143,NA,NA,TRUE,"ATF3",TRUE,FALSE
"ALL","chea3","ChEA3","library_count_desc_toprank_asc","ChEA3 evidence-library count descending, then integrated top rank ascending.",FALSE,TRUE,1,0.0006143,NA,NA,TRUE,"ATF3",TRUE,FALSE
"ALL","viper","VIPER","current_09_abs_score","VIPER absolute activity score descending.",TRUE,TRUE,158,1.44086589231048,NA,NA,FALSE,"E2F4",TRUE,FALSE
"ALL","viper","VIPER","activity_mean_descending","Signed mean activity descending; prioritizes activated TFs.",FALSE,TRUE,231,1.44086589231048,NA,NA,FALSE,"TP53",TRUE,FALSE
"ALL","viper","VIPER","activity_mean_ascending","Signed mean activity ascending; prioritizes repressed TFs.",FALSE,TRUE,34,1.44086589231048,NA,NA,FALSE,"E2F4",TRUE,FALSE
"ALL","enrichr","ENRICHR","current_09_integrated","ENRICHR integrated rank from 09: Best_Rank, Mean_Rank, Library_Count, adjusted P, P, combined score.",TRUE,TRUE,24,303.358237907718,5.7567097600608e-05,0.00482124442405092,FALSE,"POU2F1",TRUE,FALSE
"ALL","enrichr","ENRICHR","best_adjusted_p_asc","Best adjusted P value ascending, then best P ascending, then combined score descending.",FALSE,TRUE,11,303.358237907718,5.7567097600608e-05,0.00482124442405092,FALSE,"CEBPB",TRUE,FALSE
"ALL","enrichr","ENRICHR","best_p_value_asc","Best nominal P value ascending, then best adjusted P ascending, then combined score descending.",FALSE,TRUE,10,303.358237907718,5.7567097600608e-05,0.00482124442405092,FALSE,"CEBPB",TRUE,FALSE
"ALL","enrichr","ENRICHR","best_combined_score_desc","Best combined score descending, then adjusted P and P ascending.",FALSE,TRUE,5,303.358237907718,5.7567097600608e-05,0.00482124442405092,FALSE,"FOSL1",TRUE,FALSE
"ALL","enrichr","ENRICHR","library_count_desc_adj_p_asc","ENRICHR library count descending, then best adjusted P and P ascending.",FALSE,TRUE,8,303.358237907718,5.7567097600608e-05,0.00482124442405092,FALSE,"CEBPB",TRUE,FALSE
"ALL","trrust","TRRUST","current_09_p_score","TRRUST ORA: P value ascending, then score descending.",TRUE,TRUE,10,2.9165278451318,0.00121191498340289,NA,FALSE,"CEBPB",TRUE,FALSE
"ALL","trrust","TRRUST","p_value_ascending","Nominal P value ascending.",FALSE,TRUE,10,2.9165278451318,0.00121191498340289,NA,FALSE,"CEBPB",TRUE,FALSE
"ALL","trrust","TRRUST","score_descending","ORA score descending, then P value ascending.",FALSE,TRUE,10,2.9165278451318,0.00121191498340289,NA,FALSE,"CEBPB",TRUE,FALSE
"ALL","collectri","CollecTRI","current_09_p_score","CollecTRI activity: P value ascending, then absolute activity score descending.",TRUE,TRUE,5,4.56464712567534,5.00335212032765e-06,NA,FALSE,"E2F4",TRUE,FALSE
"ALL","collectri","CollecTRI","p_value_ascending","Nominal P value ascending.",FALSE,TRUE,5,4.56464712567534,5.00335212032765e-06,NA,FALSE,"E2F4",TRUE,FALSE
"ALL","collectri","CollecTRI","score_descending","Absolute activity score descending, then P value ascending.",FALSE,TRUE,5,4.56464712567534,5.00335212032765e-06,NA,FALSE,"E2F4",TRUE,FALSE
"ALL","collectri","CollecTRI","activity_mean_descending","Signed mean activity descending; prioritizes activated TFs.",FALSE,TRUE,4,4.56464712567534,5.00335212032765e-06,NA,FALSE,"FOXO3",TRUE,FALSE
"DLD1","dorothea","DoRothEA","current_09_p_score","DoRothEA ORA: P value ascending, then score descending.",TRUE,TRUE,42,1.40830250471856,0.0390568753149306,NA,FALSE,"E2F4",TRUE,TRUE
"DLD1","dorothea","DoRothEA","p_value_ascending","Nominal P value ascending.",FALSE,TRUE,42,1.40830250471856,0.0390568753149306,NA,FALSE,"E2F4",TRUE,TRUE
"DLD1","dorothea","DoRothEA","score_descending","ORA score descending, then P value ascending.",FALSE,TRUE,42,1.40830250471856,0.0390568753149306,NA,FALSE,"E2F4",TRUE,TRUE
"DLD1","chea3","ChEA3","current_09_rank","ChEA3 Integrated--topRank: Method_Rank ascending; lower ChEA3 score is better.",TRUE,TRUE,244,0.05912,NA,NA,FALSE,"E2F8",TRUE,TRUE
"DLD1","chea3","ChEA3","score_ascending","ChEA3 Integrated score ascending; lower score is better.",FALSE,TRUE,243,0.05912,NA,NA,FALSE,"E2F8",TRUE,TRUE
"DLD1","chea3","ChEA3","library_count_desc_toprank_asc","ChEA3 evidence-library count descending, then integrated top rank ascending.",FALSE,TRUE,17,0.05912,NA,NA,FALSE,"FOXM1",TRUE,TRUE
"DLD1","viper","VIPER","current_09_abs_score","VIPER absolute activity score descending.",TRUE,TRUE,105,1.74805428991408,NA,NA,FALSE,"E2F4",TRUE,TRUE
"DLD1","viper","VIPER","activity_mean_descending","Signed mean activity descending; prioritizes activated TFs.",FALSE,TRUE,238,1.74805428991408,NA,NA,FALSE,"PRDM14",TRUE,TRUE
"DLD1","viper","VIPER","activity_mean_ascending","Signed mean activity ascending; prioritizes repressed TFs.",FALSE,TRUE,27,1.74805428991408,NA,NA,FALSE,"E2F4",TRUE,TRUE
